player_id,name,primary_position,birth_date,college,first_season,last_season,seasons_played,teams
00-0004866,'Omar Ellison,WR,1971-10-08,,1995,1996,2,LAC
a-b-brown,A.B. Brown,RB,1965-12-04,,1989,1992,4,NYJ
a-d-whitfield,A.D. Whitfield,RB,1943-09-02,,1965,1968,4,DAL;WAS
00-0037845,A.J. Arcuri,LT,1997-08-13,Michigan State,2022,2024,2,STL
00-0030228,A.J. Bouye,CB,1991-08-16,Central Florida,2013,2021,9,CAR;DEN;HOU;JAX
00-0035676,A.J. Brown,WR,1997-06-30,Mississippi,2019,2024,6,PHI;TEN
00-0032255,A.J. Cann,LG,1991-10-23,South Carolina,2015,2022,8,HOU;JAX
00-0029167,A.J. Davis,S,1989-07-06,,2012,2012,1,NO
00-0031609,A.J. Derby,TE,1991-09-20,Arkansas,2016,2018,3,DEN;MIA
a-j-duhe,A.J. Duhe,LB,1955-11-27,,1977,1984,8,MIA
00-0027719,A.J. Edds,LB,1987-09-18,,2011,2011,1,NE
00-0036192,A.J. Epenesa,EDGE,1998-09-15,Iowa,2020,2024,5,BUF
00-0020305,A.J. Feeley,QB,1977-05-16,,2001,2011,11,CAR;MIA;PHI;STL
00-0029972,A.J. Francis,DT,1990-05-07,Maryland,2013,2017,3,MIA;SEA;WAS
00-0027942,A.J. Green,WR,1988-07-31,Georgia,2011,2022,12,ARI;CIN
00-0036114,A.J. Green,CB,1998-06-09,Oklahoma State,2021,2022,2,CLE
a-j-greene,A.J. Greene,CB,1966-06-24,,1991,1991,1,NYG
00-0032620,A.J. Hendy,CB,1993-04-08,Maryland,2016,2018,2,HOU;MIA
00-0027350,A.J. Jefferson,CB,1988-04-04,,2010,2012,3,ARI;MIN
a-j-jenkins,A.J. Jenkins,EDGE,1966-04-12,,1989,1990,2,PIT
00-0029654,A.J. Jenkins,WR,1989-09-08,,2012,2014,3,KC;SF
a-j-jimerson,A.J. Jimerson,LB,1968-05-12,,1990,1991,2,LV
00-0008417,A.J. Johnson,CB,1967-06-22,,1989,1994,6,WAS
00-0034887,A.J. Johnson,LB,1991-12-24,Tennessee,2019,2022,4,DEN;SEA
a-j-jones,A.J. Jones,RB,1959-05-30,,1982,1985,4,DET;STL
00-0030463,A.J. Klein,LB,1991-07-30,Iowa State,2016,2023,8,BUF;CAR;NO
00-0034594,A.J. Moore,S,1995-12-15,Mississippi,2018,2022,5,HOU;TEN
00-0012317,A.J. Ofodile,TE,1973-10-09,,1994,1999,4,BAL;BUF
00-0036752,A.J. Parker,CB,1998-02-15,Kansas State,2021,2022,2,DET;SF
00-0023950,A.J. Schable,EDGE,1984-05-18,,2006,2006,1,ARI
00-0036285,A.J. Terrell,CB,1998-09-23,Clemson,2020,2024,5,ATL
00-0037222,A.J. Thomas,CB,1999-09-18,Western Michigan,2022,2022,1,CHI
00-0026950,A.Q. Shipley,C,1986-05-22,Penn State,2012,2019,8,ARI;BAL;IND
00-0038612,A.T. Perry,WR,1999-10-26,Wake Forest,2023,2023,1,NO
00-0032889,A'Shawn Robinson,DT,1995-03-21,Alabama,2016,2024,9,CAR;DET;NYG;STL
00-0000582,Aaron Bailey,WR,1971-10-24,,1994,1998,5,IND
00-0036551,Aaron Banks,LG,1997-09-03,Notre Dame,2021,2024,3,SF
aaron-banks,Aaron Banks,LG,,,2023,2023,1,SF
00-0000939,Aaron Beasley,CB,1973-07-07,,1996,2004,9,ATL;JAX;NYJ
00-0027338,Aaron Berry,CB,1988-06-25,,2010,2012,3,DET;NYJ
00-0036171,Aaron Brewer,LG,1997-10-28,Texas State,2020,2024,5,MIA;TEN
00-0001823,Aaron Brooks,QB,1976-03-24,,1999,2006,8,GB;LV;NO
aaron-brown,Aaron Brown,EDGE,1943-11-16,,1966,1987,14,ATL;GB;KC;PHI;TB
00-0027129,Aaron Brown,RB,1985-10-10,,2009,2010,2,DET
00-0032441,Aaron Burbridge,WR,1993-12-23,Michigan State,2016,2017,2,SF
00-0031259,Aaron Colvin,CB,1991-10-02,Oklahoma,2014,2019,6,HOU;JAX;WAS
00-0003570,Aaron Cox,WR,1965-03-13,,1988,1993,6,IND;STL
00-0003610,Aaron Craver,RB,1968-12-18,,1991,1999,9,DEN;LAC;MIA;NO
00-0036191,Aaron Crawford,DT,1997-11-04,North Carolina,2021,2021,1,BAL
00-0030540,Aaron Dobson,WR,1991-07-23,Marshall,2013,2015,3,NE
00-0031388,Aaron Donald,DT,1991-05-23,Pittsburgh,2014,2024,11,STL
00-0021080,Aaron Elling,K,1978-05-31,,2003,2005,3,BAL;MIN;TEN
00-0032948,Aaron Epps,LT,1992-11-16,,2016,2016,1,CIN
00-0019425,Aaron Fields,EDGE,1976-01-09,,2000,2000,1,DAL
00-0023213,Aaron Francisco,CB,1983-07-05,,2005,2005,1,ARI
00-0035987,Aaron Fuller,WR,1997-09-30,Washington,2021,2021,1,SEA
00-0005927,Aaron Gibson,LT,1977-09-27,,1999,2004,6,CHI;DAL;DET
00-0006034,Aaron Glenn,CB,1972-07-16,,1994,2008,15,DAL;HOU;JAX;NO;NYJ
00-0006197,Aaron Graham,C,1973-05-22,,1996,2002,6,ARI;LV;TEN
00-0032672,Aaron Green,RB,1992-10-15,Texas Christian,2016,2016,1,STL
00-0032332,Aaron Grymes,CB,1991-03-01,Idaho,2016,2016,1,PHI
00-0023051,Aaron Halterman,TE,1982-03-31,,2007,2007,1,MIA
00-0007141,Aaron Hayden,RB,1973-04-13,,1995,1998,4,GB;LAC;PHI
00-0027713,Aaron Hernandez,TE,1989-11-06,,2010,2012,3,NE
00-0008676,Aaron Jones,EDGE,1966-12-18,,1988,1995,8,NE;PIT
00-0033293,Aaron Jones,RB,1994-12-02,Texas-El Paso,2017,2024,8,GB;MIN
00-0021269,Aaron Kampman,EDGE,1979-11-30,,2002,2011,9,GB;JAX
00-0019316,Aaron Koch,LG,1978-02-21,,2000,2001,2,JAX
aaron-kyle,Aaron Kyle,CB,1954-04-06,,1976,1982,7,DAL;DEN
