player_id,season,team_code,status,rating_source,rating_confidence,needs_manual_review,note,overall,speed,strength,awareness,pass_rating,run_rating,receiving,blocking,pass_block,run_block,pass_rush,run_defense,tackling,coverage,man_coverage,zone_coverage,hands,kicking,punting,clutch,playoff_clutch,durability
billy-gambrell,1965,ARI,generated_low_confidence,generated,0.45,,Rated 81 (WR): lead starter by within-roster depth rank — low confidence.,81,80,55,69,33,72,83,55,35,34,33,37,38,34,38,34,82,38,35,68,69,72
bobby-joe-conrad,1965,ARI,generated_low_confidence,generated,0.45,,Rated 81 (WR): lead starter by within-roster depth rank — low confidence.,81,79,57,70,36,70,82,55,34,33,34,37,34,37,35,34,79,34,35,68,70,73
sonny-randle,1965,ARI,generated_low_confidence,generated,0.45,,Rated 77 (WR): starter by within-roster depth rank — low confidence.,77,75,49,61,36,63,79,51,33,35,32,35,35,37,36,35,78,32,37,69,66,68
bob-reynolds,1965,ARI,generated_low_confidence,generated,0.33,,Rated 74 (LT): position-based prior (no starts or stats on file) — low confidence.,74,49,74,65,32,33,32,73,73,72,33,35,37,34,36,37,35,32,37,49,52,65
ernie-mcmillan,1965,ARI,generated_low_confidence,generated,0.33,,Rated 74 (LT): position-based prior (no starts or stats on file) — low confidence.,74,54,72,63,36,32,32,74,72,71,32,33,34,34,34,31,37,34,36,52,49,63
herschel-turner,1965,ARI,generated_low_confidence,generated,0.33,,Rated 74 (LT): position-based prior (no starts or stats on file) — low confidence.,74,51,72,63,36,35,36,77,74,73,35,34,37,36,32,36,31,34,34,54,54,63
jim-bakken,1965,ARI,generated_low_confidence,generated,0.45,,Rated 73 (K): lead starter by within-roster depth rank — low confidence.,73,37,37,63,37,31,36,36,34,34,32,32,34,37,36,36,35,76,54,61,64,63
buddy-humphrey,1965,ARI,generated_low_confidence,generated,0.33,true,Rated 72 (QB): position-based prior (no starts or stats on file) — low confidence.,72,63,53,72,70,54,33,34,36,33,35,35,32,31,32,35,58,32,33,71,58,63
charley-johnson,1965,ARI,generated_low_confidence,generated,0.33,true,Rated 72 (QB): position-based prior (no starts or stats on file) — low confidence.,72,64,48,72,73,49,35,33,33,36,31,32,33,35,33,37,60,33,33,74,63,63
larry-wilson,1965,ARI,generated_low_confidence,generated,0.33,,Rated 72 (CB): position-based prior (no starts or stats on file) — low confidence.,72,70,52,61,35,31,31,32,33,36,35,34,59,70,72,60,58,35,35,62,59,63
luke-owens,1965,ARI,generated_low_confidence,generated,0.33,,Rated 72 (EDGE): position-based prior (no starts or stats on file) — low confidence.,72,71,65,58,34,32,35,37,31,33,71,63,71,51,32,31,32,34,34,61,60,60
mike-melinkovich,1965,ARI,generated_low_confidence,generated,0.33,,Rated 72 (EDGE): position-based prior (no starts or stats on file) — low confidence.,72,71,63,61,34,36,34,36,31,36,74,63,73,46,31,32,31,34,35,65,62,62
monk-bailey,1965,ARI,generated_low_confidence,generated,0.33,,Rated 72 (CB): position-based prior (no starts or stats on file) — low confidence.,72,70,48,59,32,32,33,32,35,34,37,35,59,71,71,59,61,35,31,62,59,67
pat-fischer,1965,ARI,generated_low_confidence,generated,0.33,,Rated 72 (CB): position-based prior (no starts or stats on file) — low confidence.,72,71,49,65,36,37,32,32,36,33,33,34,61,71,73,64,61,33,35,57,64,64
terry-nofsinger,1965,ARI,generated_low_confidence,generated,0.33,true,Rated 72 (QB): position-based prior (no starts or stats on file) — low confidence.,72,62,52,69,70,53,33,32,33,32,32,36,32,31,34,34,60,32,35,71,58,60
tom-redmond,1965,ARI,generated_low_confidence,generated,0.33,,Rated 72 (EDGE): position-based prior (no starts or stats on file) — low confidence.,72,74,60,58,32,34,35,32,37,32,72,61,75,47,34,36,33,34,34,65,64,60
abe-woodson,1965,ARI,generated_low_confidence,generated,0.33,,Rated 71 (CB): position-based prior (no starts or stats on file) — low confidence.,71,73,52,57,36,36,33,35,34,35,36,33,59,71,72,64,60,36,32,57,61,59
bill-koman,1965,ARI,generated_low_confidence,generated,0.33,,Rated 71 (LB): position-based prior (no starts or stats on file) — low confidence.,71,64,58,69,36,34,33,31,34,37,60,71,70,61,46,64,33,31,32,60,57,64
bill-thornton,1965,ARI,generated_low_confidence,generated,0.33,,Rated 71 (RB): position-based prior (no starts or stats on file) — low confidence.,71,70,68,59,36,72,59,47,51,33,36,33,34,33,33,36,61,37,35,61,57,62
bill-triplett,1965,ARI,generated_low_confidence,generated,0.33,,Rated 71 (RB): position-based prior (no starts or stats on file) — low confidence.,71,70,69,62,35,69,58,49,47,36,35,33,36,33,32,34,65,32,31,62,58,62
bob-demarco,1965,ARI,generated_low_confidence,generated,0.33,,Rated 71 (C): position-based prior (no starts or stats on file) — low confidence.,71,47,73,62,33,34,34,72,72,70,36,33,31,33,31,35,31,33,36,46,47,65
carl-silvestri,1965,ARI,generated_low_confidence,generated,0.33,,Rated 71 (CB): position-based prior (no starts or stats on file) — low confidence.,71,70,53,59,31,36,33,33,34,31,32,32,58,69,71,61,63,33,32,62,58,66
chuck-logan,1965,ARI,generated_low_confidence,generated,0.33,,Rated 71 (TE): position-based prior (no starts or stats on file) — low confidence.,71,58,57,63,33,51,72,71,60,61,31,34,32,35,37,35,71,32,31,64,59,60
chuck-walker,1965,ARI,generated_low_confidence,generated,0.33,,Rated 71 (DT): position-based prior (no starts or stats on file) — low confidence.,71,48,71,64,34,33,36,35,31,34,68,74,60,34,34,35,36,36,31,62,64,61
dale-meinert,1965,ARI,generated_low_confidence,generated,0.33,,Rated 71 (LB): position-based prior (no starts or stats on file) — low confidence.,71,60,57,72,37,33,34,32,33,36,59,70,72,64,47,59,32,35,35,59,60,64
dave-meggyesy,1965,ARI,generated_low_confidence,generated,0.33,,Rated 71 (LB): position-based prior (no starts or stats on file) — low confidence.,71,58,64,68,31,34,35,35,36,36,63,70,71,60,47,64,31,35,36,59,59,66
dave-simmons,1965,ARI,generated_low_confidence,generated,0.33,,Rated 71 (LB): position-based prior (no starts or stats on file) — low confidence.,71,63,60,73,32,32,31,36,33,34,65,71,74,59,47,60,32,36,32,58,59,66
don-brumm,1965,ARI,generated_low_confidence,generated,0.33,,Rated 71 (EDGE): position-based prior (no starts or stats on file) — low confidence.,71,72,64,63,37,31,32,34,36,36,69,58,74,50,36,34,33,35,31,61,62,66
ed-cook,1965,ARI,generated_low_confidence,generated,0.33,,Rated 71 (LG): position-based prior (no starts or stats on file) — low confidence.,71,49,70,57,35,34,33,73,73,72,36,34,32,32,33,36,33,31,32,48,47,64
ed-mcquarters,1965,ARI,generated_low_confidence,generated,0.33,,Rated 71 (DT): position-based prior (no starts or stats on file) — low confidence.,71,48,71,63,36,36,36,31,31,31,74,72,64,35,34,34,37,31,35,57,64,62
irv-goode,1965,ARI,generated_low_confidence,generated,0.33,,Rated 71 (LG): position-based prior (no starts or stats on file) — low confidence.,71,53,73,58,36,35,33,72,72,72,34,34,36,36,33,34,31,33,35,46,52,62
jackie-smith,1965,ARI,generated_low_confidence,generated,0.33,,Rated 71 (TE): position-based prior (no starts or stats on file) — low confidence.,71,60,58,61,31,50,74,70,63,59,34,36,37,36,35,35,72,33,34,65,62,61
jerry-stovall,1965,ARI,generated_low_confidence,generated,0.33,,Rated 71 (CB): position-based prior (no starts or stats on file) — low confidence.,71,73,47,60,34,34,34,35,36,33,33,35,59,69,68,63,63,36,35,59,64,64
jimmy-burson,1965,ARI,generated_low_confidence,generated,0.33,,Rated 71 (CB): position-based prior (no starts or stats on file) — low confidence.,71,72,48,60,36,36,32,35,36,36,31,36,63,68,68,64,57,33,33,60,62,63
joe-childress,1965,ARI,generated_low_confidence,generated,0.33,,Rated 71 (RB): position-based prior (no starts or stats on file) — low confidence.,71,72,69,62,36,74,58,49,51,34,35,33,35,36,36,35,60,37,34,57,58,65
joe-robb,1965,ARI,generated_low_confidence,generated,0.33,,Rated 71 (EDGE): position-based prior (no starts or stats on file) — low confidence.,71,73,57,61,33,33,37,32,35,35,71,64,69,48,33,34,35,35,33,61,57,63
ken-gray,1965,ARI,generated_low_confidence,generated,0.33,,Rated 71 (LG): position-based prior (no starts or stats on file) — low confidence.,71,53,72,63,34,35,31,68,72,69,32,31,33,37,33,34,32,35,32,51,50,61
larry-stallings,1965,ARI,generated_low_confidence,generated,0.33,,Rated 71 (LB): position-based prior (no starts or stats on file) — low confidence.,71,60,61,71,34,34,35,32,33,35,57,73,74,61,50,58,32,36,32,61,62,63
mal-hammack,1965,ARI,generated_low_confidence,generated,0.33,,Rated 71 (RB): position-based prior (no starts or stats on file) — low confidence.,71,74,73,59,35,70,60,47,50,33,32,31,35,34,32,34,61,32,31,58,63,63
marion-rushing,1965,ARI,generated_low_confidence,generated,0.33,,Rated 71 (LB): position-based prior (no starts or stats on file) — low confidence.,71,62,57,73,35,34,33,35,35,35,62,73,73,64,48,59,32,35,33,64,58,60
mike-alford,1965,ARI,generated_low_confidence,generated,0.33,,Rated 71 (C): position-based prior (no starts or stats on file) — low confidence.,71,48,71,64,35,32,32,70,74,70,36,32,36,33,32,37,31,33,36,46,51,64
prentice-gautt,1965,ARI,generated_low_confidence,generated,0.33,,Rated 71 (RB): position-based prior (no starts or stats on file) — low confidence.,71,73,72,61,34,70,63,47,46,31,35,31,34,35,33,33,58,37,31,62,58,61
ray-ogden,1965,ARI,generated_low_confidence,generated,0.33,,Rated 71 (TE): position-based prior (no starts or stats on file) — low confidence.,71,63,62,58,31,49,69,70,62,60,35,31,37,36,32,34,69,36,36,61,59,60
rick-sortun,1965,ARI,generated_low_confidence,generated,0.33,,Rated 71 (LG): position-based prior (no starts or stats on file) — low confidence.,71,51,70,62,34,34,34,71,69,72,33,31,31,35,32,34,34,36,32,48,48,61
sam-silas,1965,ARI,generated_low_confidence,generated,0.33,,Rated 71 (DT): position-based prior (no starts or stats on file) — low confidence.,71,46,73,64,33,34,34,33,35,33,69,74,59,32,31,31,34,35,36,64,62,66
willis-crenshaw,1965,ARI,generated_low_confidence,generated,0.33,,Rated 71 (RB): position-based prior (no starts or stats on file) — low confidence.,71,69,70,62,32,73,64,50,51,35,31,31,31,35,31,34,60,33,36,62,64,60
ron-mcdole,1965,BUF,generated_low_confidence,generated,0.45,,Rated 82 (EDGE): lead starter by within-roster depth rank — low confidence.,82,83,71,66,38,34,37,39,34,38,84,72,83,55,36,33,38,37,38,66,65,67
tom-day,1965,BUF,generated_low_confidence,generated,0.45,,Rated 79 (EDGE): starter by within-roster depth rank — low confidence.,79,78,67,67,37,36,37,36,36,34,80,64,78,56,34,35,38,32,36,69,69,67
dick-hudson,1965,BUF,generated_low_confidence,generated,0.33,,Rated 74 (LT): position-based prior (no starts or stats on file) — low confidence.,74,47,76,66,32,37,34,75,75,76,36,36,34,33,35,35,36,34,34,52,53,66
stew-barber,1965,BUF,generated_low_confidence,generated,0.33,,Rated 74 (LT): position-based prior (no starts or stats on file) — low confidence.,74,49,72,64,34,33,35,72,74,72,33,37,33,32,33,35,33,34,33,48,53,63
pete-gogolak,1965,BUF,generated_low_confidence,generated,0.45,,Rated 73 (K): lead starter by within-roster depth rank — low confidence.,73,32,34,65,31,34,35,35,34,34,32,34,36,32,32,33,32,74,54,65,63,67
booker-edgerson,1965,BUF,generated_low_confidence,generated,0.33,,Rated 72 (CB): position-based prior (no starts or stats on file) — low confidence.,72,72,53,62,32,31,35,35,32,36,33,32,60,75,73,61,64,32,33,63,64,65
butch-byrd,1965,BUF,generated_low_confidence,generated,0.33,,Rated 72 (CB): position-based prior (no starts or stats on file) — low confidence.,72,74,49,64,34,31,32,36,32,32,34,33,64,72,75,61,65,35,32,65,65,61
charley-warner,1965,BUF,generated_low_confidence,generated,0.33,,Rated 72 (CB): position-based prior (no starts or stats on file) — low confidence.,72,73,54,64,35,34,33,36,32,36,35,36,59,73,75,63,59,36,34,64,60,64
