player_id,name,season,team_code,position,status,review_status,reviewed_by,last_updated,rating_confidence,reason,overall,speed,strength,awareness,pass_rating,run_rating,receiving,blocking,pass_block,run_block,pass_rush,run_defense,tackling,coverage,man_coverage,zone_coverage,hands,kicking,punting,clutch,playoff_clutch,durability
tom-brady,Tom Brady,2007,NE,QB,,approved,ratings-committee,2026-06-07,,Undefeated 16-0 record-setting MVP season,99,,,99,99,,,,,,,,,,,,,,,98,99,
jerry-rice,Jerry Rice,,,WR,,approved,ratings-committee,2026-06-07,,Greatest WR ever at peak dominance,99,92,,99,,,99,,,,,,,,,,99,,,95,96,
joe-montana,Joe Montana,,,QB,,approved,ratings-committee,2026-06-07,,Four-time champion and clutch master,98,,,99,97,,,,,,,,,,,,,,,99,99,
joe-greene,Joe Greene,1978,PIT,DT,,approved,ratings-committee,2026-06-07,,Steel Curtain anchor and intimidator,98,,98,95,,,,,,,92,98,,,,,,,,,,
jack-lambert,Jack Lambert,1978,PIT,LB,,approved,ratings-committee,2026-06-07,,Iconic intimidating middle linebacker,97,,,96,,,,,,,,96,99,84,,,,,,,,
mel-blount,Mel Blount,1978,PIT,CB,,approved,ratings-committee,2026-06-07,,Prototype shutdown cornerback,96,92,,,,,,,,,,,,96,97,,,,,,,
reggie-white,Reggie White,1996,GB,EDGE,,approved,ratings-committee,2026-06-07,,Minister of Defense and dominant edge,98,,99,,,,,,,,99,95,,,,,,,,,,
brett-favre,Brett Favre,1996,GB,QB,,approved,ratings-committee,2026-06-07,,1996 MVP gunslinger and iron man,97,,,90,95,,,,,,,,,,,,,,,95,,99
larry-csonka,Larry Csonka,1972,MIA,RB,,approved,ratings-committee,2026-06-07,,Bruising bell-cow back on the perfect-season Dolphins,95,,97,,,95,,,,,,,,,,,,,,,,95
bob-griese,Bob Griese,1972,MIA,QB,manually_reviewed,approved,ratings-committee,2026-06-07,,Injury-shortened year (Morrall started much of 1972); generated rating verified,,,,,,,,,,,,,,,,,,,,,,
ronnie-lott,Ronnie Lott,,,S,,approved,ratings-committee,2026-06-07,,Hardest hitting defensive back ever,98,,,97,,,,,,,,,97,95,,,,,,95,,
terry-bradshaw,Terry Bradshaw,1978,PIT,QB,manually_reviewed,approved,ratings-committee,2026-06-07,,Era-appropriate rating confirmed by review,,,,,,,,,,,,,,,,,,,,,,
ray-lewis,Ray Lewis,2000,BAL,LB,,approved,ratings-committee,2026-06-07,,"2000 DPOY and Super Bowl MVP, anchor of an all-time defense",99,88,,99,,,,,,,,98,99,88,,,,,,95,,
walter-payton,Walter Payton,1977,CHI,RB,,approved,ratings-committee,2026-06-07,,"1977 NFL MVP and OPOY, league-leading rusher",99,90,95,96,,99,82,,,,,,,,,,,,,,,97
walter-payton,Walter Payton,1985,CHI,RB,,approved,ratings-committee,2026-06-07,,1985 All-Pro and engine of the 15-1 champion Bears,96,90,92,95,,97,,,,,,,,,,,,,,92,95,99
mike-singletary,Mike Singletary,1985,CHI,LB,,approved,ratings-committee,2026-06-07,,"1985 Defensive Player of the Year, leader of the 46 defense",96,,,97,,,,,,,,96,98,,,,,,,90,93,
