player_id,name,position,secondary_positions,jersey_number,height,weight,birth_date,college,years_exp,games,games_started,scout_grade,awards,notes
,Bernie Erickson,LB,,0,74,240,1944-10-16,,,14,,,,nflverse
,Bob Howard,CB,,0,74,174,1944-11-24,,,14,,,,nflverse
,Bob Print,LB,,0,72,230,1944-01-16,,,14,,,,nflverse
,Brad Hubbert,RB,,0,73,235,1941-06-05,,,14,,,,nflverse
,Bud Whitehead,CB,,0,72,185,1939-01-01,,,14,,,,nflverse
,Chuck Allen,LB,,0,73,225,1939-09-07,,,14,,,,nflverse
,Dick Van Raaphorst,K,,0,72,218,1942-12-10,,,14,,,,nflverse
,Dickie Post,RB,,0,69,190,1945-09-27,,,14,,,,nflverse
,Ed Mitchell,LG,RG,0,74,285,1942-09-05,,,14,,,,nflverse
,Ernie Wright,LT,RT,0,76,270,1939-11-06,,,14,,,,nflverse
,Frank Buncom,LB,,0,74,235,1939-11-02,,,14,,,,nflverse
,Frank Marsh,CB,,0,74,205,1940-06-19,,,14,,,,nflverse
,Gary Garrison,WR,,0,74,193,1944-01-21,,,14,,,,nflverse
,Gary Kirner,LG,RG,0,75,255,1942-06-22,,,14,,,,nflverse
,Gene Foster,RB,,0,72,220,1942-03-20,,,14,,,,nflverse
,George Gross,DT,,0,75,270,1941-01-26,,,14,,,,nflverse
,Harold Akin,LT,RT,0,77,260,1945-01-11,,,14,,,,nflverse
,Houston Ridge,DT,,0,76,270,1944-07-18,,,14,,,,nflverse
,Jacque MacKinnon,TE,,0,76,235,1938-11-10,,,14,,,,nflverse
,Jeff Staggs,LB,,0,73,240,1944-05-14,,,14,,,,nflverse
,Jim Allison,RB,,0,72,215,1943-03-02,,,14,,,,nflverse
,Jim Griffin,EDGE,,0,75,265,1942-02-08,,,14,,,,nflverse
,Jim Tolbert,CB,,0,76,200,1944-03-12,,,14,,,,nflverse
,Joe Beauchamp,CB,,0,72,188,1944-04-11,,,14,,,,nflverse
,John Hadl,QB,,0,73,214,1940-02-15,,,14,,,,nflverse
,Johnny Baker,LB,,0,75,230,1941-03-15,,,14,,,,nflverse
,Kay Stephenson,QB,,0,73,210,1944-12-17,,,14,,,,nflverse
,Kenny Graham,CB,,0,72,210,1941-11-25,,,14,,,,nflverse
,Lance Alworth,WR,,0,72,184,1940-08-03,,,14,,,,nflverse
,Larry Little,LG,RG,0,73,265,1945-11-02,,,14,,,,nflverse
,Olie Cordill,CB,,0,75,185,1943-06-20,,,14,,,,nflverse
,Paul Latzke,C,,0,76,240,1942-03-22,,,14,,,,nflverse
,Paul Lowe,RB,,0,72,205,1936-09-27,,,14,,,,nflverse
,Rick Redman,LB,,0,73,220,1943-03-07,,,14,,,,nflverse
,Ron Billingsley,EDGE,,0,80,290,1945-04-06,,,14,,,,nflverse
,Ron McCall,LB,,0,74,240,1944-07-11,,,14,,,,nflverse
,Ron Mix,LT,RT,0,76,250,1938-03-10,,,14,,,,nflverse
,Russ Smith,RB,,0,72,212,1944-08-04,,,14,,,,nflverse
,Sam Gruneisen,C,,0,73,242,1941-01-16,,,14,,,,nflverse
,Scott Appleton,DT,,0,75,260,1942-02-20,,,14,,,,nflverse
,Speedy Duncan,CB,,0,70,180,1942-08-10,,,14,,,,nflverse
,Steve DeLong,EDGE,,0,74,252,1943-07-03,,,14,,,,nflverse
,Steve Newell,WR,,0,73,186,1944-12-27,,,14,,,,nflverse
,Terry Owens,LT,RT,0,78,260,1944-07-05,,,14,,,,nflverse
,Tom Day,EDGE,,0,74,262,1935-08-20,,,14,,,,nflverse
,Walt Sweeney,LG,RG,0,76,256,1941-04-18,,,14,,,,nflverse
,Willie Frazier,TE,,0,76,225,1942-06-19,,,14,,,,nflverse
