player_id,name,position,secondary_positions,jersey_number,height,weight,birth_date,college,years_exp,games,games_started,scout_grade,awards,notes
,Al Harris,EDGE,,0,77,250,1956-12-31,,,14,,,,nflverse
,Alan Page,DT,,0,76,245,1945-08-07,,,14,,,,nflverse
,Bob Avellini,QB,,0,74,208,1953-08-28,,,14,,,,nflverse
,Bob Fisher,TE,,0,75,240,1958-03-17,,,14,,,,nflverse
,Bob Parsons,P,,0,76,234,1950-06-29,,,14,,,,nflverse
,Bob Thomas,K,,0,70,178,1952-08-07,,,14,,,,nflverse
,Brad Shearer,DT,,0,75,250,1955-08-10,,,14,,,,nflverse
,Brian Baschnagel,WR,,0,71,195,1954-01-08,,,14,,,,nflverse
,Brian Cabral,LB,,0,73,209,1956-06-23,,,14,,,,nflverse
,Brooks Williams,TE,,0,76,226,1954-12-07,,,14,,,,nflverse
,Bruce Herron,LB,,0,74,220,1954-04-14,,,14,,,,nflverse
,Dan Hampton,EDGE,,0,77,255,1957-09-19,,,14,,,,nflverse
,Dan Jiggetts,LT,RT,0,76,274,1954-03-10,,,14,,,,nflverse
,Dan Neal,C,,0,76,240,1949-08-30,,,14,,,,nflverse
,Dave Williams,RB,,0,74,210,1954-03-10,,,14,,,,nflverse
,Dennis Lick,LT,RT,0,75,271,1954-04-26,,,14,,,,nflverse
,Doug Plank,S,,0,72,197,1953-03-04,,,14,,,,nflverse
,Emanuel Zanders,LG,RG,0,73,251,1951-07-31,,,14,,,,nflverse
,Emery Moorehead,TE,,0,74,210,1954-03-22,,,14,,,,nflverse
,Gary Campbell,LB,,0,73,218,1952-03-04,,,14,,,,nflverse
,Gary Fencik,S,,0,73,190,1954-06-11,,,14,,,,nflverse
,Hans Nielsen,K,,0,71,165,1952-11-18,,,14,,,,nflverse
00-0007411,Jay Hilgenberg,C,,0,75,250,1959-03-21,,,14,,,,nflverse
,Jeff Fisher,CB,,0,71,188,1958-02-25,,,14,,,,nflverse
,Jim Osborne,DT,,0,75,250,1949-09-07,,,14,,,,nflverse
,John Roveto,K,,0,72,180,1958-02-20,,,14,,,,nflverse
,John Skibinski,RB,,0,72,222,1955-04-27,,,14,,,,nflverse
00-0016823,Keith Van Horne,LT,RT,0,78,265,1957-11-06,,,14,,,,nflverse
,Ken Margerum,WR,,0,72,170,1958-10-05,,,14,,,,nflverse
,Kris Haines,WR,,0,71,183,1957-07-23,,,14,,,,nflverse
,Lee Kunz,LB,,0,74,226,1957-04-21,,,14,,,,nflverse
,Len Walterscheid,S,,0,71,190,1954-09-13,,,14,,,,nflverse
,Leslie Frazier,CB,,0,72,189,1959-04-03,,,14,,,,nflverse
,Marcus Anderson,WR,,0,71,178,1959-06-12,,,14,,,,nflverse
,Matt Suhey,RB,,0,71,217,1958-07-07,,,14,,,,nflverse
,Mike Cobb,TE,,0,77,244,1955-12-10,,,14,,,,nflverse
,Mike Hartenstine,EDGE,,0,75,240,1953-07-27,,,14,,,,nflverse
,Mike Phipps,QB,,0,75,208,1947-11-19,,,14,,,,nflverse
00-0014988,Mike Singletary,LB,,0,72,230,1958-10-09,,,14,,,,nflverse
,Noah Jackson,LG,RG,0,74,263,1951-04-14,,,14,,,,nflverse
,Otis Wilson,LB,,0,74,222,1957-09-15,,,14,,,,nflverse
,Reuben Henderson,CB,,0,73,200,1958-10-03,,,14,,,,nflverse
,Revie Sorey,LG,RG,0,74,260,1953-09-10,,,14,,,,nflverse
,Rickey Watts,WR,,0,73,203,1957-05-16,,,14,,,,nflverse
,Robin Earl,TE,,0,77,247,1955-03-18,,,14,,,,nflverse
,Roland Harper,RB,,0,71,194,1953-02-28,,,14,,,,nflverse
00-0011001,Steve McMichael,DT,,0,74,245,1957-10-17,,,14,,,,nflverse
,Ted Albrecht,LT,RT,0,76,253,1954-10-08,,,14,,,,nflverse
,Terry Schmidt,CB,,0,72,177,1952-05-28,,,14,,,,nflverse
,Todd Bell,CB,,0,73,207,1958-11-28,,,14,,,,nflverse
00-0005010,Vince Evans,QB,,0,74,212,1955-06-14,,,14,,,,nflverse
,Walter Payton,RB,,0,70,200,1954-07-25,,,14,,,,nflverse
,Willie McClendon,RB,,0,73,205,1957-09-13,,,14,,,,nflverse
