player_id,name,position,secondary_positions,jersey_number,height,weight,birth_date,college,years_exp,games,games_started,scout_grade,awards,notes
,Barry Bennett,DT,,0,76,257,1955-12-10,,,14,,,,nflverse
,Ben Rudolph,EDGE,,0,77,271,1957-08-29,,,14,,,,nflverse
,Bob Avellini,QB,,0,74,208,1953-08-28,,,14,,,,nflverse
,Bob Crable,LB,,0,75,228,1959-09-22,,,14,,,,nflverse
,Bobby Bell,LB,,0,75,217,1962-02-07,,,14,,,,nflverse
,Bobby Humphery,WR,,0,70,170,1961-08-23,,,14,,,,nflverse
,Bobby Jackson,CB,,0,69,175,1956-12-23,,,14,,,,nflverse
,Bruce Harper,RB,,0,68,174,1955-06-20,,,14,,,,nflverse
,Cedric Minter,RB,,0,70,190,1958-11-13,,,14,,,,nflverse
,Chuck Ramsey,P,,0,74,191,1952-02-24,,,14,,,,nflverse
,Chy Davidson,WR,,0,71,175,1959-05-09,,,14,,,,nflverse
,Dan Alexander,LG,RG,0,76,260,1955-06-17,,,14,,,,nflverse
,Darrol Ray,S,,0,73,200,1958-06-25,,,14,,,,nflverse
,Davlin Mullen,CB,,0,73,175,1960-02-17,,,14,,,,nflverse
,Dennis Bligen,RB,,0,71,215,1962-03-03,,,14,,,,nflverse
,Derrick Gaffney,WR,,0,73,175,1955-05-24,,,14,,,,nflverse
,Fernanza Burgess,WR,,0,73,210,1960-03-06,,,14,,,,nflverse
00-0011035,Freeman McNeil,RB,,0,71,216,1959-04-22,,,14,,,,nflverse
,George Floyd,CB,,0,71,190,1960-12-21,,,14,,,,nflverse
,Glenn Dennison,TE,,0,75,225,1961-11-17,,,14,,,,nflverse
,Glenn Inverso,QB,,0,73,199,1958-06-24,,,14,,,,nflverse
,Greg Buttle,LB,,0,75,235,1954-06-20,,,14,,,,nflverse
00-0001251,Guy Bingham,C,,0,75,255,1958-02-25,,,14,,,,nflverse
00-0006715,Harry Hamilton,CB,,0,72,190,1962-11-29,,,14,,,,nflverse
,Jim Eliopulos,LB,,0,74,230,1959-04-18,,,14,,,,nflverse
00-0015962,Jim Sweeney,LG,RG,0,76,260,1962-08-08,,,14,,,,nflverse
,Joe Fields,C,,0,74,250,1953-11-14,,,14,,,,nflverse
,Joe Klecko,DT,,0,75,256,1953-10-15,,,14,,,,nflverse
,John Woodring,LB,,0,74,232,1959-04-04,,,14,,,,nflverse
00-0007197,Johnny Hector,RB,,0,71,200,1960-11-26,,,14,,,,nflverse
,Johnny Lynn,CB,,0,72,190,1956-12-19,,,14,,,,nflverse
00-0012246,Ken O'Brien,QB,,0,76,210,1960-11-27,,,14,,,,nflverse
,Ken Schroy,S,,0,74,198,1952-09-22,,,14,,,,nflverse
,Kirk Springs,S,,0,72,192,1958-08-16,,,14,,,,nflverse
,Kurt Sohn,WR,,0,71,180,1957-06-26,,,14,,,,nflverse
00-0003125,Kyle Clifton,LB,,0,76,230,1962-08-23,,,14,,,,nflverse
,Lam Jones,WR,,0,71,180,1958-04-04,,,14,,,,nflverse
,Lance Mehl,LB,,0,75,235,1958-02-14,,,14,,,,nflverse
,Marion Barber,RB,,0,75,224,1959-12-06,,,14,,,,nflverse
,Mark Gastineau,EDGE,,0,77,253,1956-11-20,,,14,,,,nflverse
,Mark Reed,QB,,0,75,201,1959-02-21,,,14,,,,nflverse
,Marty Lyons,DT,,0,77,269,1957-01-05,,,14,,,,nflverse
,Marvin Powell,LT,RT,0,77,264,1955-08-30,,,14,,,,nflverse
00-0014844,Mickey Shuler,TE,,0,75,236,1956-08-21,,,14,,,,nflverse
,Mike Dennis,CB,,0,70,190,1958-06-06,,,14,,,,nflverse
,Nick Bruckner,WR,,0,71,185,1961-05-19,,,14,,,,nflverse
00-0009716,Pat Leahy,K,,0,72,189,1951-03-19,,,14,,,,nflverse
00-0014225,Pat Ryan,QB,,0,75,210,1955-09-16,,,14,,,,nflverse
00-0010829,Reggie McElroy,LT,RT,0,78,270,1960-03-04,,,14,,,,nflverse
,Rocky Klever,TE,,0,75,225,1959-07-10,,,14,,,,nflverse
,Ron Faurot,EDGE,,0,79,262,1962-01-27,,,14,,,,nflverse
,Russell Carter,CB,,0,74,195,1962-02-10,,,14,,,,nflverse
,Rusty Guilbeau,LB,,0,76,250,1958-11-20,,,14,,,,nflverse
,Stan Waldemore,LG,RG,0,76,263,1955-02-20,,,14,,,,nflverse
,Ted Banker,C,,0,74,260,1961-02-17,,,14,,,,nflverse
,Tom Baldwin,DT,,0,76,270,1961-05-13,,,14,,,,nflverse
00-0012506,Tony Paige,RB,,0,70,225,1962-10-14,,,14,,,,nflverse
,Wesley Walker,WR,,0,72,179,1955-05-26,,,14,,,,nflverse
