player_id,name,position,secondary_positions,jersey_number,height,weight,birth_date,college,years_exp,games,games_started,scout_grade,awards,notes
00-0015083,Al Smith,LB,,54,73,230,1964-11-26,,,14,,,,nflverse
00-0012997,Allen Pinkett,RB,,0,69,181,1964-01-25,,,14,,,,nflverse
,Bernard Ford,WR,,0,69,168,1966-02-27,,,14,,,,nflverse
00-0012401,Bo Orlando,CB,,0,70,180,1966-04-03,,,14,,,,nflverse
00-0010550,Bruce Matthews,LG,RG,74,77,276,1961-08-08,,,14,,,,nflverse
00-0010819,Bubba McDowell,S,,0,73,195,1966-11-04,,,14,,,,nflverse
00-0002642,Cody Carlson,QB,,0,75,203,1963-11-05,,,14,,,,nflverse
00-0004337,Cris Dishman,CB,,28,72,181,1965-08-13,,,14,,,,nflverse
00-0004621,Curtis Duncan,WR,,0,71,184,1965-01-26,,,14,,,,nflverse
00-0017769,David Williams,LT,RT,0,77,292,1966-06-21,,,14,,,,nflverse
00-0015621,Dean Steinkuhler,LT,RT,0,75,275,1961-01-27,,,14,,,,nflverse
,Dee Thomas,CB,,0,70,176,1967-11-07,,,14,,,,nflverse
00-0010271,Don Maggs,LT,RT,0,77,265,1961-11-01,,,14,,,,nflverse
00-0004086,Doug Dawson,LG,RG,0,75,267,1961-12-27,,,14,,,,nflverse
,Doug Smith,DT,,0,76,285,1959-06-13,,,14,,,,nflverse
00-0007431,Drew Hill,WR,,0,69,170,1956-10-05,,,14,,,,nflverse
00-0005048,Eric Fairs,LB,,0,75,235,1964-02-17,,,14,,,,nflverse
00-0012166,Erik Norgard,LG,RG,64,73,275,1965-11-04,,,14,,,,nflverse
00-0006015,Ernest Givins,WR,,0,69,168,1964-09-03,,,14,,,,nflverse
00-0014605,Eugene Seale,LB,,0,70,250,1964-06-03,,,14,,,,nflverse
00-0008503,Ezra Johnson,DT,,0,76,240,1955-10-02,,,14,,,,nflverse
,Gerald McNeil,WR,,0,67,140,1962-03-27,,,14,,,,nflverse
00-0011504,Glenn Montgomery,DT,,0,72,274,1967-03-31,,,14,,,,nflverse
00-0011505,Greg Montgomery,P,,0,76,217,1964-10-29,,,14,,,,nflverse
00-0008319,Haywood Jeffires,WR,,0,74,198,1964-12-12,,,14,,,,nflverse
,Jay Pennison,C,,0,73,255,1961-09-09,,,14,,,,nflverse
00-0000243,Jeff Alm,DT,,0,78,273,1968-03-31,,,14,,,,nflverse
00-0006479,John Grimsley,LB,,0,74,225,1962-02-25,,,14,,,,nflverse
00-0011078,Johnny Meads,LB,,0,74,220,1961-06-25,,,14,,,,nflverse
00-0009663,Lamar Lathon,LB,,0,75,250,1967-12-23,,,14,,,,nflverse
,Leander Knight,S,,0,73,193,1963-02-16,,,14,,,,nflverse
00-0006971,Leonard Harris,WR,,0,68,185,1960-11-27,,,14,,,,nflverse
00-0017552,Lorenzo White,RB,,0,71,208,1966-04-12,,,14,,,,nflverse
00-0011819,Mike Munchak,LG,RG,0,75,263,1960-03-05,,,14,,,,nflverse
,Patrick Allen,CB,,0,70,173,1961-08-26,,,14,,,,nflverse
,Quintin Jones,CB,,0,71,193,1966-07-28,,,14,,,,nflverse
00-0002947,Ray Childress,DT,,0,78,267,1962-10-20,,,14,,,,nflverse
00-0015028,Reggie Slack,QB,,0,73,217,1968-05-02,,,14,,,,nflverse
00-0008606,Richard Johnson,CB,,0,73,195,1963-09-16,,,14,,,,nflverse
00-0009441,Scott Kozak,LB,,0,75,226,1965-11-28,,,14,,,,nflverse
00-0008865,Sean Jones,EDGE,,0,79,265,1962-12-19,,,14,,,,nflverse
,Steve Brown,CB,,0,71,178,1960-05-20,,,14,,,,nflverse
,Teddy Garcia,K,,0,70,187,1964-06-04,,,14,,,,nflverse
,Terry Kinard,S,,0,73,190,1959-11-24,,,14,,,,nflverse
00-0008884,Tony Jones,WR,,0,67,142,1965-12-30,,,14,,,,nflverse
00-0018495,Tony Zendejas,K,,0,68,165,1960-05-15,,,14,,,,nflverse
,Victor Jones,RB,,0,68,212,1967-12-05,,,14,,,,nflverse
00-0011524,Warren Moon,QB,,0,75,210,1956-11-18,,,14,,,,nflverse
00-0005639,William Fuller,EDGE,,0,75,258,1962-03-08,,,14,,,,nflverse
00-0012740,Willis Peguese,EDGE,,0,76,267,1966-12-18,,,14,,,,nflverse
