player_id,name,position,secondary_positions,jersey_number,height,weight,birth_date,college,years_exp,games,games_started,scout_grade,awards,notes
00-0013809,Alfredo Roberts,TE,,0,75,250,1965-03-01,,,14,,,,nflverse
00-0006877,Alvin Harper,WR,,0,76,204,1968-07-06,,,14,,,,nflverse
00-0009427,Bernie Kosar,QB,,0,77,210,1963-11-25,,,14,,,,nflverse
00-0000868,Bill Bates,CB,,40,73,199,1961-06-06,,,14,,,,nflverse
00-0010381,Brock Marion,CB,,31,71,178,1970-06-11,,,14,,,,nflverse
00-0007283,Chad Hennings,EDGE,,95,78,272,1965-10-20,,,14,,,,nflverse
00-0006633,Charles Haley,EDGE,,94,77,230,1964-01-06,,,14,,,,nflverse
00-0007646,Clayton Holmes,CB,,0,70,178,1969-08-23,,,14,,,,nflverse
00-0007226,Dale Hellestrae,LT,RT,70,77,261,1962-07-11,,,14,,,,nflverse
00-0018228,Darren Woodson,S,,28,73,216,1969-04-25,,,14,,,,nflverse
00-0015132,Darrin Smith,LB,,59,73,237,1970-04-15,,,14,,,,nflverse
00-0008660,Daryl Johnston,RB,,48,74,237,1966-02-10,,,14,,,,nflverse
00-0016242,Dave Thomas,CB,,0,75,205,1968-08-25,,,14,,,,nflverse
00-0005680,Derrick Gainer,RB,,0,71,240,1966-08-15,,,14,,,,nflverse
00-0009658,Derrick Lassic,RB,,0,70,192,1970-01-26,,,14,,,,nflverse
00-0004756,Dixon Edwards,LB,,0,73,220,1968-03-25,,,14,,,,nflverse
00-0011859,Eddie Murray,K,,0,70,175,1956-08-29,,,14,,,,nflverse
00-0012648,Elvis Patterson,CB,,0,71,190,1960-10-21,,,14,,,,nflverse
00-0015165,Emmitt Smith,RB,,22,69,199,1969-05-15,,,14,,,,nflverse
00-0017792,Erik Williams,LT,RT,79,78,320,1968-09-07,,,14,,,,nflverse
,Frank Cornish,C,,0,76,295,1967-09-24,,,14,,,,nflverse
00-0011896,Godfrey Myles,LB,,98,73,242,1968-09-22,,,14,,,,nflverse
00-0012610,James Parrish,LT,RT,0,78,285,1968-05-19,,,14,,,,nflverse
00-0017247,James Washington,S,,0,73,191,1965-01-10,,,14,,,,nflverse
00-0005794,Jason Garrett,QB,,17,74,196,1966-03-28,,,14,,,,nflverse
00-0012208,Jay Novacek,TE,,84,76,217,1962-10-24,,,14,,,,nflverse
00-0008297,Jim Jeffcoat,EDGE,,0,77,264,1961-04-01,,,14,,,,nflverse
,Jim Price,TE,,0,76,247,1966-10-02,,,14,,,,nflverse
00-0008779,Jimmie Jones,DT,,0,76,284,1966-01-09,,,14,,,,nflverse
00-0015218,Jimmy Smith,WR,,0,73,200,1969-02-09,,,14,,,,nflverse
00-0005238,Joe Fishback,CB,,0,72,198,1967-11-29,,,14,,,,nflverse
00-0011188,Joey Mickey,TE,,0,77,288,1970-11-29,,,14,,,,nflverse
00-0005907,John Gesek,LG,RG,0,77,275,1963-02-18,,,14,,,,nflverse
00-0008401,John Jett,P,,19,72,184,1968-11-11,,,14,,,,nflverse
00-0012196,Ken Norton,LB,,0,74,224,1966-09-29,,,14,,,,nflverse
00-0005745,Kenneth Gant,CB,,0,71,178,1967-04-18,,,14,,,,nflverse
00-0006078,Kevin Gogan,LG,RG,0,79,295,1964-11-02,,,14,,,,nflverse
00-0017860,Kevin R. Williams,WR,,85,69,190,1971-01-25,,,14,,,,nflverse
00-0015238,Kevin Smith,CB,,26,71,173,1970-04-07,,,14,,,,nflverse
00-0001984,Larry Brown,CB,,0,71,184,1969-11-30,,,14,,,,nflverse
00-0009823,Leon Lett,DT,,78,78,273,1968-10-12,,,14,,,,nflverse
00-0003229,Lincoln Coleman,RB,,0,73,245,1969-08-12,,,14,,,,nflverse
00-0015663,Mark Stepnoski,C,,0,74,269,1967-01-20,,,14,,,,nflverse
00-0016673,Mark Tuinei,LT,RT,71,77,270,1960-03-31,,,14,,,,nflverse
00-0016827,Matt Vanderbeek,LB,,0,75,241,1967-08-16,,,14,,,,nflverse
00-0008044,Michael Irvin,WR,,88,74,198,1966-03-05,,,14,,,,nflverse
00-0012081,Nate Newton,LG,RG,61,75,306,1961-12-20,,,14,,,,nflverse
00-0008853,Robert Jones,LB,,0,75,236,1969-09-27,,,14,,,,nflverse
00-0015761,Ron Stone,LT,RT,0,77,306,1971-07-20,,,14,,,,nflverse
00-0010491,Russell Maryland,DT,,0,73,274,1969-03-22,,,14,,,,nflverse
00-0005701,Scott Galbraith,TE,,0,74,260,1967-01-07,,,14,,,,nflverse
00-0005017,Thomas Everett,S,,0,69,184,1964-11-21,,,14,,,,nflverse
00-0003858,Tim Daniel,WR,,0,71,184,1969-09-14,,,14,,,,nflverse
00-0000096,Tommie Agee,RB,,0,72,220,1964-02-22,,,14,,,,nflverse
00-0002794,Tony Casillas,DT,,75,75,280,1963-10-26,,,14,,,,nflverse
00-0016524,Tony Tolbert,EDGE,,92,78,245,1967-12-29,,,14,,,,nflverse
00-0000104,Troy Aikman,QB,,8,76,220,1966-11-21,,,14,,,,nflverse
00-0017946,Tyrone Williams,WR,,0,77,207,1970-03-26,,,14,,,,nflverse
