player_id,name,position,secondary_positions,jersey_number,height,weight,birth_date,college,years_exp,games,games_started,scout_grade,awards,notes
00-0012056,Anthony Newman,S,,0,72,199,1965-11-25,,,14,,,,nflverse
00-0001857,Bern Brostek,C,,0,75,300,1966-09-11,,,14,,,,nflverse
00-0002371,Blair Bush,C,,0,75,252,1956-11-25,,,14,,,,nflverse
,Brad Fichtel,C,,0,74,285,1970-03-10,,,14,,,,nflverse
00-0003268,Brett Collins,LB,,0,73,226,1968-10-08,,,14,,,,nflverse
00-0010440,Chris Martin,LB,,0,74,220,1960-12-19,,,14,,,,nflverse
00-0001011,Chuck Belin,LG,RG,0,74,312,1970-10-27,,,14,,,,nflverse
00-0005810,Cleveland Gary,RB,,0,72,226,1966-05-04,,,14,,,,nflverse
,Courtney Griffin,CB,,0,70,180,1966-12-19,,,14,,,,nflverse
00-0000472,Darryl Ashmore,LT,RT,77,79,300,1969-11-01,,,14,,,,nflverse
,Darryl Henley,CB,,0,69,165,1966-10-30,,,14,,,,nflverse
00-0009610,David Lang,RB,,0,71,201,1968-03-28,,,14,,,,nflverse
,David Rocker,DT,,0,76,267,1969-03-12,,,14,,,,nflverse
00-0001615,Deral Boykin,CB,,0,71,196,1970-09-02,,,14,,,,nflverse
00-0003968,Dexter Davis,CB,,0,70,190,1970-03-20,,,14,,,,nflverse
,Ernie Jones,WR,,0,71,186,1964-12-15,,,14,,,,nflverse
00-0000351,Flipper Anderson,WR,,0,72,169,1965-03-07,,,14,,,,nflverse
00-0015749,Fred Stokes,EDGE,,0,75,262,1964-03-14,,,14,,,,nflverse
,Gerald Robinson,EDGE,,0,75,253,1963-05-04,,,14,,,,nflverse
00-0004830,Henry Ellard,WR,,0,71,170,1961-07-21,,,14,,,,nflverse
00-0013997,Henry Rolling,LB,,0,74,225,1965-09-08,,,14,,,,nflverse
00-0006456,Howard Griffith,RB,,0,72,223,1967-11-17,,,14,,,,nflverse
00-0004716,Irv Eatman,LT,RT,0,79,280,1961-01-01,,,14,,,,nflverse
00-0015035,Jackie Slater,LT,RT,0,76,280,1954-05-27,,,14,,,,nflverse
00-0010455,Jamie Martin,QB,,0,74,215,1970-02-08,,,14,,,,nflverse
,Jeff Esters,DT,,0,74,291,1969-07-06,,,14,,,,nflverse
00-0012502,Jeff Pahukoa,LG,RG,0,74,298,1969-02-09,,,14,,,,nflverse
00-0001215,Jerome Bettis,RB,,0,71,243,1972-02-16,,,14,,,,nflverse
00-0005015,Jim Everett,QB,,0,77,212,1963-01-03,,,14,,,,nflverse
00-0010052,Keith Loneker,LG,RG,0,75,330,1971-06-21,,,14,,,,nflverse
00-0001312,Kelly Blackwell,TE,,0,73,255,1969-02-13,,,14,,,,nflverse
00-0013798,Kevin Robbins,LT,RT,0,77,286,1966-12-12,,,14,,,,nflverse
00-0006064,Leo Goeas,LG,RG,0,76,285,1966-08-15,,,14,,,,nflverse
00-0017549,Leon White,LB,,0,75,225,1963-10-04,,,14,,,,nflverse
00-0016044,Maa Tanuvasa,DT,,0,74,277,1970-11-06,,,14,,,,nflverse
00-0001551,Marc Boutte,DT,,0,76,298,1969-07-25,,,14,,,,nflverse
00-0015702,Michael Stewart,S,,0,71,195,1965-07-12,,,14,,,,nflverse
00-0013231,Mitchell Price,CB,,0,69,181,1967-05-10,,,14,,,,nflverse
00-0002753,Pat Carter,TE,,0,76,263,1966-08-01,,,14,,,,nflverse
00-0016182,Pat Terrell,S,,0,73,195,1968-03-18,,,14,,,,nflverse
,Phillip Bobo,WR,,0,71,186,1971-12-06,,,14,,,,nflverse
00-0002167,Richard Buchanan,WR,,0,70,173,1969-05-08,,,14,,,,nflverse
00-0000601,Robert Bailey,CB,,0,70,176,1968-09-03,,,14,,,,nflverse
,Robert Young,EDGE,,0,78,273,1969-01-29,,,14,,,,nflverse
00-0012909,Roman Phifer,LB,,0,74,230,1968-03-05,,,14,,,,nflverse
00-0017570,Russell White,RB,,0,71,216,1970-12-15,,,14,,,,nflverse
00-0005962,Sean Gilbert,DT,,0,77,315,1970-04-10,,,14,,,,nflverse
00-0009540,Sean LaChapelle,WR,,0,75,205,1970-07-29,,,14,,,,nflverse
00-0009584,Sean Landeta,P,,0,72,200,1962-01-06,,,14,,,,nflverse
00-0003368,Shane Conlan,LB,,0,75,230,1964-03-04,,,14,,,,nflverse
00-0008063,Steve Israel,CB,,0,71,186,1969-03-16,,,14,,,,nflverse
00-0014129,T.J. Rubley,QB,,0,75,205,1968-11-29,,,14,,,,nflverse
00-0007686,Thomas Homco,LB,,57,72,245,1970-01-08,,,14,,,,nflverse
00-0009819,Tim Lester,RB,,0,69,215,1968-06-15,,,14,,,,nflverse
00-0009238,Todd Kinchen,WR,,0,71,187,1969-01-07,,,14,,,,nflverse
00-0010173,Todd Lyght,CB,,0,72,186,1969-02-09,,,14,,,,nflverse
00-0012044,Tom Newberry,LG,RG,0,74,279,1962-12-20,,,14,,,,nflverse
00-0018221,Tony Woods,EDGE,,0,76,244,1965-10-11,,,14,,,,nflverse
00-0018495,Tony Zendejas,K,,0,68,165,1960-05-15,,,14,,,,nflverse
00-0011031,Travis McNeal,TE,,0,75,239,1967-01-10,,,14,,,,nflverse
00-0004524,Troy Drayton,TE,,0,75,255,1970-06-29,,,14,,,,nflverse
00-0007256,Wymon Henderson,CB,,0,70,190,1961-12-15,,,14,,,,nflverse
