player_id,name,position,secondary_positions,jersey_number,height,weight,birth_date,college,years_exp,games,games_started,scout_grade,awards,notes
00-0000582,Aaron Bailey,WR,,0,70,184,1971-10-24,,,14,,,,nflverse
00-0000261,Ashley Ambrose,CB,,0,70,177,1970-09-17,,,14,,,,nflverse
00-0017619,Bernard Whittington,EDGE,,0,77,257,1971-08-20,,,14,,,,nflverse
00-0000727,Brad Banta,TE,,0,78,254,1970-12-14,,,14,,,,nflverse
00-0013433,Brian Ratigan,LB,,0,76,226,1970-12-27,,,14,,,,nflverse
00-0015507,Brian Stablein,WR,,0,73,185,1970-04-14,,,14,,,,nflverse
00-0011907,Browning Nagle,QB,,0,75,225,1968-04-29,,,14,,,,nflverse
00-0006266,Cecil Gray,LT,RT,0,76,292,1968-02-16,,,14,,,,nflverse
00-0000404,Charles Arbuckle,TE,,0,75,248,1968-09-13,,,14,,,,nflverse
00-0017326,Damon Watts,CB,,36,70,173,1972-04-08,,,14,,,,nflverse
00-0016057,David Tate,S,,49,73,200,1964-11-22,,,14,,,,nflverse
00-0001229,Dean Biasucci,K,,0,72,190,1962-07-25,,,14,,,,nflverse
00-0006270,Derwin Gray,CB,,0,71,190,1971-04-09,,,14,,,,nflverse
00-0010797,Devon McDonald,LB,,0,76,240,1969-11-08,,,14,,,,nflverse
00-0001743,Dewell Brewer,RB,,0,68,203,1970-05-22,,,14,,,,nflverse
00-0010284,Don Majkowski,QB,,0,74,203,1964-02-25,,,14,,,,nflverse
00-0016542,Ed Toner,RB,,0,72,240,1968-03-22,,,14,,,,nflverse
00-0010278,Eric Mahlum,LG,RG,0,76,285,1970-12-06,,,14,,,,nflverse
00-0003855,Eugene Daniel,CB,,0,71,188,1961-05-04,,,14,,,,nflverse
00-0016711,Floyd Turner,WR,,0,71,198,1966-05-29,,,14,,,,nflverse
00-0012225,Freddie Joe Nunn,EDGE,,93,76,228,1962-04-09,,,14,,,,nflverse
00-0001068,Jason Belser,S,,0,69,187,1970-05-28,,,14,,,,nflverse
00-0010530,Jason Mathews,LT,RT,0,77,284,1971-02-09,,,14,,,,nflverse
00-0007341,Jeff Herrod,LB,,0,72,249,1966-07-29,,,14,,,,nflverse
00-0006808,Jim Harbaugh,QB,,0,75,215,1963-12-23,,,14,,,,nflverse
00-0015597,Joe Staysniak,LG,RG,0,77,296,1966-12-08,,,14,,,,nflverse
00-0003555,John Covington,CB,,0,72,198,1972-04-22,,,14,,,,nflverse
00-0006765,Jon Hand,EDGE,,0,79,300,1963-11-13,,,14,,,,nflverse
00-0002793,Kerry Cash,TE,,0,76,252,1969-08-07,,,14,,,,nflverse
00-0016906,Kipp Vickers,LG,RG,0,74,275,1969-08-27,,,14,,,,nflverse
00-0010111,Kirk Lowdermilk,C,,0,75,280,1963-04-10,,,14,,,,nflverse
00-0017218,Lamont Warren,RB,,0,71,194,1973-01-04,,,14,,,,nflverse
00-0007920,Leonard Humphries,CB,,0,69,180,1970-06-19,,,14,,,,nflverse
00-0008163,Mark Jackson,WR,,0,69,180,1963-07-23,,,14,,,,nflverse
00-0005092,Marshall Faulk,RB,,0,70,200,1973-02-26,,,14,,,,nflverse
00-0002394,Paul Butcher,LB,,0,72,230,1963-11-08,,,14,,,,nflverse
00-0003504,Quentin Coryatt,LB,,55,75,250,1970-08-01,,,14,,,,nflverse
00-0004362,Randy Dixon,LG,RG,0,75,305,1965-03-12,,,14,,,,nflverse
00-0002166,Ray Buchanan,S,,0,69,193,1971-09-29,,,14,,,,nflverse
00-0015572,Rohn Stark,P,,0,75,203,1959-05-04,,,14,,,,nflverse
00-0007915,Ronald Humphrey,RB,,0,70,211,1969-03-03,,,14,,,,nflverse
00-0013150,Roosevelt Potts,RB,,0,72,258,1971-01-08,,,14,,,,nflverse
00-0013358,Scott Radecic,LB,,0,75,240,1962-06-14,,,14,,,,nflverse
00-0004077,Sean Dawkins,WR,,0,76,210,1971-02-03,,,14,,,,nflverse
00-0004903,Steve Emtman,DT,,0,76,300,1970-04-16,,,14,,,,nflverse
00-0006245,Steve Grant,LB,,0,72,231,1969-12-23,,,14,,,,nflverse
00-0014972,Tom Sims,DT,,0,74,291,1967-04-18,,,14,,,,nflverse
00-0001115,Tony Bennett,EDGE,,0,74,243,1967-07-01,,,14,,,,nflverse
00-0010746,Tony McCoy,DT,,0,73,279,1969-06-10,,,14,,,,nflverse
00-0015002,Tony Siragusa,DT,,0,75,303,1967-05-14,,,14,,,,nflverse
00-0000119,Trev Alberts,LB,,0,76,243,1970-08-08,,,14,,,,nflverse
00-0018162,Will Wolford,LT,RT,0,77,300,1964-05-18,,,14,,,,nflverse
00-0011758,Zefross Moss,LT,RT,0,78,338,1966-08-17,,,14,,,,nflverse
