player_id,name,position,secondary_positions,jersey_number,height,weight,birth_date,college,years_exp,games,games_started,scout_grade,awards,notes
00-0009328,Alan Kline,LT,RT,0,77,277,1971-05-25,,,14,,,,nflverse
00-0010717,Andy McCollum,LG,RG,0,76,295,1970-06-02,,,14,,,,nflverse
00-0012056,Anthony Newman,S,,0,72,200,1965-11-25,,,14,,,,nflverse
00-0008692,Brian Jones,LB,,0,73,250,1968-01-22,,,14,,,,nflverse
00-0013120,Chris Port,LG,RG,0,77,295,1967-11-02,,,14,,,,nflverse
00-0012212,Craig Novitsky,C,,0,77,295,1971-05-12,,,14,,,,nflverse
00-0008321,Dameian Jeffries,EDGE,,0,76,277,1973-05-07,,,14,,,,nflverse
00-0001918,Derek Brown,RB,,0,69,205,1971-04-15,,,14,,,,nflverse
00-0011968,Derrick Ned,RB,,0,73,230,1969-01-05,,,14,,,,nflverse
00-0017972,Donald Willis,LG,RG,63,75,330,1973-07-15,,,14,,,,nflverse
00-0001759,Doug Brien,K,,0,72,177,1970-11-24,,,14,,,,nflverse
00-0012226,Doug Nussmeier,QB,,0,75,211,1970-12-11,,,14,,,,nflverse
00-0009253,Ed King,LG,RG,0,76,300,1969-12-03,,,14,,,,nflverse
00-0000204,Eric Allen,CB,,0,70,180,1965-11-22,,,14,,,,nflverse
00-0004351,Ernest Dixon,LB,,0,73,240,1971-10-17,,,14,,,,nflverse
00-0015195,Irv Smith,TE,,82,75,246,1971-10-13,,,14,,,,nflverse
00-0002470,Israel Byrd,CB,,0,71,184,1971-02-01,,,14,,,,nflverse
00-0015554,Israel Stanley,EDGE,,0,75,260,1970-04-21,,,14,,,,nflverse
00-0010700,J.J. McCleskey,S,,44,68,177,1970-04-10,,,14,,,,nflverse
00-0016781,Jeff Uhlenhake,C,,0,75,284,1966-01-28,,,14,,,,nflverse
00-0004400,Jim Dombrowski,LG,RG,72,77,300,1963-10-19,,,14,,,,nflverse
00-0005015,Jim Everett,QB,,0,77,212,1963-01-03,,,14,,,,nflverse
00-0015460,Jimmy Spencer,CB,,0,70,180,1969-03-29,,,14,,,,nflverse
00-0008541,Joe Johnson,EDGE,,0,76,270,1972-07-11,,,14,,,,nflverse
00-0003555,John Covington,CB,,0,72,198,1972-04-22,,,14,,,,nflverse
00-0001535,Kirk Botkin,TE,,0,75,245,1971-03-19,,,14,,,,nflverse
00-0017994,Klaus Wilmsmeyer,P,,0,74,210,1967-12-04,,,14,,,,nflverse
00-0004211,Lee DeRamus,WR,,0,72,191,1972-08-24,,,14,,,,nflverse
00-0011958,Lorenzo Neal,RB,,0,71,240,1970-12-27,,,14,,,,nflverse
00-0000871,Mario Bates,RB,,0,74,217,1973-01-16,,,14,,,,nflverse
00-0005202,Mark Fields,LB,,0,74,244,1972-11-09,,,14,,,,nflverse
00-0007163,Michael Haynes,WR,,0,72,184,1965-12-24,,,14,,,,nflverse
00-0016894,Mike Verstegen,LG,RG,0,78,311,1971-10-24,,,14,,,,nflverse
00-0004705,Quinn Early,WR,,0,72,190,1965-04-13,,,14,,,,nflverse
00-0004076,Ralph Dawkins,RB,,0,68,195,1970-10-20,,,14,,,,nflverse
00-0018488,Ray Zellars,RB,,34,71,221,1973-03-25,,,14,,,,nflverse
00-0016693,Renaldo Turnbull,EDGE,,97,76,250,1966-01-05,,,14,,,,nflverse
00-0003462,Richard Cooper,LT,RT,0,77,290,1964-11-01,,,14,,,,nflverse
00-0007075,Richard Harvey,LB,,0,73,242,1966-09-11,,,14,,,,nflverse
00-0006074,Robert Goff,DT,,0,75,280,1965-10-02,,,14,,,,nflverse
00-0002951,Ron Childs,LB,,0,71,212,1971-09-18,,,14,,,,nflverse
00-0013135,Rufus Porter,LB,,0,73,230,1965-05-18,,,14,,,,nflverse
00-0010154,Sean Lumpkin,S,,46,72,206,1970-01-04,,,14,,,,nflverse
00-0012503,Shane Pahukoa,S,,0,74,202,1970-11-25,,,14,,,,nflverse
00-0013621,Steve Rhem,WR,,0,74,212,1971-11-09,,,14,,,,nflverse
00-0014043,Timm Rosenbach,QB,,0,74,215,1966-10-27,,,14,,,,nflverse
00-0010913,Toddrick McIntosh,EDGE,,0,75,250,1972-01-22,,,14,,,,nflverse
00-0007547,Tom Hodson,QB,,0,75,195,1967-01-28,,,14,,,,nflverse
00-0015063,Torrance Small,WR,,0,75,201,1970-09-04,,,14,,,,nflverse
00-0004922,Tory Epps,DT,,0,72,280,1967-05-28,,,14,,,,nflverse
00-0007896,Tyrone Hughes,CB,,0,69,175,1970-01-14,,,14,,,,nflverse
00-0009786,Tyrone Legette,CB,,0,69,177,1970-02-15,,,14,,,,nflverse
00-0002176,Vince Buck,S,,0,72,198,1968-01-12,,,14,,,,nflverse
00-0010479,Wayne Martin,DT,,0,77,275,1965-10-26,,,14,,,,nflverse
00-0017109,Wesley Walls,TE,,0,77,250,1966-02-26,,,14,,,,nflverse
00-0015833,William Strong,CB,,0,70,191,1971-11-03,,,14,,,,nflverse
00-0001865,Willie Broughton,DT,,99,77,285,1964-09-09,,,14,,,,nflverse
00-0013791,Willie Roaf,LT,RT,77,77,300,1970-04-18,,,14,,,,nflverse
00-0016647,Winfred Tubbs,LB,,0,76,250,1970-09-24,,,14,,,,nflverse
