player_id,name,position,secondary_positions,jersey_number,height,weight,birth_date,college,years_exp,games,games_started,scout_grade,awards,notes
00-0006864,Andy Harmon,DT,,91,76,278,1969-04-06,,,14,,,,nflverse
00-0003943,Antone Davis,LT,RT,0,76,335,1967-02-28,,,14,,,,nflverse
00-0011483,Art Monk,WR,,0,75,210,1957-12-05,,,14,,,,nflverse
00-0001825,Barrett Brooks,LT,RT,0,76,309,1972-05-05,,,14,,,,nflverse
00-0017652,Barry Wilburn,S,,45,75,195,1963-12-09,,,14,,,,nflverse
00-0017724,Bernard Williams,LT,RT,0,80,286,1972-07-18,,,14,,,,nflverse
00-0014004,Bill Romanowski,LB,,0,76,241,1966-04-02,,,14,,,,nflverse
00-0016082,Bobby Taylor,CB,,0,75,216,1973-12-28,,,14,,,,nflverse
00-0017741,Calvin Williams,WR,,89,71,187,1967-03-03,,,14,,,,nflverse
00-0005779,Charlie Garner,RB,,0,69,187,1972-02-13,,,14,,,,nflverse
00-0008709,Chris T. Jones,WR,,0,75,209,1971-08-07,,,14,,,,nflverse
00-0015848,Danny Stubbs,EDGE,,0,76,272,1965-01-03,,,14,,,,nflverse
00-0017607,David Whitmore,S,,0,72,232,1967-07-06,,,14,,,,nflverse
00-0005548,Derrick Frazier,CB,,0,70,172,1970-04-29,,,14,,,,nflverse
00-0012304,Derrick Oden,LB,,0,71,237,1970-09-29,,,14,,,,nflverse
00-0018135,Derrick Witherspoon,RB,,0,70,196,1971-02-14,,,14,,,,nflverse
00-0017452,Ed West,TE,,0,73,245,1961-08-02,,,14,,,,nflverse
00-0018519,Eric Zomalt,S,,0,71,201,1972-08-09,,,14,,,,nflverse
,Frank Cornish,C,,0,76,287,1967-09-24,,,14,,,,nflverse
00-0000800,Fred Barnett,WR,,0,72,200,1966-06-17,,,14,,,,nflverse
00-0010747,Fred McCrary,RB,,0,72,219,1972-09-19,,,14,,,,nflverse
00-0015390,Freddie Solomon,WR,,0,70,180,1972-08-15,,,14,,,,nflverse
00-0000313,Gary Anderson,K,,0,71,178,1959-07-16,,,14,,,,nflverse
00-0008126,Greg Jackson,S,,0,73,204,1966-08-20,,,14,,,,nflverse
00-0008306,Greg Jefferson,EDGE,,0,75,257,1971-08-31,,,14,,,,nflverse
00-0010915,Guy McIntyre,LG,RG,0,75,290,1961-02-17,,,14,,,,nflverse
00-0001393,Harry Boatswain,LG,RG,0,76,295,1969-06-26,,,14,,,,nflverse
00-0014403,James Saxon,RB,,0,71,239,1966-03-23,,,14,,,,nflverse
00-0017975,James Willis,LB,,0,74,237,1972-09-02,,,14,,,,nflverse
00-0005180,Jay Fiedler,QB,,0,74,214,1971-12-29,,,14,,,,nflverse
00-0007240,Jerome Henderson,CB,,0,70,188,1969-08-08,,,14,,,,nflverse
00-0008538,Jimmie Johnson,TE,,0,74,257,1966-10-06,,,14,,,,nflverse
00-0012532,Joe Panos,LG,RG,0,74,293,1971-01-24,,,14,,,,nflverse
00-0014143,Joe Rudolph,LG,RG,0,73,282,1972-07-21,,,14,,,,nflverse
00-0007857,John Hudson,C,,0,74,276,1968-01-29,,,14,,,,nflverse
00-0010460,Kelvin Martin,WR,,0,69,162,1965-05-14,,,14,,,,nflverse
00-0001538,Kevin Bouie,RB,,33,73,230,1971-08-18,,,14,,,,nflverse
00-0008558,Kevin Johnson,DT,,94,73,310,1970-10-30,,,14,,,,nflverse
00-0016723,Kevin Turner,RB,,0,73,231,1969-06-12,,,14,,,,nflverse
00-0006178,Kurt Gouveia,LB,,0,73,240,1964-09-14,,,14,,,,nflverse
00-0007660,Lester Holmes,LT,RT,0,77,305,1969-09-27,,,14,,,,nflverse
00-0018189,Marc Woodard,LB,,0,72,238,1970-02-21,,,14,,,,nflverse
00-0006545,Mark Gunn,DT,,0,77,297,1968-07-24,,,14,,,,nflverse
00-0011013,Mark McMillian,CB,,0,67,148,1970-04-29,,,14,,,,nflverse
00-0002860,Mike Chalenski,DT,,0,77,285,1970-01-28,,,14,,,,nflverse
00-0010318,Mike Mamula,EDGE,,0,76,252,1973-08-14,,,14,,,,nflverse
00-0018521,Mike Zordich,S,,0,73,212,1963-10-12,,,14,,,,nflverse
00-0004819,Mohammed Elewonibi,LT,RT,0,76,286,1965-12-16,,,14,,,,nflverse
00-0010945,Raleigh McKenzie,C,,0,74,283,1963-02-08,,,14,,,,nflverse
00-0003761,Randall Cunningham,QB,,0,76,205,1963-03-27,,,14,,,,nflverse
00-0008604,Reggie Johnson,TE,,0,74,256,1968-01-27,,,14,,,,nflverse
00-0006676,Rhett Hall,DT,,0,74,276,1968-12-05,,,14,,,,nflverse
00-0001663,Rickey Brady,TE,,0,76,246,1970-11-19,,,14,,,,nflverse
00-0017322,Ricky Watters,RB,,32,73,217,1969-04-07,,,14,,,,nflverse
00-0002668,Rob Carpenter,WR,,0,74,190,1968-08-01,,,14,,,,nflverse
00-0012732,Rodney Peete,QB,,9,72,225,1966-03-16,,,14,,,,nflverse
00-0004366,Ronnie Dixon,DT,,0,75,292,1971-05-10,,,14,,,,nflverse
00-0018319,Sylvester Wright,LB,,0,74,244,1971-12-30,,,14,,,,nflverse
00-0007993,Tom Hutton,P,,0,73,193,1972-07-08,,,14,,,,nflverse
00-0008398,Tommy Jeter,DT,,0,77,285,1969-09-20,,,14,,,,nflverse
00-0007193,Vaughn Hebron,RB,,0,68,195,1970-10-07,,,14,,,,nflverse
00-0005639,William Fuller,EDGE,,95,75,280,1962-03-08,,,14,,,,nflverse
00-0016340,William Thomas,LB,,0,74,223,1968-08-13,,,14,,,,nflverse
