player_id,name,position,secondary_positions,jersey_number,height,weight,birth_date,college,years_exp,games,games_started,scout_grade,awards,notes
00-0012971,Aaron Pierce,TE,,84,77,250,1969-09-06,,,14,,,,nflverse
00-0014486,Adam Schreiber,C,,67,76,298,1962-02-20,,,14,,,,nflverse
00-0016550,Amani Toomer,WR,,89,75,202,1974-09-08,,,14,,,,nflverse
00-0010414,Arthur Marshall,WR,,12,71,186,1969-04-29,,,14,,,,nflverse
00-0016027,Ben Talley,LB,,54,75,245,1972-07-14,,,14,,,,nflverse
00-0007667,Bernard Holsey,DT,,79,74,284,1973-10-10,,,14,,,,nflverse
00-0003841,Brad Daluiso,K,,3,74,210,1967-12-31,,,14,,,,nflverse
00-0009443,Brian Kozlowski,TE,,85,75,255,1970-10-04,,,14,,,,nflverse
00-0014405,Brian Saxton,TE,,83,78,256,1972-03-13,,,14,,,,nflverse
00-0017735,Brian Williams,C,,59,77,300,1966-06-08,,,14,,,,nflverse
00-0008703,Cedric Jones,EDGE,,94,76,275,1974-04-30,,,14,,,,nflverse
00-0001707,Chad Bratzke,EDGE,,77,77,273,1971-09-15,,,14,,,,nflverse
00-0017337,Charles Way,RB,,30,72,245,1972-12-27,,,14,,,,nflverse
00-0002544,Chris Calloway,WR,,80,70,191,1968-03-29,,,14,,,,nflverse
00-0014142,Coleman Rudolph,LB,,91,76,262,1970-10-22,,,14,,,,nflverse
00-0006711,Conrad Hamilton,CB,,41,70,184,1974-11-05,,,14,,,,nflverse
00-0011249,Corey Miller,LB,,57,74,245,1968-10-25,,,14,,,,nflverse
00-0017630,Corey Widmer,LB,,90,75,250,1968-12-25,,,14,,,,nflverse
00-0009007,Danny Kanell,QB,,13,75,222,1973-11-21,,,14,,,,nflverse
00-0005991,Darnell Gilliard,DT,,95,77,304,1973-03-24,,,14,,,,nflverse
00-0001907,Dave Brown,QB,,17,78,223,1970-02-25,,,14,,,,nflverse
00-0003320,Doug Colman,LB,,58,74,252,1973-06-04,,,14,,,,nflverse
00-0004495,Gary Downs,RB,,45,73,212,1972-06-06,,,14,,,,nflverse
00-0001267,Greg Bishop,LT,RT,78,77,300,1971-05-02,,,14,,,,nflverse
00-0003681,Howard Cross,TE,,87,77,265,1967-08-08,,,14,,,,nflverse
,Jamal Duff,EDGE,,96,79,271,1972-03-11,,,14,,,,nflverse
00-0014637,Jason Sehorn,CB,,31,74,210,1971-04-15,,,14,,,,nflverse
00-0013616,Jerry Reynolds,LG,RG,66,78,315,1970-04-02,,,14,,,,nflverse
00-0002577,Jesse Campbell,S,,37,73,215,1969-04-11,,,14,,,,nflverse
00-0000426,Jessie Armstead,LB,,98,73,232,1970-10-26,,,14,,,,nflverse
00-0004824,Keith Elias,RB,,20,69,203,1972-02-03,,,14,,,,nflverse
00-0006719,Keith Hamilton,DT,,75,78,285,1971-05-25,,,14,,,,nflverse
00-0000154,Kevin Alexander,WR,,86,69,184,1975-01-23,,,14,,,,nflverse
00-0015243,Lance Smith,LG,RG,61,75,282,1963-01-01,,,14,,,,nflverse
00-0004079,Lawrence Dawsey,WR,,88,72,195,1967-11-16,,,14,,,,nflverse
00-0002184,Marcus Buckley,LB,,55,75,240,1971-02-03,,,14,,,,nflverse
00-0004477,Maurice Douglass,CB,,24,71,210,1964-02-12,,,14,,,,nflverse
00-0015795,Michael Strahan,EDGE,,92,77,268,1971-11-21,,,14,,,,nflverse
00-0007737,Mike Horan,P,,2,71,192,1959-02-01,,,14,,,,nflverse
00-0004473,Omar Douglas,WR,,82,70,182,1972-06-03,,,14,,,,nflverse
00-0004875,Percy Ellsworth,S,,43,74,199,1974-10-19,,,14,,,,nflverse
00-0015437,Phillippi Sparks,CB,,22,71,190,1969-04-15,,,14,,,,nflverse
00-0012334,Ramon Okoli,DT,,70,77,300,1973-03-15,,,14,,,,nflverse
00-0000097,Ray Agnew,EDGE,,93,75,285,1967-12-09,,,14,,,,nflverse
00-0018477,Rob Zatechka,LG,RG,73,76,315,1971-12-01,,,14,,,,nflverse
00-0006991,Robert Harris,DT,,97,76,295,1969-06-13,,,14,,,,nflverse
00-0017060,Robert Walker,RB,,33,70,197,1972-06-26,,,14,,,,nflverse
00-0006759,Rodney Hampton,RB,,27,71,230,1969-04-03,,,14,,,,nflverse
00-0018437,Rodney Young,CB,,47,72,212,1973-01-25,,,14,,,,nflverse
00-0012293,Roman Oben,LT,RT,72,76,297,1972-10-09,,,14,,,,nflverse
00-0015761,Ron Stone,LG,RG,65,77,325,1971-07-20,,,14,,,,nflverse
00-0004050,Scott Davis,LG,RG,62,75,292,1970-01-29,,,14,,,,nflverse
00-0005723,Scott Galyon,LB,,52,74,237,1974-03-23,,,14,,,,nflverse
00-0006196,Scott Gragg,LT,RT,74,80,325,1972-02-28,,,14,,,,nflverse
00-0017575,Stan White,QB,,8,74,218,1971-08-14,,,14,,,,nflverse
00-0009903,Thomas Lewis,WR,,81,73,195,1972-01-10,,,14,,,,nflverse
00-0013411,Thomas Randolph,CB,,23,69,178,1970-10-05,,,14,,,,nflverse
00-0018246,Tito Wooten,S,,29,72,195,1971-12-12,,,14,,,,nflverse
00-0017486,Tyrone Wheatley,RB,,28,72,228,1972-01-19,,,14,,,,nflverse
00-0000932,Willie Beamon,CB,,21,71,184,1970-06-14,,,14,,,,nflverse
