player_id,name,position,secondary_positions,jersey_number,height,weight,birth_date,college,years_exp,games,games_started,scout_grade,awards,notes
00-0008560,Kevin Johnson,WR,,85,70,195,1976-07-15,,,16,16,,,nflverse
00-0019650,Dennis Northcutt,WR,,86,71,175,1977-12-22,,,15,15,,,nflverse
00-0019609,Travis Prentice,RB,,41,71,221,1976-12-08,,,15,15,,,nflverse
00-0019564,Aaron Shea,TE,,35,75,244,1976-12-05,,,14,14,,,nflverse
00-0019478,Anthony Malbrough,CB,,26,70,185,1976-12-09,,,14,,,,nflverse
00-0011234,Arnold Miller,EDGE,,98,75,239,1975-01-03,,,14,,,,nflverse
00-0019554,Brad Bedell,LT,RT,63,76,299,1977-02-12,,,14,,,,nflverse
00-0002286,Chester Burnett,LB,,54,70,230,1975-04-15,,,14,,,,nflverse
00-0005771,Chris Gardocki,P,,17,73,200,1970-02-07,,,14,,,,nflverse
00-0005627,Corey Fuller,CB,,24,70,205,1971-05-01,,,14,,,,nflverse
00-0018954,Courtney Brown,EDGE,,92,76,270,1978-02-14,,,14,,,,nflverse
00-0007590,Darius Holland,DT,,73,77,330,1973-11-10,,,14,,,,nflverse
00-0018150,Dave Wohlabaugh,C,,64,75,292,1972-04-13,,,14,,,,nflverse
00-0010777,Daylon McCutcheon,CB,,33,70,180,1976-12-09,,,14,,,,nflverse
00-0009971,Earl Little,CB,,20,72,198,1973-03-10,,,14,,,,nflverse
00-0009941,Everett Lindsay,LG,RG,61,76,302,1970-09-18,,,14,,,,nflverse
00-0001024,Geno Bell,DT,,70,75,290,1975-06-03,,,14,,,,nflverse
00-0001956,James Brown,LT,RT,74,78,325,1970-01-30,,,14,,,,nflverse
00-0011268,Jamir Miller,LB,,95,77,266,1973-11-19,,,14,,,,nflverse
00-0010962,Jeremy McKinney,LT,RT,66,78,301,1976-01-06,,,14,,,,nflverse
00-0002216,Jim Bundren,LG,RG,65,75,303,1974-10-06,,,14,,,,nflverse
00-0013317,Jim Pyne,LG,RG,71,74,297,1971-11-23,,,14,,,,nflverse
00-0010941,Keith McKenzie,EDGE,,90,75,273,1973-10-17,,,14,,,,nflverse
00-0019482,Lamar Chapman,CB,,27,72,186,1976-11-06,,,14,,,,nflverse
00-0008811,Lenoy Jones,LB,,56,73,235,1974-09-25,,,14,,,,nflverse
00-0019465,Lewis Sanders,CB,,25,72,200,1978-06-22,,,14,,,,nflverse
00-0007447,Madre Hill,RB,,34,71,199,1976-01-02,,,14,,,,nflverse
00-0015492,Marcus Spriggs,DT,,91,76,314,1976-07-26,,,14,,,,nflverse
00-0015257,Marquis Smith,S,,21,74,213,1975-01-13,,,14,,,,nflverse
00-0011592,Marty Moore,LB,,55,73,245,1971-03-19,,,14,,,,nflverse
00-0006724,Michael Hamilton,LB,,50,74,245,1973-12-03,,,14,,,,nflverse
00-0016399,Mike Thompson,DT,,96,76,296,1971-12-22,,,14,,,,nflverse
00-0019433,Nick Sudano,RB,,0,73,244,1977-03-19,,,14,,,,nflverse
00-0019397,Noel LaMontagne,LT,RT,78,76,301,1977-03-09,,,14,,,,nflverse
00-0014350,O.J. Santiago,TE,,87,79,264,1974-03-04,,,14,,,,nflverse
00-0014116,Orpheus Roye,DT,,99,76,288,1973-01-21,,,14,,,,nflverse
00-0004875,Percy Ellsworth,S,,43,74,225,1974-10-19,,,14,,,,nflverse
00-0004091,Phil Dawson,K,,4,71,190,1975-01-23,Texas,2,14,,,,nflverse
00-0000008,Rahim Abdullah,LB,,53,77,233,1976-03-22,,,14,,,,nflverse
00-0019557,Rashidi Barnes,CB,,28,71,205,1978-06-26,,,14,,,,nflverse
00-0008178,Raymond Jackson,CB,,31,70,189,1973-02-17,,,14,,,,nflverse
00-0002885,Roger Chanoine,LT,RT,69,76,295,1976-09-11,,,14,,,,nflverse
00-0012293,Roman Oben,LT,RT,72,76,305,1972-10-09,,,14,,,,nflverse
00-0009496,Ryan Kuehl,DT,,97,77,290,1972-01-18,,,14,,,,nflverse
00-0016143,Ryan Taylor,LB,,51,74,230,1976-12-11,,,14,,,,nflverse
00-0019276,Shaun O'Hara,C,,60,75,287,1977-06-23,,,14,,,,nflverse
00-0003248,Stalin Colinet,DT,,93,78,288,1974-07-17,,,14,,,,nflverse
00-0018468,Steve Zahursky,LT,RT,75,78,305,1976-09-02,,,14,,,,nflverse
00-0019615,Todd Franz,CB,,22,72,194,1976-04-12,,,14,,,,nflverse
00-0006299,Tony Graziani,QB,,10,74,215,1973-12-23,,,14,,,,nflverse
00-0004230,Ty Detmer,QB,,11,72,194,1967-10-30,,,14,,,,nflverse
00-0013986,Tyrone Rogers,DT,,78,77,236,1974-03-09,,,14,,,,nflverse
00-0013375,Wali Rainer,LB,,58,74,245,1977-04-19,,,14,,,,nflverse
00-0004768,Marc Edwards,RB,,44,72,240,1974-11-17,,,13,13,,,nflverse
00-0012642,David Patten,WR,,82,70,193,1974-08-19,,,12,12,,,nflverse
00-0012726,Doug Pederson,QB,,18,75,216,1968-01-31,,,10,10,,,nflverse
00-0019057,Jamel White,RB,,30,69,208,1978-02-11,,,10,10,,,nflverse
00-0002586,Mark Campbell,TE,,83,78,253,1975-12-06,,,9,9,,,nflverse
00-0019553,Spergon Wynn,QB,,13,75,226,1978-08-10,,,7,,,,nflverse
00-0003535,Tim Couch,QB,,2,76,227,1977-07-31,,,7,,,,nflverse
00-0002942,Darrin Chiaverini,WR,,84,74,210,1977-10-12,,,6,,,,nflverse
00-0013622,Errict Rhett,RB,,23,71,211,1970-12-11,,,5,,,,nflverse
00-0019027,Bobby Brown,WR,,89,74,197,1977-03-26,,,3,,,,nflverse
00-0005348,Chris Floyd,RB,,34,74,235,1975-06-23,,,2,,,,nflverse
00-0019461,JaJuan Dawson,WR,,88,73,197,1977-11-05,,,2,,,,nflverse
00-0014265,Tarek Saleh,RB,,40,72,240,1974-11-07,,,2,,,,nflverse
00-0019278,Kevin Thompson,QB,,16,77,236,1977-07-27,,,1,,,,nflverse
00-0008156,Lenzie Jackson,WR,,81,72,184,1977-06-17,,,1,,,,nflverse
