player_id,name,position,secondary_positions,jersey_number,height,weight,birth_date,college,years_exp,games,games_started,scout_grade,awards,notes
00-0019100,Brad Hoover,RB,,45,72,242,1976-11-11,,2,15,15,,,nflverse
00-0010333,Kris Mangum,TE,,86,76,249,1973-08-15,,5,15,15,,,nflverse
00-0020337,Steve Smith,WR,,89,69,179,1979-05-12,Utah,1,15,15,,,nflverse
00-0017077,Al Wallace,EDGE,,96,77,260,1974-03-25,,5,14,,,,nflverse
00-0021108,Brad Franklin,CB,,36,73,190,1979-12-22,,0,14,,,,nflverse
00-0002186,Brentson Buckner,DT,,99,74,305,1971-09-30,,8,14,,,,nflverse
00-0021224,Dante Wesley,CB,,29,72,211,1979-04-05,,0,14,,,,nflverse
00-0005318,Derrick Fletcher,LG,RG,74,78,350,1975-09-09,,3,14,,,,nflverse
00-0021164,DeShaun Foster,RB,,20,72,222,1980-01-10,,0,14,,,,nflverse
00-0010785,Emmanuel McDaniel,CB,,25,69,180,1972-07-27,,6,14,,,,nflverse
00-0012023,Jamar Nesbit,LG,RG,63,76,330,1976-12-17,,3,14,,,,nflverse
00-0011411,Jeff Mitchell,C,,60,76,300,1974-01-29,,5,14,,,,nflverse
00-0019493,Jeno James,LG,RG,78,75,310,1977-01-12,,2,14,,,,nflverse
00-0009028,John Kasay,K,,4,70,198,1969-10-27,,11,14,,,,nflverse
00-0016076,Josh Taves,EDGE,,91,79,285,1972-05-13,,7,14,,,,nflverse
00-0021140,Julius Peppers,EDGE,,90,78,283,1980-01-18,North Carolina,0,14,,,,nflverse
00-0021287,Keith Heinrich,TE,,80,77,255,1979-03-19,,0,14,,,,nflverse
00-0021001,Kemp Rasmussen,EDGE,,97,75,255,1979-05-25,,0,14,,,,nflverse
00-0004419,Kevin Donnalley,LG,RG,65,77,310,1968-06-10,,11,14,,,,nflverse
00-0020380,Kris Jenkins,DT,,77,76,315,1979-08-03,,1,14,,,,nflverse
00-0020393,Louis Williams,C,,66,76,291,1979-04-11,,1,14,,,,nflverse
00-0016752,Melvin Tuten,LT,RT,73,79,320,1971-11-11,,7,14,,,,nflverse
00-0014132,Mike Rucker,EDGE,,93,77,275,1975-02-28,,3,14,,,,nflverse
00-0011795,Muhsin Muhammad,WR,,87,74,217,1973-05-05,,6,14,14,,,nflverse
00-0021034,Nathan Black,WR,,83,72,190,1978-06-20,,0,14,,,,nflverse
00-0019101,Reggie Howard,CB,,23,72,190,1977-05-17,,2,14,,,,nflverse
00-0012732,Rodney Peete,QB,,9,72,230,1966-03-16,,13,14,14,,,nflverse
00-0005962,Sean Gilbert,DT,,94,77,318,1970-04-10,,10,14,,,,nflverse
00-0002365,Shane Burton,DT,,98,78,305,1974-01-18,,6,14,,,,nflverse
00-0020366,Shawn Draper,TE,,49,75,275,1979-04-05,,1,14,,,,nflverse
00-0019536,Shayne Graham,K,,11,72,194,1977-12-09,,2,14,,,,nflverse
00-0007389,Skip Hicks,RB,,42,72,230,1974-10-13,,4,14,,,,nflverse
00-0003547,Terry Cousin,CB,,21,69,181,1975-04-11,,5,14,,,,nflverse
00-0005044,Terry Fair,CB,,28,69,193,1976-07-20,,4,14,,,,nflverse
00-0014377,Todd Sauerbrun,P,,10,70,211,1973-01-04,,7,14,,,,nflverse
00-0015668,Todd Steussie,LT,RT,75,78,308,1970-12-01,,8,14,,,,nflverse
00-0019597,Tutan Reyes,LG,RG,76,75,299,1977-10-28,,2,14,,,,nflverse
00-0019831,Nick Goings,RB,,37,72,225,1978-01-26,,1,13,13,,,nflverse
00-0020376,Dee Brown,RB,,22,70,209,1978-05-12,,1,12,12,,,nflverse
00-0017109,Wesley Walls,TE,,85,77,250,1966-02-26,,13,12,12,,,nflverse
00-0015242,Lamar Smith,RB,,26,71,224,1970-11-29,,8,11,11,,,nflverse
00-0002469,Isaac Byrd,WR,,82,73,188,1974-11-16,,5,10,10,,,nflverse
00-0006777,Karl Hankton,WR,,88,74,202,1970-07-24,,5,9,9,,,nflverse
00-0017644,Jermaine Wiggins,TE,,84,74,255,1975-01-18,,3,7,,,,nflverse
00-0020434,Chris Weinke,QB,,16,76,232,1972-07-31,,1,6,,,,nflverse
00-0021254,Randy Fasani,QB,,12,75,234,1978-09-18,,0,4,,,,nflverse
00-0011506,Joe Montgomery,RB,,33,70,230,1976-06-08,,3,1,,,,nflverse
00-0019453,Rod Smart,RB,,32,71,201,1977-01-09,,2,1,,,,nflverse
