player_id,name,position,secondary_positions,jersey_number,height,weight,birth_date,college,years_exp,games,games_started,scout_grade,awards,notes
00-0007180,Garrison Hearst,RB,,20,71,215,1971-01-04,,9,16,16,,,nflverse
00-0005755,Jeff Garcia,QB,,5,73,195,1970-02-24,,3,16,16,,,nflverse
00-0000942,Fred Beasley,RB,,40,72,246,1974-09-18,,4,15,15,,,nflverse
00-0015811,Tai Streets,WR,,89,74,206,1977-04-20,,3,15,15,,,nflverse
00-0019603,Ahmed Plummer,CB,,29,72,191,1976-03-26,,2,14,,,,nflverse
00-0020489,Andre Carter,EDGE,,96,76,265,1979-05-12,,1,14,,,,nflverse
00-0010183,Ben Lynch,C,,60,76,295,1972-11-18,,6,14,,,,nflverse
00-0019084,Bill LaFleur,P,,4,71,200,1976-02-25,,2,14,,,,nflverse
00-0021276,Brandon Doman,QB,,11,73,210,1976-12-29,,0,14,,,,nflverse
00-0019548,Brian Jennings,TE,,86,77,245,1976-10-14,,2,14,,,,nflverse
00-0018405,Bryant Young,DT,,97,75,291,1972-01-27,,8,14,,,,nflverse
00-0012333,Chike Okeafor,EDGE,,91,76,265,1976-03-27,,3,14,,,,nflverse
00-0019897,Cornelius Anthony,LB,,57,72,226,1978-07-03,,1,14,,,,nflverse
00-0020830,Craig Osika,LG,RG,71,76,305,1979-12-04,,0,14,,,,nflverse
00-0015847,Dana Stubblefield,DT,,94,74,290,1970-11-14,,9,14,,,,nflverse
00-0005234,Dave Fiore,LG,RG,74,76,290,1974-08-10,,6,14,,,,nflverse
00-0004128,Derrick Deese,LT,RT,63,75,289,1970-05-17,,10,14,,,,nflverse
00-0018575,Duane Hawthorne,CB,,43,70,175,1976-08-26,,3,14,,,,nflverse
00-0021341,Eric Heitmann,LG,RG,66,75,305,1980-02-24,,0,14,,,,nflverse
00-0020587,Jamal Robertson,RB,,25,70,210,1977-01-10,,0,14,,,,nflverse
00-0019653,Jason Webster,CB,,36,70,187,1977-09-08,,2,14,,,,nflverse
00-0021226,Jeff Chandler,K,,3,74,218,1979-06-18,,0,14,,,,nflverse
00-0012042,Jeremy Newberry,C,,62,77,310,1976-03-23,,4,14,,,,nflverse
00-0004000,Jerome Davis,LT,RT,76,77,290,1974-03-04,,5,14,,,,nflverse
00-0005296,Jim Flanigan,DT,,75,74,290,1971-08-27,,8,14,,,,nflverse
00-0019651,John Engelberger,EDGE,,95,76,268,1976-10-18,,2,14,,,,nflverse
00-0021285,Josh Shaw,DT,,93,74,290,1979-09-07,,0,14,,,,nflverse
00-0020474,Kevan Barlow,RB,,32,73,238,1979-01-07,,1,14,14,,,nflverse
00-0021348,Kyle Kosier,LT,RT,72,77,293,1978-11-27,,0,14,,,,nflverse
00-0017967,Matt Willig,LT,RT,77,80,315,1969-01-21,,10,14,,,,nflverse
00-0021158,Mike Rumph,CB,,24,74,205,1979-11-08,,0,14,,,,nflverse
00-0020454,Rashad Holman,CB,,26,71,191,1978-01-17,,1,14,,,,nflverse
00-0015761,Ron Stone,LG,RG,65,77,325,1971-07-20,,9,14,,,,nflverse
00-0020412,Ross Kolodziej,DT,,92,74,295,1978-05-11,,1,14,,,,nflverse
00-0006196,Scott Gragg,LT,RT,78,80,315,1972-02-28,,7,14,,,,nflverse
00-0011634,Sean Moran,EDGE,,99,76,275,1973-06-05,,6,14,,,,nflverse
00-0012478,Terrell Owens,WR,,81,75,226,1973-12-07,,6,14,14,,,nflverse
00-0008196,Terry Jackson,RB,,22,72,232,1976-01-10,,3,14,,,,nflverse
00-0020273,Vinny Sutherland,WR,,85,68,195,1978-04-22,,1,14,,,,nflverse
00-0020455,Eric Johnson,TE,,82,75,256,1979-09-15,,1,12,12,,,nflverse
00-0015751,J.J. Stokes,WR,,83,76,225,1972-10-06,,7,12,12,,,nflverse
00-0020452,Cedrick Wilson,WR,,84,70,183,1978-12-17,,1,9,9,,,nflverse
00-0015970,Justin Swift,TE,,88,75,265,1975-08-14,,3,8,8,,,nflverse
00-0019673,Paul Smith,RB,,27,71,234,1978-01-31,,2,4,,,,nflverse
00-0019623,Tim Rattay,QB,,13,72,200,1977-03-15,,2,4,,,,nflverse
00-0020327,Jimmy Williams,CB,,23,70,190,1979-03-10,,1,1,,,,nflverse
