player_id,name,position,secondary_positions,jersey_number,height,weight,birth_date,college,years_exp,games,games_started,scout_grade,awards,notes
00-0021236,Randy McMichael,TE,,81,75,250,1979-06-28,,2,16,16,,,nflverse
00-0020446,Chris Chambers,WR,,84,71,210,1978-08-12,,3,15,15,,,nflverse
00-0001477,Marty Booker,WR,,86,72,212,1976-07-31,,5,15,15,,,nflverse
00-0013845,Bryan Robinson,DT,,98,76,296,1974-06-22,,7,14,,,,nflverse
00-0019664,Damion McIntosh,LT,RT,77,76,325,1977-03-25,,4,14,,,,nflverse
00-0020599,Dario Romero,DT,,94,75,305,1978-04-13,,2,14,,,,nflverse
00-0001563,David Bowens,EDGE,,96,75,260,1977-07-03,,5,14,,,,nflverse
00-0022743,Deandre Eiland,S,,45,71,202,1982-06-04,,0,14,,,,nflverse
00-0012809,Ed Perry,TE,,89,76,265,1974-09-01,,7,14,,,,nflverse
00-0020812,Greg Jerman,LG,RG,60,77,310,1979-01-24,,2,14,,,,nflverse
00-0021638,James Lynch,RB,,42,71,276,1982-06-17,,1,14,,,,nflverse
00-0016112,Jason Taylor,EDGE,,99,78,255,1974-09-01,,7,14,,,,nflverse
00-0017825,Jay Williams,EDGE,,91,75,270,1971-10-13,,10,14,,,,nflverse
00-0018503,Jeff Zgonina,DT,,90,74,285,1970-05-24,,11,14,,,,nflverse
00-0019493,Jeno James,LG,RG,78,75,315,1977-01-12,,4,14,,,,nflverse
00-0019228,Jimmy Wyrick,CB,,35,69,176,1976-12-31,,4,14,,,,nflverse
00-0019666,John St. Clair,LT,RT,70,76,315,1977-07-15,,4,14,,,,nflverse
00-0021285,Josh Shaw,DT,,75,74,290,1979-09-07,,2,14,,,,nflverse
00-0002938,Larry Chester,DT,,64,74,325,1975-10-17,,6,14,,,,nflverse
00-0020319,Mario Monds,DT,,93,75,325,1976-11-10,,3,14,,,,nflverse
00-0022819,Maurice Mann,WR,,16,73,191,1982-09-14,,0,14,,,,nflverse
00-0010373,Olindo Mare,K,,10,70,195,1973-06-06,,8,14,,,,nflverse
00-0015915,Patrick Surtain,CB,,23,71,192,1976-06-19,,6,14,,,,nflverse
00-0022474,Quintin Williams,S,,38,70,204,1982-09-24,,0,14,,,,nflverse
00-0019101,Reggie Howard,CB,,25,72,190,1977-05-17,,4,14,,,,nflverse
00-0022287,Renauld Williams,LB,,53,72,230,1981-02-23,,0,14,,,,nflverse
00-0022905,Rex Hadnot,LG,RG,66,74,323,1982-01-28,,0,14,,,,nflverse
00-0010264,Sam Madison,CB,,29,71,185,1974-04-23,,7,14,,,,nflverse
00-0021215,Seth McKinney,C,,68,75,305,1979-06-12,,2,14,,,,nflverse
00-0022134,Taylor Whitley,LG,RG,69,76,315,1980-02-21,,1,14,,,,nflverse
00-0001566,Tim Bowens,DT,,95,76,325,1973-02-07,,10,14,,,,nflverse
00-0022890,Vernon Carey,LT,RT,72,77,325,1981-07-31,,0,14,,,,nflverse
00-0022131,Wade Smith,LT,RT,74,76,315,1981-04-26,,1,14,,,,nflverse
00-0022899,Will Poole,CB,,27,70,193,1981-07-24,,0,14,,,,nflverse
00-0016373,Derrius Thompson,WR,,88,74,220,1977-07-05,,5,13,13,,,nflverse
00-0019484,Sammy Morris,RB,,31,72,220,1977-03-23,,4,12,12,,,nflverse
00-0020305,A.J. Feeley,QB,,7,75,225,1977-05-16,,3,11,11,,,nflverse
00-0020448,Travis Minor,RB,,28,70,205,1979-06-30,,3,11,11,,,nflverse
00-0019302,Bryan Gilmore,WR,,82,72,195,1978-07-21,,4,8,8,,,nflverse
00-0021929,Donald Lee,TE,,85,75,255,1980-08-31,,1,8,8,,,nflverse
00-0005180,Jay Fiedler,QB,,9,74,225,1971-12-29,,10,8,8,,,nflverse
00-0009417,Rob Konrad,RB,,44,75,255,1976-11-12,,5,8,8,,,nflverse
00-0021938,Brock Forsey,RB,,43,71,208,1980-02-11,,1,3,,,,nflverse
00-0021387,Jamar Martin,RB,,32,71,256,1980-04-12,,2,3,,,,nflverse
00-0021209,Lamar Gordon,RB,,30,73,228,1980-01-07,,2,3,,,,nflverse
00-0020480,Sage Rosenfels,QB,,18,76,222,1978-03-06,,3,2,,,,nflverse
00-0022224,Vick King,RB,,33,70,215,1980-02-04,,0,2,,,,nflverse
00-0016689,Matt Turk,P,,1,77,235,1968-06-16,,11,1,,,,nflverse
00-0021788,Ronald Bellamy,WR,,15,72,203,1981-12-28,,1,1,,,,nflverse
