player_id,name,position,secondary_positions,jersey_number,height,weight,birth_date,college,years_exp,games,games_started,scout_grade,awards,notes
00-0018958,Laveranues Coles,WR,,80,71,193,1977-12-29,,4,16,16,,,nflverse
00-0020525,Rod Gardner,WR,,87,74,213,1977-10-26,,3,16,16,,,nflverse
00-0021179,Clinton Portis,RB,,26,71,205,1981-09-01,,2,15,15,,,nflverse
00-0021583,Ade Jimoh,CB,,23,73,190,1980-04-18,,1,14,,,,nflverse
00-0021425,Antonio Brown,WR,,86,70,175,1978-03-03,,1,14,,,,nflverse
00-0022261,Billy Strother,LB,,48,72,230,1982-01-08,,0,14,,,,nflverse
00-0022453,Brandon Barnes,LB,,51,72,235,1981-06-12,,0,14,,,,nflverse
00-0012135,Brandon Noble,DT,,75,74,304,1974-04-10,,7,14,,,,nflverse
00-0019339,Cedric Killings,DT,,91,74,290,1977-12-14,,4,14,,,,nflverse
00-0019590,Chad Morton,RB,,20,68,203,1977-04-04,,4,14,,,,nflverse
00-0021577,Chris Clemons,LB,,57,75,234,1981-10-30,Georgia,1,14,,,,nflverse
00-0019640,Chris Samuels,LT,RT,60,77,310,1977-07-28,,4,14,,,,nflverse
00-0019700,Cornelius Griffin,DT,,96,75,300,1976-12-03,,4,14,,,,nflverse
00-0013458,Cory Raymer,C,,52,75,300,1973-03-03,,9,14,,,,nflverse
00-0021545,Dahrran Diedrick,RB,,30,73,228,1979-01-11,,1,14,,,,nflverse
00-0020055,Demetric Evans,EDGE,,92,75,300,1979-09-03,,3,14,,,,nflverse
00-0022132,Derrick Dockery,LG,RG,66,78,345,1980-09-07,,1,14,,,,nflverse
00-0019842,Devin Lemons,LB,,59,75,222,1979-03-20,,3,14,,,,nflverse
00-0000121,Ethan Albright,C,,71,77,265,1971-05-01,,10,14,,,,nflverse
00-0020522,Fred Smoot,CB,,21,71,174,1979-04-17,,3,14,,,,nflverse
00-0022260,Garnell Wilds,S,,38,71,196,1981-06-08,,0,14,,,,nflverse
00-0006636,Jermaine Haley,DT,,99,76,325,1973-02-13,,5,14,,,,nflverse
00-0022685,Jim Molinaro,LT,RT,69,78,309,1981-04-27,,0,14,,,,nflverse
00-0014260,Joe Salave'a,DT,,95,75,295,1975-03-25,,6,14,,,,nflverse
00-0006662,John Hall,K,,10,75,240,1974-03-17,,7,14,,,,nflverse
00-0020386,Kenyatta Jones,LT,RT,74,75,307,1979-01-18,,3,14,,,,nflverse
00-0020798,Kori Dickerson,TE,,89,76,250,1978-12-06,,2,14,,,,nflverse
00-0005596,Lennie Friedman,C,,64,75,283,1976-10-13,,5,14,,,,nflverse
00-0022718,Mark Wilson,LT,RT,63,78,310,1980-11-11,,0,14,,,,nflverse
00-0019675,Pat Dennis,CB,,22,72,203,1978-06-30,,4,14,,,,nflverse
00-0003874,Phillip Daniels,EDGE,,93,75,288,1973-03-04,,8,14,,,,nflverse
00-0016310,Randy Thomas,LG,RG,77,77,306,1976-01-19,,5,14,,,,nflverse
00-0002020,Ray Brown,LG,RG,67,77,318,1962-12-12,,18,14,,,,nflverse
00-0018351,Renaldo Wynn,EDGE,,97,75,292,1974-09-03,,7,14,,,,nflverse
00-0017202,Ron Warner,EDGE,,94,75,270,1975-09-26,,6,14,,,,nflverse
00-0022327,Rufus Brown,S,,37,69,188,1980-07-18,,0,14,,,,nflverse
00-0022278,Ryan Boschetti,DT,,73,76,300,1981-10-07,,0,14,,,,nflverse
00-0015495,Shawn Springs,CB,,24,72,204,1975-03-11,,7,14,,,,nflverse
00-0019816,Tim Hasselbeck,QB,,4,73,211,1978-04-06,,3,14,,,,nflverse
00-0016683,Tom Tupa,P,,19,76,225,1966-02-06,,16,14,,,,nflverse
00-0012588,Vaughn Parker,LT,RT,78,75,300,1971-06-05,,10,14,,,,nflverse
00-0022738,Chris Cooley,RB,,47,75,265,1982-07-11,,0,13,13,,,nflverse
00-0021184,Ladell Betts,RB,,46,70,222,1979-08-27,,2,13,13,,,nflverse
00-0002110,Mark Brunell,QB,,8,73,217,1970-09-17,,11,9,9,,,nflverse
00-0021379,Patrick Ramsey,QB,,11,74,217,1979-02-14,,2,9,9,,,nflverse
00-0021273,Robert Royal,TE,,88,76,257,1979-05-15,,2,8,8,,,nflverse
00-0016440,James Thrash,WR,,83,72,200,1975-04-28,,7,6,,,,nflverse
00-0022124,Taylor Jacobs,WR,,84,72,198,1981-05-30,,1,6,,,,nflverse
00-0009443,Brian Kozlowski,RB,,82,75,250,1970-10-04,,11,3,,,,nflverse
00-0020464,Darnerien McCants,WR,,85,75,214,1978-08-01,,3,3,,,,nflverse
00-0013422,Walter Rasby,TE,,86,75,252,1972-09-07,,10,3,,,,nflverse
00-0014655,Mike Sellers,RB,,45,75,260,1975-07-21,,6,1,,,,nflverse
00-0021357,Rock Cartwright,RB,,40,67,223,1979-12-03,,2,1,,,,nflverse
00-0007007,Walt Harris,CB,,27,71,192,1974-08-10,,8,1,,,,nflverse
