player_id,name,position,secondary_positions,jersey_number,height,weight,birth_date,college,years_exp,games,games_started,scout_grade,awards,notes
00-0020608,David Carr,QB,,8,75,220,1979-07-21,,3,16,16,,,nflverse
00-0023047,Alfred Malone,DT,,97,77,308,1982-02-21,,0,14,,,,nflverse
00-0021178,Chester Pitts,LG,RG,69,76,329,1979-06-26,,3,14,,,,nflverse
00-0023037,Chris McKenzie,CB,,28,68,181,1982-03-17,,0,14,,,,nflverse
00-0022091,Dave Ragone,QB,,15,75,225,1979-10-03,,2,14,,,,nflverse
00-0021286,Demarcus Faggins,CB,,38,70,180,1979-06-13,,3,14,,,,nflverse
00-0023584,Drew Hodgdon,C,,63,75,296,1981-11-15,,0,14,,,,nflverse
00-0022735,Dunta Robinson,CB,,23,70,174,1982-04-11,,1,14,,,,nflverse
00-0021193,Fred Weary,LG,RG,70,76,308,1977-09-30,,3,14,,,,nflverse
00-0017033,Gary Walker,EDGE,,96,74,324,1973-02-28,,10,14,,,,nflverse
00-0021163,Jabar Gaffney,WR,,86,73,205,1980-12-01,,3,14,14,,,nflverse
00-0022941,Jason Anderson,RB,,27,72,205,1980-04-29,,1,14,,,,nflverse
00-0020110,Jason Bell,CB,,33,72,186,1978-04-01,,4,14,,,,nflverse
00-0021815,Jason Davis,EDGE,,90,75,320,1980-09-12,,2,14,,,,nflverse
00-0019285,Jerry DeLoach,DT,,95,74,335,1977-07-17,,5,14,,,,nflverse
00-0019470,Junior Ioane,EDGE,,94,76,332,1977-07-21,,5,14,,,,nflverse
00-0023659,Kenneth Pettway,LB,,55,76,255,1982-11-13,,0,14,,,,nflverse
00-0019465,Lewis Sanders,CB,,21,73,210,1978-06-22,,5,14,,,,nflverse
00-0021394,Milford Brown,LG,RG,67,76,331,1980-08-15,,3,14,,,,nflverse
00-0021151,Phillip Buchanon,CB,,31,70,185,1980-09-19,,3,14,,,,nflverse
00-0019573,Robaire Smith,DT,,99,76,328,1977-11-15,,5,14,,,,nflverse
00-0012689,Seth Payne,DT,,91,76,315,1975-02-12,,8,14,,,,nflverse
00-0021978,Seth Wand,LT,RT,78,79,330,1979-08-06,,2,14,,,,nflverse
00-0010966,Steve McKinney,LG,RG,76,76,302,1975-10-15,,7,14,,,,nflverse
00-0019705,Todd Wade,LT,RT,71,80,317,1976-10-30,,5,14,,,,nflverse
00-0017279,Todd Washington,C,,77,75,317,1976-07-19,,7,14,,,,nflverse
00-0022116,Tony Hollings,RB,,25,70,218,1981-12-01,,2,14,,,,nflverse
00-0023450,Travis Johnson,DT,,75,75,303,1982-04-26,,0,14,,,,nflverse
00-0021292,Tyson Walter,C,,74,76,303,1978-03-17,,3,14,,,,nflverse
00-0017637,Zach Wiegert,LT,RT,72,77,305,1972-08-16,,10,14,,,,nflverse
00-0021223,Jonathan Wells,RB,,32,73,252,1979-07-21,,3,13,13,,,nflverse
00-0022044,Andre Johnson,WR,,80,75,219,1981-07-11,,2,12,12,,,nflverse
00-0001627,Corey Bradford,WR,,85,73,201,1975-12-08,,7,12,12,,,nflverse
00-0021979,Domanick Williams,RB,,37,69,221,1980-10-01,,2,11,11,,,nflverse
00-0020187,Marcellus Rivers,TE,,84,76,250,1978-10-26,,4,11,11,,,nflverse
00-0021406,Derick Armstrong,WR,,88,74,206,1979-04-02,,2,7,,,,nflverse
00-0023508,Vernand Morency,RB,,34,69,212,1980-02-04,,0,6,,,,nflverse
00-0023549,Jerome Mathis,WR,,13,71,172,1983-07-26,,0,5,,,,nflverse
00-0022951,Donovan Morgan,WR,,11,75,195,1981-07-29,,1,2,,,,nflverse
00-0002102,Mark Bruener,TE,,87,76,258,1972-09-16,,10,2,,,,nflverse
00-0021352,Matt Murphy,TE,,81,77,268,1980-02-23,,3,2,,,,nflverse
00-0015550,Chad Stanley,P,,7,75,216,1976-01-29,,6,1,,,,nflverse
00-0001980,Kris Brown,K,,3,71,205,1976-12-23,,6,1,,,,nflverse
00-0020508,Moran Norris,RB,,44,73,254,1978-06-16,,4,1,,,,nflverse
00-0000722,Tony Banks,QB,,12,76,229,1973-04-05,,9,1,,,,nflverse
