player_id,name,position,secondary_positions,jersey_number,height,weight,birth_date,college,years_exp,games,games_started,scout_grade,awards,notes
00-0023459,Aaron Rodgers,QB,,12,74,220,1983-12-02,California,3,16,16,,,nflverse
00-0004541,Donald Driver,WR,,80,72,194,1975-02-02,,9,16,16,,,nflverse
00-0024267,Greg Jennings,WR,,85,71,197,1983-09-21,Western Michigan,2,16,16,,,nflverse
00-0022984,Ryan Grant,RB,,25,73,226,1982-12-09,,3,16,16,,,nflverse
00-0026176,Jordy Nelson,WR,,87,75,217,1985-05-31,Kansas State,0,15,15,,,nflverse
00-0021269,Aaron Kampman,EDGE,,74,76,265,1979-11-30,,6,14,,,,nflverse
00-0006915,Al Harris,CB,,31,73,190,1974-12-07,,11,14,,,,nflverse
00-0023047,Alfred Malone,DT,,98,77,308,1982-02-21,,3,14,,,,nflverse
00-0025506,Allen Barbre,LG,RG,78,76,305,1984-06-22,Missouri Southern State,1,14,,,,nflverse
00-0026093,Anthony Toribio,DT,,69,73,300,1985-03-01,,0,14,,,,nflverse
00-0026290,Breno Giacomini,LT,RT,68,79,311,1985-09-27,Louisville,0,14,,,,nflverse
00-0026196,Brian Brohm,QB,,11,75,223,1985-09-23,,0,14,,,,nflverse
00-0019702,Chad Clifton,LT,RT,76,77,320,1976-06-26,,8,14,,,,nflverse
00-0018227,Charles Woodson,CB,,21,73,202,1976-10-07,Michigan,10,14,,,,nflverse
00-0021684,Colin Cole,DT,,90,73,330,1980-06-24,Iowa,5,14,,,,nflverse
00-0021706,Cullen Jenkins,EDGE,,77,74,305,1981-01-20,Central Michigan,5,14,,,,nflverse
00-0026028,Danny Lansanah,LB,,58,73,248,1985-08-28,Connecticut,0,14,,,,nflverse
00-0024262,Daryn Colledge,LG,RG,73,76,308,1982-02-11,,2,14,,,,nflverse
00-0021929,Donald Lee,TE,,86,76,248,1980-08-31,,5,14,14,,,nflverse
00-0023918,Jarrett Bush,CB,,24,72,200,1984-05-21,,2,14,,,,nflverse
00-0023890,Jason Hunter,EDGE,,57,76,271,1983-08-28,,2,14,,,,nflverse
00-0024290,Jason Spitz,LG,RG,72,75,302,1982-12-19,,2,14,,,,nflverse
00-0025786,Jeremy Kapinos,P,,7,73,235,1984-08-23,,1,14,,,,nflverse
00-0026242,Jeremy Thompson,EDGE,,99,76,270,1985-10-09,,0,14,,,,nflverse
00-0024793,Joe Porter,S,,40,70,203,1985-11-27,,1,14,,,,nflverse
00-0024397,Johnny Jolly,DT,,97,75,320,1983-02-21,,2,14,,,,nflverse
00-0026275,Josh Sitton,LG,RG,71,75,317,1986-06-16,Central Florida,0,14,,,,nflverse
00-0025403,Justin Harrell,DT,,91,76,310,1984-02-14,,1,14,,,,nflverse
00-0023659,Kenneth Pettway,EDGE,,93,76,248,1982-11-13,,3,14,,,,nflverse
00-0019502,Mark Tauscher,LT,RT,65,75,316,1977-06-17,,8,14,,,,nflverse
00-0025580,Mason Crosby,K,,2,73,207,1984-09-03,Colorado,1,14,,,,nflverse
00-0023613,Mike Montgomery,EDGE,,96,77,273,1983-08-18,,3,14,,,,nflverse
00-0025795,Nevin McCaskill,LT,RT,67,76,300,1983-12-29,,1,14,,,,nflverse
00-0026200,Patrick Lee,CB,,22,72,194,1984-02-20,,0,14,,,,nflverse
00-0020515,Ryan Pickett,DT,,79,74,330,1979-10-08,,7,14,,,,nflverse
00-0022832,Scott Wells,C,,63,74,303,1981-01-07,,4,14,,,,nflverse
00-0023832,Spencer Havner,LB,,53,75,244,1983-02-02,,2,14,,,,nflverse
00-0024379,Tony Moll,LT,RT,75,77,306,1983-08-23,,2,14,,,,nflverse
00-0024061,Tramon Williams,CB,,38,71,191,1983-03-16,Louisiana Tech,2,14,,,,nflverse
00-0025450,Brandon Jackson,RB,,32,70,220,1985-10-02,,1,13,13,,,nflverse
00-0025465,James Jones,WR,,89,73,218,1984-03-31,,1,9,9,,,nflverse
00-0022999,John Kuhn,RB,,30,72,259,1982-09-09,Shippensburg,3,9,9,,,nflverse
00-0022421,Ruvell Martin,WR,,82,76,220,1982-08-10,,4,8,8,,,nflverse
00-0023210,Tory Humphrey,TE,,84,74,255,1983-01-20,,3,7,,,,nflverse
00-0026231,Jermichael Finley,TE,,88,77,247,1987-03-26,,0,5,,,,nflverse
00-0025578,Korey Hall,RB,,35,72,243,1983-08-05,,1,5,,,,nflverse
00-0026349,Matt Flynn,QB,,10,74,222,1985-06-20,LSU,0,4,,,,nflverse
00-0025615,DeShawn Wynn,RB,,42,70,232,1983-10-09,,1,3,,,,nflverse
00-0024330,Will Blackmon,CB,,27,72,206,1984-10-27,Boston College,2,2,,,,nflverse
00-0026029,Kregg Lumpkin,RB,,28,71,228,1984-05-15,,0,1,,,,nflverse
