player_id,name,position,secondary_positions,jersey_number,height,weight,birth_date,college,years_exp,games,games_started,scout_grade,awards,notes
00-0022924,Ben Roethlisberger,QB,,7,77,240,1982-03-02,"Miami, O.",14,16,16,,,nflverse
00-0033857,JuJu Smith-Schuster,WR,,19,73,215,1996-11-22,Southern California,1,16,16,,,nflverse
00-0033562,Ryan Switzer,WR,,10,68,181,1994-11-04,North Carolina,1,16,16,,,nflverse
00-0027793,Antonio Brown,WR,,84,70,181,1988-07-10,Central Michigan,8,15,15,,,nflverse
00-0030470,Vance McDonald,TE,,89,76,267,1990-06-13,Rice,5,15,15,,,nflverse
00-0031956,Anthony Chickillo,LB,,56,75,255,1992-12-10,Miami,3,14,,,,nflverse
00-0033103,Artie Burns,CB,,25,72,197,1995-05-01,Miami,2,14,,,,nflverse
00-0031779,B.J. Finney,C,,67,76,318,1991-10-26,Kansas State,3,14,,,,nflverse
00-0033467,Brian Allen,CB,,29,75,215,1993-10-21,Utah,1,14,,,,nflverse
00-0032146,Bud Dupree,LB,,48,76,269,1993-02-12,Kentucky,3,14,,,,nflverse
00-0027969,Cameron Heyward,DT,,97,77,295,1989-05-06,Ohio State,7,14,,,,nflverse
00-0033930,Cameron Sutton,CB,,20,71,188,1995-02-27,Tennessee,1,14,,,,nflverse
00-0034768,Chukwuma Okorafor,LT,RT,76,78,330,1997-08-08,Western Michigan,0,14,,,,nflverse
00-0029529,Coty Sensabaugh,CB,,24,71,187,1988-11-15,Clemson,6,14,,,,nflverse
00-0031193,Dan McCullers,DT,,93,79,352,1992-08-11,Tennessee,4,14,,,,nflverse
00-0029678,David DeCastro,LG,RG,66,77,316,1990-01-11,Stanford,6,14,,,,nflverse
00-0032997,Jake McGee,TE,,80,77,250,1991-09-19,Florida,2,14,,,,nflverse
00-0033109,Javon Hargrave,DT,,79,74,305,1993-02-07,South Carolina State,2,14,,,,nflverse
00-0033085,Jerald Hawkins,LT,RT,65,78,305,1993-10-16,Louisiana State,2,14,,,,nflverse
00-0032135,Jesse James,TE,,81,79,261,1994-06-04,Penn State,3,14,14,,,nflverse
00-0027860,Joe Haden,CB,,23,71,195,1989-04-14,Florida,8,14,,,,nflverse
00-0030064,Jon Bostic,LB,,51,73,245,1991-05-05,Florida,5,14,,,,nflverse
00-0031502,Jordan Berry,P,,4,77,195,1991-03-18,Eastern Kentucky,3,14,,,,nflverse
00-0030023,Jordan Dangerfield,CB,,37,71,200,1990-12-25,Towson,5,14,,,,nflverse
00-0032874,Joseph Cheek,LT,RT,72,79,311,1992-12-02,Texas A&M,2,14,,,,nflverse
00-0033494,Keith Kelsey,LB,,55,72,233,1995-03-17,Louisville,1,14,,,,nflverse
00-0028932,L.J. Fort,LB,,54,72,232,1990-01-03,Northern Iowa,6,14,,,,nflverse
00-0031607,L.T. Walton,EDGE,,96,77,305,1992-03-31,Central Michigan,3,14,,,,nflverse
00-0033313,Malik Golden,CB,,39,72,205,1993-04-27,Penn State,1,14,,,,nflverse
00-0034335,Marcus Allen,CB,,27,74,202,1996-08-07,Penn State,0,14,,,,nflverse
00-0028001,Marcus Gilbert,LT,RT,77,78,330,1988-02-15,Florida,7,14,,,,nflverse
00-0034771,Mason Rudolph,QB,,2,77,230,1995-06-17,Oklahoma State,0,14,,,,nflverse
00-0031142,Matt Feiler,LT,RT,71,78,330,1992-07-07,Bloomsburg,4,14,,,,nflverse
00-0034479,Matt McCrane,K,,3,70,165,1994-09-08,Kansas State,0,14,,,,nflverse
00-0027870,Maurkice Pouncey,C,,53,76,304,1989-07-24,Florida,8,14,,,,nflverse
00-0032521,Mike Hilton,CB,,28,69,184,1994-03-09,Mississippi,2,14,,,,nflverse
00-0027676,Morgan Burnett,S,,42,73,209,1989-01-13,Georgia Tech,8,14,,,,nflverse
00-0031070,Nat Berhe,S,,31,71,195,1991-07-06,San Diego State,4,14,,,,nflverse
00-0034204,Ola Adeniyi,LB,,92,73,255,1997-09-12,Toledo,0,14,,,,nflverse
00-0026561,Ramon Foster,LG,RG,73,77,328,1986-01-07,Tennessee,9,14,,,,nflverse
00-0031365,Ryan Shazier,LB,,50,73,230,1992-09-06,Ohio State,4,14,,,,nflverse
00-0033053,Sean Davis,S,,21,73,202,1993-10-23,Maryland,2,14,,,,nflverse
00-0031412,Stephon Tuitt,EDGE,,91,78,303,1993-05-23,Notre Dame,4,14,,,,nflverse
00-0033886,T.J. Watt,LB,,90,76,252,1994-10-11,Wisconsin,1,14,,,,nflverse
00-0034858,Terrell Edmunds,CB,,34,73,220,1997-01-20,Virginia Tech,0,14,,,,nflverse
00-0033838,Trey Edmunds,RB,,33,74,223,1994-12-30,Maryland,1,14,,,,nflverse
00-0034123,Trey Johnson,CB,,38,71,170,1994-09-27,Villanova,0,14,,,,nflverse
00-0032366,Tyler Matakevich,LB,,44,73,235,1992-12-22,Temple,2,14,,,,nflverse
00-0027862,Tyson Alualu,EDGE,,94,75,304,1987-05-12,California,8,14,,,,nflverse
00-0030434,Vince Williams,LB,,98,73,233,1989-12-27,Florida State,5,14,,,,nflverse
