player_id,name,position,secondary_positions,jersey_number,height,weight,birth_date,college,years_exp,games,games_started,scout_grade,awards,notes
00-0033932,Kenny Golladay,WR,,19,76,213,1993-11-03,Northern Illinois,2,16,16,,,nflverse
00-0026035,Danny Amendola,WR,,80,71,185,1985-11-02,Texas Tech,11,15,15,,,nflverse
00-0032602,J.D. McKissic,RB,,41,70,195,1993-08-15,Arkansas State,3,15,15,,,nflverse
00-0035537,Ty Johnson,RB,,31,70,210,1997-09-17,Maryland,0,15,15,,,nflverse
00-0032889,A'Shawn Robinson,DT,,91,76,330,1995-03-21,Alabama,3,14,,,,nflverse
00-0035270,Amani Oruwariye,CB,,24,74,203,1996-02-09,Penn State,0,14,,,,nflverse
00-0035330,Anthony Pittman,LB,,57,75,240,1996-11-24,"Wayne State, Mich.",0,14,,,,nflverse
00-0035531,Austin Bryant,DT,,94,78,261,1996-11-12,Clemson,0,14,,,,nflverse
00-0035323,Beau Benzschawel,LG,RG,63,78,300,1995-09-10,Wisconsin,0,14,,,,nflverse
00-0035327,C.J. Moore,CB,,49,71,195,1995-12-15,Mississippi,0,14,,,,nflverse
00-0032779,Caleb Benenoch,LT,RT,74,77,305,1994-08-08,UCLA,3,14,,,,nflverse
00-0031130,Christian Jones,LB,,52,75,250,1991-02-18,Florida State,5,14,,,,nflverse
00-0034371,Da'Shawn Hand,DT,,93,75,297,1995-11-14,Alabama,1,14,,,,nflverse
00-0029040,Damon Harrison,DT,,98,75,350,1988-11-29,William Penn,7,14,,,,nflverse
00-0033863,Dan Skipper,LG,RG,70,81,325,1994-09-20,Arkansas,2,14,,,,nflverse
00-0032138,Darius Kilgo,DT,,97,75,320,1991-12-14,Maryland,4,14,,,,nflverse
00-0030062,Darius Slay,CB,,23,72,190,1991-01-01,Mississippi State,6,14,,,,nflverse
00-0033779,Dee Virgin,CB,,30,69,195,1993-10-29,West Alabama,2,14,,,,nflverse
00-0031241,Devon Kennard,LB,,42,75,256,1991-06-24,Southern California,5,14,,,,nflverse
00-0034590,Frank Herron,EDGE,,75,76,305,1994-07-09,Louisiana State,1,14,,,,nflverse
00-0034345,Frank Ragnow,C,,77,77,311,1996-05-17,Arkansas,1,14,,,,nflverse
00-0032395,Graham Glasgow,C,,60,78,310,1992-08-19,Michigan,3,14,,,,nflverse
00-0035240,Jahlani Tavai,LB,,51,74,250,1996-09-28,Hawaii,0,14,,,,nflverse
00-0033557,Jalen Reeves-Maybin,LB,,44,72,233,1995-01-31,Tennessee,2,14,,,,nflverse
00-0030697,Jamie Meder,DT,,61,74,308,1991-04-12,Ashland,5,14,,,,nflverse
00-0033539,Jarrad Davis,LB,,40,73,245,1994-11-16,Florida,2,14,,,,nflverse
00-0034171,Jason Cabinda,LB,,53,73,235,1996-03-17,Penn State,1,14,,,,nflverse
00-0029159,Jermaine Kearse,WR,,18,73,209,1990-02-06,Washington,7,14,,,,nflverse
00-0032418,Joe Dahl,LG,RG,66,76,310,1993-04-09,Washington State,3,14,,,,nflverse
00-0034586,John Atkins,DT,,99,75,320,1992-12-21,Georgia,1,14,,,,nflverse
00-0034223,Jonathan Wynn,EDGE,,69,76,260,1994-09-21,Vanderbilt,1,14,,,,nflverse
00-0031796,Justin Coleman,CB,,27,71,190,1993-03-27,Tennessee,4,14,,,,nflverse
00-0028240,Kenny Wiggins,LG,RG,79,78,315,1988-08-08,Fresno State,8,14,,,,nflverse
