player_id,name,position,secondary_positions,jersey_number,height,weight,birth_date,college,years_exp,games,games_started,scout_grade,awards,notes
00-0033681,Keelan Cole,WR,,84,73,194,1993-04-20,Kentucky Wesleyan,3,16,16,,,nflverse
00-0031951,James O'Shaughnessy,TE,,80,76,245,1992-01-14,Illinois State,5,15,15,,,nflverse
00-0032255,A.J. Cann,LG,RG,60,75,325,1991-10-23,South Carolina,5,14,,,,nflverse
00-0030993,Aaron Lynch,LB,,59,77,285,1993-02-08,South Florida,6,14,,,,nflverse
00-0029946,Abry Jones,DT,,95,76,318,1991-09-08,Georgia,7,14,,,,nflverse
00-0033064,Adam Gotsis,EDGE,,96,76,287,1992-09-23,Georgia Tech,4,14,,,,nflverse
00-0027723,Al Woods,DT,,97,76,330,1987-03-25,Louisiana State,10,14,,,,nflverse
00-0032870,Aldrick Rosas,K,,7,75,221,1994-12-30,Southern Oregon,4,14,,,,nflverse
00-0031122,Andrew Norwell,LG,RG,68,78,325,1991-10-25,Ohio State,6,14,,,,nflverse
00-0035378,Andrew Wingard,S,,42,72,209,1996-12-05,Wyoming,1,14,,,,nflverse
00-0036272,Ben Bartch,LT,RT,78,78,305,1998-07-22,"St. John's, Minn.",0,14,,,,nflverse
00-0031369,Brandon Linder,LG,RG,65,78,315,1992-01-25,Miami,6,14,,,,nflverse
00-0035375,Brandon Rusnak,CB,,40,71,198,1995-07-11,Michigan,1,14,,,,nflverse
00-0036281,C.J. Henderson,CB,,23,73,191,1998-09-30,Florida,0,14,,,,nflverse
00-0033889,Cam Robinson,LT,RT,74,78,320,1995-10-09,Alabama,3,14,,,,nflverse
00-0031071,Caraun Reid,DT,,92,74,292,1991-11-23,Princeton,6,14,,,,nflverse
00-0036316,Chris Claybrooks,CB,,27,69,176,1997-07-17,Memphis,0,14,,,,nflverse
00-0032128,Chris Conley,WR,,18,75,205,1992-10-25,Georgia,5,14,14,,,nflverse
00-0030572,D.J. Hayden,CB,,25,71,190,1990-06-27,Houston,7,14,,,,nflverse
00-0035670,Dakota Allen,LB,,53,73,232,1995-11-02,Texas Tech,1,14,,,,nflverse
00-0034251,Daniel Ekuale,DT,,99,75,300,1994-01-13,Washington State,2,14,,,,nflverse
00-0033535,Daniel Ross,DT,,93,75,305,1993-03-15,N.E. Mississippi CC,3,14,,,,nflverse
00-0036262,Davon Hamilton,DT,,52,76,310,1997-02-01,Ohio State,0,14,,,,nflverse
00-0033907,Dawuane Smoot,EDGE,,94,75,264,1995-03-02,Illinois,3,14,,,,nflverse
00-0035220,Derwin Gray,LT,RT,77,76,320,1995-05-10,Maryland,1,14,,,,nflverse
00-0035312,Dontavius Russell,DT,,98,75,320,1995-09-18,Auburn,1,14,,,,nflverse
00-0035822,Doug Costin,DT,,58,74,295,1997-10-05,"Miami, O.",0,14,,,,nflverse
00-0032697,Doug Middleton,S,,39,72,210,1993-09-25,Appalachian State,4,14,,,,nflverse
00-0033430,Greg Mabin,CB,,34,74,200,1994-06-25,Iowa,3,14,,,,nflverse
00-0035831,James Robinson,RB,,30,69,220,1998-08-09,Illinois State,0,14,14,,,nflverse
00-0032525,Jarrod Wilson,S,,26,74,210,1994-02-09,Michigan,4,14,,,,nflverse
00-0035237,Jawaan Taylor,LT,RT,75,77,312,1997-11-25,Florida,1,14,,,,nflverse
