player_id,name,position,secondary_positions,jersey_number,height,weight,birth_date,college,years_exp,games,games_started,scout_grade,awards,notes
00-0038994,Jordan Addison,WR,,3,71,175,2002-01-27,Southern California,0,17,17,,,nflverse
00-0034972,Alexander Mattison,RB,,2,71,220,1998-06-19,Boise State,4,16,16,,,nflverse
00-0036345,K.J. Osborn,WR,,17,71,200,1997-06-10,Miami,3,15,15,,,nflverse
00-0035229,T.J. Hockenson,TE,,87,77,248,1997-07-03,Iowa,4,15,15,,,nflverse
00-0038101,Akayleb Evans,CB,,21,74,193,1999-06-22,Missouri,1,14,,,,nflverse
00-0038801,Andre Carter,LB,,55,78,260,2000-06-02,Army,0,14,,,,nflverse
00-0038130,Andrew Booth,CB,,23,72,200,2000-09-28,Clemson,1,14,,,,nflverse
00-0031256,Anthony Barr,LB,,54,77,255,1992-03-18,UCLA,9,14,,,,nflverse
00-0034112,Austin Schlottmann,C,,65,78,300,1995-09-18,Texas Christian,5,14,,,,nflverse
00-0035823,Ben Ellefson,TE,,82,75,250,1996-09-01,North Dakota State,3,14,,,,nflverse
00-0036347,Blake Brandel,LG,RG,64,79,307,1997-01-23,Oregon State,3,14,,,,nflverse
00-0037822,Brian Asamoah,LB,,33,72,230,2000-03-29,Oklahoma,1,14,,,,nflverse
00-0034158,Brian O'Neill,LT,RT,75,79,297,1995-09-15,Pittsburgh,5,14,,,,nflverse
00-0035236,Byron Murphy,CB,,7,71,190,1998-01-18,Washington,4,14,,,,nflverse
00-0036629,Camryn Bynum,S,,24,72,195,1998-07-19,California,2,14,,,,nflverse
00-0031734,Chris Reed,LG,RG,62,75,320,1992-07-22,Minn. State-Mankato,8,14,,,,nflverse
00-0036616,Christian Darrisaw,LT,RT,71,77,314,1999-06-02,Virginia Tech,2,14,,,,nflverse
00-0036335,D.J. Wonnum,LB,,98,77,260,1997-10-31,South Carolina,3,14,,,,nflverse
00-0035702,Dalton Risner,LG,RG,66,77,312,1995-07-13,Kansas State,4,14,,,,nflverse
00-0031565,Danielle Hunter,LB,,99,77,252,1994-10-29,Louisiana State,8,14,,,,nflverse
00-0030097,David Quessenberry,LG,RG,76,77,310,1990-08-24,San Jose State,10,14,,,,nflverse
00-0032412,Dean Lowry,EDGE,,94,78,296,1994-06-09,Northwestern,7,14,,,,nflverse
00-0038131,Ed Ingram,LG,RG,67,75,295,1999-02-11,Louisiana State,1,14,,,,nflverse
00-0035588,Garrett Bradbury,C,,56,75,305,1995-06-20,North Carolina State,4,14,,,,nflverse
00-0034450,Greg Joseph,K,,1,72,210,1994-08-04,Florida Atlantic,5,14,,,,nflverse
00-0036310,Hakeem Adeniji,LG,RG,78,76,300,1997-12-08,Kansas,3,14,,,,nflverse
00-0034782,Harrison Phillips,DT,,97,75,307,1996-01-25,Stanford,5,14,,,,nflverse
00-0029606,Harrison Smith,S,,22,74,214,1989-02-02,Notre Dame,11,14,,,,nflverse
00-0038807,Ivan Pace,LB,,40,70,235,2000-12-16,Cincinnati,0,14,,,,nflverse
00-0036337,James Lynch,DT,,92,76,295,1999-01-20,Baylor,3,14,,,,nflverse
00-0038584,Jaquelin Roy,DT,,93,75,315,2000-10-22,Louisiana State,0,14,,,,nflverse
00-0038578,Jay Ward,S,,20,73,188,2000-07-13,Louisiana State,0,14,,,,nflverse
00-0038812,Jaylin Williams,CB,,38,70,180,2000-02-26,Indiana,0,14,,,,nflverse
00-0035241,Joejuan Williams,CB,,29,75,212,1997-12-06,Vanderbilt,4,14,,,,nflverse
00-0033093,Jonathan Bullard,EDGE,,90,75,296,1993-10-22,Florida,7,14,,,,nflverse
00-0032129,Jordan Hicks,LB,,58,73,236,1992-06-27,Texas,8,14,,,,nflverse
00-0036348,Josh Metellus,S,,44,71,210,1998-01-21,Michigan,3,14,,,,nflverse
00-0036909,Khyiris Tonga,DT,,95,76,340,1996-07-07,Brigham Young,2,14,,,,nflverse
00-0037245,Lewis Cine,S,,6,74,200,1999-10-05,Georgia,1,14,,,,nflverse
00-0038181,Lucky Jackson,WR,,81,73,185,1997-07-17,Western Kentucky,3,14,,,,nflverse
00-0038806,Malik Knowles,WR,,81,75,200,2000-08-17,Kansas State,0,14,,,,nflverse
00-0034344,Marcus Davenport,LB,,0,78,265,1996-09-04,Texas-San Antonio,5,14,,,,nflverse
00-0038565,Mekhi Blackmon,CB,,5,71,175,1999-03-18,Southern California,0,14,,,,nflverse
00-0038811,NaJee Thompson,CB,,11,71,205,2000-07-07,Georgia Southern,0,14,,,,nflverse
00-0032892,Nick Vigil,LB,,59,74,235,1993-08-20,Utah State,7,14,,,,nflverse
00-0034994,Olisaemeka Udoh,LG,RG,74,78,323,1997-02-14,Elon,4,14,,,,nflverse
00-0037007,Patrick Jones,LB,,91,76,260,1998-09-29,Pittsburgh,2,14,,,,nflverse
00-0037500,Ryan Wright,P,,14,75,245,2000-06-01,Tulane,1,14,,,,nflverse
00-0033010,Sheldon Day,DT,,52,73,294,1994-07-01,Notre Dame,7,14,,,,nflverse
00-0035910,T.J. Smith,DT,,50,75,290,1997-04-19,Arkansas,3,14,,,,nflverse
00-0037301,Theo Jackson,S,,25,73,203,1998-10-02,Tennessee,1,14,,,,nflverse
