player_id,name,position,secondary_positions,jersey_number,height,weight,birth_date,college,years_exp,games,games_started,scout_grade,awards,notes
00-0038543,Jaxon Smith-Njigba,WR,,11,72,198,2002-02-14,Ohio State,0,17,17,,,nflverse
00-0032211,Tyler Lockett,WR,,16,70,182,1992-09-28,Kansas State,8,17,17,,,nflverse
00-0035640,DK Metcalf,WR,,14,76,230,1997-12-14,Mississippi,4,16,16,,,nflverse
00-0039165,Zach Charbonnet,RB,,26,73,220,2001-01-08,UCLA,0,16,16,,,nflverse
00-0030565,Geno Smith,QB,,7,75,221,1990-10-10,West Virginia,10,15,15,,,nflverse
00-0038134,Kenneth Walker,RB,,9,69,210,2000-10-20,Michigan State,1,15,15,,,nflverse
00-0037812,Abraham Lucas,LT,RT,72,78,319,1998-10-15,Washington State,1,14,,,,nflverse
00-0039166,Andrew Whitaker,CB,,38,73,174,1999-01-16,"Washington, Mo.",0,14,,,,nflverse
00-0039020,Anthony Bradford,LG,RG,75,77,345,2001-04-28,Louisiana State,0,14,,,,nflverse
00-0033103,Artie Burns,CB,,23,72,197,1995-05-01,Miami,7,14,,,,nflverse
00-0036767,Austin Faoliu,DT,,64,75,295,1999-01-09,Oregon,2,14,,,,nflverse
00-0029255,Bobby Wagner,LB,,54,72,242,1990-06-27,Utah State,11,14,,,,nflverse
00-0038133,Boye Mafe,LB,,53,76,265,1998-11-30,Minnesota,1,14,,,,nflverse
00-0038488,Brady Russell,TE,,38,75,250,1998-08-31,Colorado,0,14,,,,nflverse
00-0035094,Bryan Mone,DT,,91,75,366,1995-10-20,Michigan,4,14,,,,nflverse
00-0038572,Cameron Young,DT,,93,75,315,2000-06-08,Mississippi State,0,14,,,,nflverse
00-0037821,Charles Cross,LT,RT,67,77,310,2000-11-25,Mississippi State,1,14,,,,nflverse
00-0038136,Coby Bryant,CB,,8,73,198,1999-03-29,Cincinnati,1,14,,,,nflverse
00-0036244,Colby Parkinson,TE,,84,79,251,1999-01-07,Stanford,3,14,14,,,nflverse
00-0036417,Damien Lewis,LG,RG,68,74,332,1997-03-21,Louisiana State,3,14,,,,nflverse
00-0037093,Dareke Young,WR,,83,74,210,1999-06-04,Lenoir-Rhyne,1,14,,,,nflverse
00-0036413,Darrell Taylor,LB,,52,76,253,1997-03-24,Tennessee,3,14,,,,nflverse
00-0039047,Derick Hall,LB,,58,75,256,2001-03-19,Auburn,0,14,,,,nflverse
00-0035525,Devin Bush,LB,,0,71,233,1998-07-18,Michigan,4,14,,,,nflverse
00-0039169,Devon Witherspoon,CB,,21,72,180,2000-12-11,Illinois,0,14,,,,nflverse
00-0038922,Drake Thomas,LB,,42,71,236,2000-02-25,North Carolina State,0,14,,,,nflverse
00-0035678,Dre'Mont Jones,EDGE,,55,75,281,1997-01-05,Ohio State,4,14,,,,nflverse
00-0034495,Evan Brown,C,,63,75,302,1996-09-16,Southern Methodist,5,14,,,,nflverse
00-0038752,Jake Bobo,WR,,19,76,215,1998-08-04,UCLA,0,14,14,,,nflverse
00-0036795,Jake Curhan,LT,RT,74,78,330,1998-02-09,California,2,14,,,,nflverse
00-0033872,Jamal Adams,S,,33,73,213,1995-10-17,Louisiana State,6,14,,,,nflverse
00-0032387,Jarran Reed,DT,,90,75,306,1992-12-16,Alabama,7,14,,,,nflverse
00-0031492,Jason Myers,K,,5,70,190,1991-05-12,Marist,8,14,,,,nflverse
00-0022531,Jason Peters,LT,RT,70,76,328,1982-01-22,Arkansas,19,14,,,,nflverse
00-0038613,Jerrick Reed,S,,32,69,192,2000-08-07,New Mexico,0,14,,,,nflverse
00-0036802,Jon Rhattigan,LB,,59,72,245,1999-02-02,Army,2,14,,,,nflverse
00-0036409,Jordyn Brooks,LB,,56,72,245,1997-10-21,Texas Tech,3,14,,,,nflverse
00-0037149,Joshua Onujiogu,EDGE,,49,74,250,1998-03-03,Framingham State,1,14,,,,nflverse
00-0034974,Julian Love,S,,20,71,193,1998-03-19,Notre Dame,4,14,,,,nflverse
00-0038636,Kenny McIntosh,RB,,25,72,210,2000-03-03,Georgia,0,14,,,,nflverse
00-0039015,LaTrell Bumphus,EDGE,,77,75,290,1999-09-30,Tennessee,0,14,,,,nflverse
00-0031933,Leonard Williams,DT,,99,77,302,1994-06-20,Southern California,8,14,,,,nflverse
00-0032265,Mario Edwards,EDGE,,97,75,280,1994-01-25,Florida State,8,14,,,,nflverse
00-0037152,Matthew Gotel,DT,,77,76,300,1999-01-02,West Florida,1,14,,,,nflverse
00-0038914,McClendon Curtis,LG,RG,66,78,328,1999-09-16,Chattanooga,0,14,,,,nflverse
00-0034160,Michael Dickson,P,,4,74,208,1996-01-04,Texas,5,14,,,,nflverse
00-0035277,Michael Jackson,CB,,30,73,210,1997-01-10,Miami,4,14,,,,nflverse
00-0038591,Mike Morris,EDGE,,94,78,292,2001-04-22,Michigan,0,14,,,,nflverse
00-0035946,Myles Adams,EDGE,,95,74,285,1998-03-09,Rice,3,14,,,,nflverse
00-0028292,Nick Bellore,LB,,44,73,250,1989-05-12,Central Michigan,12,14,,,,nflverse
00-0035644,Noah Fant,TE,,87,76,249,1997-11-20,Iowa,4,14,14,,,nflverse
00-0038593,Olusegun Oluwatimi,C,,51,75,307,1999-08-05,Michigan,0,14,,,,nflverse
00-0038764,Patrick O'Connell,LB,,50,73,230,1998-12-31,Montana,0,14,,,,nflverse
00-0035141,Phil Haynes,LG,RG,60,76,322,1995-10-19,Wake Forest,4,14,,,,nflverse
00-0031608,Quandre Diggs,S,,6,69,197,1993-01-22,Texas,8,14,,,,nflverse
00-0038826,Raiqwon O'Neal,LT,RT,79,76,305,2000-01-12,UCLA,0,14,,,,nflverse
00-0036653,Stone Forsythe,LT,RT,78,80,332,1997-12-29,Florida,2,14,,,,nflverse
00-0037079,Tariq Woolen,CB,,27,76,205,1999-05-02,Texas-San Antonio,1,14,,,,nflverse
00-0036885,Tre Brown,CB,,22,70,186,1997-09-24,Oklahoma,2,14,,,,nflverse
00-0038765,Ty Okada,S,,39,71,200,1999-06-04,Montana State,0,14,,,,nflverse
00-0034350,Uchenna Nwosu,LB,,10,74,251,1996-12-28,Southern California,5,14,,,,nflverse
00-0034159,Will Dissly,TE,,89,76,267,1996-07-08,Washington,5,12,12,,,nflverse
00-0036425,DeeJay Dallas,RB,,31,70,214,1998-09-16,Miami,3,10,10,,,nflverse
00-0035704,Drew Lock,QB,,2,76,228,1996-11-10,Missouri,4,4,,,,nflverse
00-0036620,D'Wayne Eskridge,WR,,1,69,190,1997-03-23,Western Michigan,2,3,,,,nflverse
