player_id,name,position,secondary_positions,jersey_number,height,weight,birth_date,college,years_exp,games,games_started,scout_grade,awards,notes
00-0033526,Samaje Perine,RB,,34,70,240,1995-09-16,Oklahoma,7,17,17,,,nflverse
00-0030564,DeAndre Hopkins,WR,,8,73,212,1992-06-06,Clemson,11,16,16,,,nflverse
00-0036637,Noah Gray,TE,,83,75,240,1999-04-30,Duke,3,16,16,,,nflverse
00-0033873,Patrick Mahomes,QB,,15,74,230,1995-09-17,Texas Tech,7,16,16,,,nflverse
00-0030506,Travis Kelce,TE,,87,77,260,1989-10-05,Cincinnati,11,16,16,,,nflverse
00-0039894,Xavier Worthy,WR,,1,71,172,2003-04-27,Texas,0,16,16,,,nflverse
00-0034386,Justin Watson,WR,,84,74,215,1996-04-04,Pennsylvania,6,15,15,,,nflverse
00-0038983,BJ Thompson,EDGE,,53,78,235,1999-03-23,Stephen F. Austin,1,14,,,,nflverse
00-0035984,Blake Lynch,LB,,59,75,225,1997-02-14,Baylor,4,14,,,,nflverse
00-0037193,Bryan Cook,S,,6,73,210,1999-09-07,Cincinnati,2,14,,,,nflverse
00-0039833,C.J. Hanson,LG,RG,61,77,305,2001-03-03,Holy Cross,0,14,,,,nflverse
00-0038513,Cam Jones,LB,,44,74,228,1999-10-21,Indiana,1,14,,,,nflverse
00-0038982,Chamarri Conner,S,,27,72,206,2000-07-11,Virginia Tech,1,14,,,,nflverse
00-0035279,Charles Omenihu,EDGE,,90,77,280,1997-08-20,Texas,5,14,,,,nflverse
00-0032762,Chris Jones,DT,,95,78,308,1994-07-03,Mississippi State,8,14,,,,nflverse
00-0039324,Christian Roland-Wallace,CB,,30,71,200,2001-11-23,Southern California,0,14,,,,nflverse
00-0036623,Creed Humphrey,C,,52,76,316,1999-06-28,Oklahoma,3,14,,,,nflverse
00-0032222,D.J. Humphries,LT,RT,70,77,307,1993-12-28,Florida,9,14,,,,nflverse
00-0034818,Derrick Nnadi,DT,,91,73,310,1996-05-09,Florida State,6,14,,,,nflverse
00-0035262,Drue Tranquill,LB,,23,74,234,1995-08-15,Notre Dame,5,14,,,,nflverse
00-0039317,Ethan Driskell,LT,RT,75,80,329,2000-06-29,Marshall,0,14,,,,nflverse
00-0039006,Felix Anudike-Uzomah,EDGE,,97,76,255,2002-01-24,Kansas State,1,14,,,,nflverse
00-0037192,George Karlaftis,EDGE,,56,76,275,2001-04-03,Purdue,2,14,,,,nflverse
00-0033303,Harrison Butker,K,,7,76,205,1995-07-14,Georgia Tech,7,14,,,,nflverse
00-0039827,Hunter Nourzad,C,,60,75,320,2000-11-26,Penn State,0,14,,,,nflverse
00-0037208,Jack Cochrane,LB,,43,75,225,1999-02-09,South Dakota,2,14,,,,nflverse
00-0039060,Jason Taylor,S,,25,72,215,1999-12-30,Oklahoma State,1,14,,,,nflverse
00-0035237,Jawaan Taylor,LT,RT,74,77,312,1997-11-25,Florida,5,14,,,,nflverse
00-0037195,Jaylen Watson,CB,,35,74,204,1998-09-17,Washington State,2,14,,,,nflverse
00-0032391,Joe Thuney,LG,RG,62,77,308,1992-11-18,North Carolina State,8,14,,,,nflverse
00-0036159,Joshua Uche,LB,,55,73,250,1998-09-18,Michigan,4,14,,,,nflverse
00-0038043,Joshua Williams,CB,,2,75,197,1999-10-17,Fayetteville State,2,14,,,,nflverse
00-0034361,Justin Reid,S,,20,73,204,1997-02-15,Stanford,6,14,,,,nflverse
00-0036561,Keith Taylor,CB,,39,75,195,1999-05-03,Washington,3,14,,,,nflverse
00-0039844,Kingsley Suamataia,LT,RT,76,76,325,2003-01-18,Brigham Young,0,14,,,,nflverse
00-0037819,Leo Chenal,LB,,54,75,261,2000-10-26,Wisconsin,2,14,,,,nflverse
00-0036682,Malik Herring,EDGE,,94,75,277,1997-11-09,Georgia,3,14,,,,nflverse
00-0036920,Marlon Tuipulotu,DT,,92,74,305,1999-05-31,Southern California,3,14,,,,nflverse
00-0037284,Matt Araiza,P,,14,74,200,2000-05-16,San Diego State,2,14,,,,nflverse
