player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0000865,,Charlie Batch,QB,QB,,PIT,2010,2,REG,TEN,5,11,25,0,0,2,6,0,0,107,24,0,-10.0051622954365,0,0.233644859813084,-0.00424278280608698,1,0,0,1,0,0,-0.982633580453694,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,1,1
00-0000865,,Charlie Batch,QB,QB,,PIT,2010,3,REG,TB,12,17,186,3,2,0,0,0,0,153,55,7,7.61450637952875,0,1.2156862745098,0.332648282291804,5,26,0,0,0,2,3.3881142672617,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,18.04,18.04
00-0000865,,Charlie Batch,QB,QB,,PIT,2010,4,REG,BAL,12,21,141,0,1,2,15,0,0,278,46,6,-0.15269554398759,0,0.507194244604317,0.053022203727447,1,4,0,0,0,0,-0.714744667522609,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,4.04,4.04
00-0001231,,Josh Bidwell,P,SPEC,,WAS,2010,1,REG,DAL,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,1,0,0,1,0,0,-3.11836486024549,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0
00-0001545,,Todd Bouman,QB,QB,,JAX,2010,7,REG,KC,18,34,222,2,2,1,6,0,0,250,121,12,-5.14503642856975,0,0.888,0.0791658091992285,2,8,0,0,0,1,2.37748946878128,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,13.68,13.68
00-0002110,,Mark Brunell,QB,QB,,NYJ,2010,4,REG,BUF,1,1,7,0,0,0,0,0,0,6,1,1,1.09138469025493,0,1.16666666666667,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0.28,0.28
00-0002110,,Mark Brunell,QB,QB,,NYJ,2010,17,REG,BUF,6,12,110,2,1,1,7,0,0,153,22,6,-1.85021208709804,0,0.718954248366013,0.0849637301490987,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,10.4,10.4
00-0003035,,Desmond Clark,TE,TE,,CHI,2010,3,REG,GB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,2,12,0,0,0,8,5,1,-2.57229390204884,0,1.5,0.0740740740740741,0.0313725490196078,0.133071895424837,0,1.2,2.2
00-0003292,,Kerry Collins,QB,QB,,TEN,2010,2,REG,PIT,17,25,149,1,1,2,5,2,1,220,25,9,0.54326957243029,1,0.677272727272727,0.131788389486466,2,-1,0,0,0,0,-2.32093066725065,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,7.86,7.86
00-0003292,,Kerry Collins,QB,QB,,TEN,2010,6,REG,JAX,11,16,110,1,0,0,0,0,0,89,46,7,9.27027941057478,0,1.23595505617978,0.270957765569153,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,8.3,8.3
