season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club
1989,NYG,RB,RB,0,ACT,George Adams,George,Adams,1962-12-22,73,225,,00-0000047,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/az7w0uulag2praliusgu",ADA304546,,32004144-4130-4546-1330-206bc14699ee,,,
1989,KC,OL,G,0,ACT,Mark Adickes,Mark,Adickes,1961-04-22,76,278,,00-0000083,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/w7ehw8m3v4otr7rniuyr",ADI553722,,32004144-4955-3722-7ced-c702c7ee51f3,,,
1989,KC,RB,RB,0,ACT,Tommie Agee,Thomas,Agee,1964-02-22,72,220,,00-0000096,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/la6jp0ftakejeacqrdxw",AGE553722,,32004147-4555-3722-2601-c9c708c6cdae,,,
1989,DAL,QB,QB,8,ACT,Troy Aikman,Troy,Aikman,1966-11-21,76,220,,00-0000104,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/skagdrvhtf6ywlxwlrou",AIK553722,,32004149-4b55-3722-44ec-125524ad4078,,,
1989,DAL,DB,DB,0,ACT,Vince Albritton,Vince,Albritton,1962-07-23,74,205,,00-0000123,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/g6nr4dntwoqmiaxmzjpp",ALB761365,,3200414c-4276-1365-64b0-e529b164763c,,,
1989,DET,DB,DB,0,ACT,Bruce Alexander,Bruce,Alexander,1965-09-17,69,170,,00-0000137,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ryjfb2drdg3zkaxjvexg",ALE087428,,3200414c-4508-7428-5e5f-c9f2e5f7026b,,,
1989,PHI,OL,C,0,ACT,David Alexander,David,Alexander,1964-07-28,75,279,,00-0000144,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/edu4dqueshw81vqxk2az",ALE218570,,3200414c-4521-8570-bd50-298f90f4a808,,,
1989,DEN,RB,RB,0,ACT,Jeff Alexander,Jeffrey,Alexander,1965-01-15,72,245,,00-0000151,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ibdfomahxyxlgnt7e5ty",ALE305998,,3200414c-4530-5998-c413-d4e72cf8c89b,,,
1989,NYG,SPEC,K,0,ACT,Raul Allegre,Raul,Allegre,1959-06-15,69,165,,00-0000179,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tju3yges90ubourcleuo",ALL038630,,3200414c-4c03-8630-71a2-3875071b0f3e,,,
1989,PHI,DB,CB,0,ACT,Eric Allen,Eric,Allen,1965-11-22,70,181,,00-0000204,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/oqz1nvdgdybojfpjpsrf",ALL270410,,3200414c-4c27-0410-2fbb-56a9caa3060e,,,
1989,RAI,RB,RB,0,ACT,Marcus Allen,Marcus,Allen,1960-03-26,74,205,,00-0000220,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wy664ewj5sglsncnjakr",ALL598765,,3200414c-4c59-8765-9d33-196f8c26460c,,,
1989,NE,RB,RB,0,ACT,Marvin Allen,Marvin,Allen,1965-11-23,70,215,,00-0000226,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zbazysfacef6lbqh9ove",ALL618080,,3200414c-4c61-8080-cddb-5207f27b028f,,,
