player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,def_int,fg_made,fg_att,punt_avg
earl-morrall,1360,11,7,91.0,,,,,,,,,,
bob-griese,638,4,4,72.0,,,,,,,,,,
larry-csonka,,,,,1117,6,5,48,0,,,,,
mercury-morris,,,,,1000,12,8,58,1,,,,,
jim-kiick,,,,,521,5,21,158,1,,,,,
paul-warfield,,,,,,,29,606,3,,,,,
howard-twilley,,,,,,,20,364,3,,,,,
marlin-briscoe,,,,,,,16,279,4,,,,,
jake-scott,,,,,,,,,,,5,,,
dick-anderson,,,,,,,,,,,2,,,
garo-yepremian,,,,,,,,,,,,24,33,
larry-seiple,,,,,,,,,,,,,,40.1
