player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0009550,,,,,,,34,316,7,,,,,,,,
00-0008060,,,,,110,1,79,1090,6,,,,,,,,
00-0017209,,,,,399,2,34,224,,,,,,,,,
00-0015165,,,,,1392,11,27,119,2,,,,,,,,
00-0016654,,,,,8,,22,422,2,,,,,,,,
00-0000104,2920,17,11,82.9,10,1,,,,,,,,,,,
00-0012321,,,,,,,12,144,,,,,,,,,
00-0011328,,,,,-1,,29,317,,,,,,,,,
00-0016316,,,,,35,,9,58,,,,,,,,,
00-0001281,,,,,20,1,10,131,,,,,,,,,
00-0014324,,,,39.6,,,4,24,,,,,,,,,
00-0005794,314,3,1,73.3,12,,,,,,,,,,,,
00-0010843,,,,,,,7,70,,,,,,,,,
00-0001719,,,,,,,5,114,,,,,,,,,
00-0008044,,,,,,,10,167,3,,,,,,,,
00-0010146,,,,,,,5,25,,,,,,,,,
00-0008660,,,,,,,1,4,,,,,,,,,
00-0002873,,,,,57,,,,,,,,,,,,
