player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0010599,,,,,,,62,829,10,,,,,,,,
00-0017322,,,,,1198,5,39,380,2,,,,,,,,
00-0004077,,,,,,,58,992,7,,,,,,,,
00-0005101,,,,,,,34,368,,,,,,,,,
00-0009311,3328,23,16,78.3,53,,,,,,,,,,,,
00-0002027,,,,,38,,33,225,1,,,,,,,,
00-0013258,,,,,,,26,375,2,,,,,,,,
00-0006305,,,,,120,,,,,,,,,,,,
00-0005720,,,,,-1,,22,335,1,,,,,,,,
00-0011224,,,,,,,5,28,1,,,,,,,,
00-0001582,,,,,-14,,4,68,1,,,,,,,,
00-0015830,,,,,,,1,5,,,,,,,,,
00-0011341,,,,,30,,,,,,,,,,,,
00-0005379,283,2,,113.6,-1,,,,,,,,,,,,
