player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0016550,,,,,8,,72,1054,5,,,,,,,,
00-0003292,3764,19,16,77.1,73,,1,-2,,,,,,,,,
00-0019643,,,,,690,7,8,67,,,,,,,,,
00-0003344,,,,,15,,39,253,1,,,,,,,,
00-0007468,,,,,21,,52,659,6,,,,,,,,
00-0008962,,,,,,,51,706,3,,,,,,,,
00-0000745,,,,,865,4,72,577,,,,,,,,,
00-0002565,,,,,,,13,148,1,,,,,,,,
00-0019662,,,,,,,8,165,1,,,,,,,,
00-0020187,,,,,,,3,11,2,,,,,,,,
00-0004055,,,,,,,3,34,,,,,,,,,
00-0017239,,,,,89,,4,25,,,,,,,,,
00-0003681,,,,,,,1,5,,,,,,,,,
00-0017923,,,,,16,,,,,,,,,,,,
