player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0001823,3572,27,15,80.1,253,2,,,,,,,,,,,
00-0007744,,,,,2,,88,1312,7,,,,,,,,
00-0020527,,,,,1388,13,47,352,3,,,,,,,,
00-0012637,,,,,,,43,523,4,,,,,,,,
00-0021147,,,,,2,,42,594,8,,,,,,,,
00-0020171,,,,,,,13,143,2,,,,,,,,
00-0015048,,,,,,,12,127,,,,,,,,,
00-0013512,,,,,,,21,360,3,,,,,,,,
00-0019600,,,,,15,,8,200,,,,,,,,,
00-0019587,,,,,11,,9,30,,,,,,,,,
00-0020173,,,,,65,1,6,38,,,,,,,,,
00-0019466,,,,,19,,,,,,,,,,,,
00-0004161,113,,,113.8,-2,,,,,,,,,,,,
00-0006666,,,,,,,2,6,,,,,,,,,
00-0010632,,,,,11,,,,,,,,,,,,
