player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0019242,11,,,112.5,,,47,495,3,,,,,,,,
00-0007681,,,,,5,,117,1696,12,,,,,,,,
00-0019599,3845,22,22,81.4,75,4,,,,,,,,,,,
00-0002099,66,,,118.8,17,,69,981,5,,,,,,,,
00-0020342,,,,,15,,29,238,2,,,,,,,,
00-0005092,,,,,818,10,45,290,1,,,,,,,,
00-0003103,,,,,-5,,10,145,,,,,,,,,
00-0021209,,,,,298,1,8,59,,,,,,,,,
00-0019281,,,,,5,,20,189,,,,,,,,,
00-0021750,,,,,255,4,15,102,,,,,,,,,
00-0021981,,,,,7,,10,62,,,,,,,,,
00-0017200,365,1,1,72.9,,,,,,,,,,,,,
00-0016485,,,,,,,1,-7,,,,,,,,,
00-0021345,,,,,-1,,,,,,,,,,,,
00-0017693,,,,,7,,,,,,,,,,,,
00-0019666,,,,,,,1,18,,,,,,,,,
00-0022001,,,,,,,4,13,,,,,,,,,
