player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0022921,,,,,41,,103,1409,10,,,,,,,,
00-0023479,,,,,370,2,25,139,,,,,,,,,
00-0020022,,,,,451,,35,255,,,,,,,,,
00-0022084,,,,39.6,45,,102,1398,7,,,,,,,,
00-0022156,,,,,,,40,432,1,,,,,,,,
00-0023217,,,,,,,28,270,1,,,,,,,,
00-0000552,,,,,46,,34,231,,,,,,,,,
00-0017200,2713,11,9,85.8,28,,1,,,,,,,,,,
00-0021206,1832,9,11,74.8,139,,,,,,,,,,,,
00-0022385,,,,,,,12,133,1,,,,,,,,
00-0023658,,,,,,,18,191,1,,,,,,,,
00-0020430,,,,,11,,2,31,,,,,,,,,
00-0021048,,,,,7,,,,,,,,,,,,
00-0022827,174,1,1,77.4,,,,,,,,,,,,,
