player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0020531,3576,24,15,89.2,49,1,,,,,,,,,,,
00-0010668,,,,,2,,70,917,9,,,,,,,,
00-0020536,47,3,,153.1,1464,18,51,370,2,,,,,,,,
00-0021547,,,,,,,89,1101,10,,,,,,,,
00-0020904,,,,,55,,57,725,3,,,,,,,,
00-0011958,,,,,96,,24,145,1,,,,,,,,
00-0022821,,,,,335,3,,,,,,,,,,,
00-0021176,,,,,10,,28,352,1,,,,,,,,
00-0021227,,,,,,,11,38,1,,,,,,,,
00-0023564,,,,,50,,3,10,,,,,,,,,
00-0021570,,,,,4,,2,21,,,,,,,,,
00-0022942,115,,1,50.4,-1,,,,,,,,,,,,
00-0023496,,,,,,,3,59,,,,,,,,,
00-0021936,,,,,4,,,,,,,,,,,,
