player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0021190,88,1,,149.3,118,,32,351,3,,,,,,,,
00-0022738,,,,,,,57,734,6,,,,,,,,
00-0021184,,,,,1154,4,53,445,1,,,,,,,,
00-0014655,,,,,51,,18,105,1,,,,,,,,
00-0020494,,,,,82,,55,790,6,,,,,,,,
00-0022097,,,,,,,23,365,,,,,,,,,
00-0002110,1789,8,4,86.2,34,,,,,,,,,,,,
00-0021376,,,,,132,2,2,16,,,,,,,,,
00-0021179,,,,,523,7,17,170,,,,,,,,,
00-0023460,1297,10,6,76.5,112,,,,,,,,,,,,
00-0016440,,,,,,,12,151,1,,,,,,,,
00-0005101,,,,,,,2,17,,,,,,,,,
00-0021357,,,,,15,,,,,,,,,,,,
00-0009443,,,,,,,1,1,,,,,,,,,
00-0012642,,,,,,,1,25,,,,,,,,,
00-0019127,,,,,,,1,4,1,,,,,,,,
