player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0022910,,,,,,,55,849,5,,,,,,,,
00-0021166,,,,,10,,51,578,,,,,,,,,
00-0022706,,,,,,,25,215,2,,,,,,,,
00-0023490,,,,,19,1,35,352,1,,,,,,,,
00-0025399,8,1,,139.6,1115,7,18,184,,,,,,,,,
00-0021273,,,,,,,25,248,3,,,,,,,,
00-0025498,,,,,94,,3,17,,,,,,,,,
00-0025479,1630,7,8,70.4,49,,,,,,,,,,,,
00-0020403,,,,,89,,15,95,1,,,,,,,,
00-0024204,,,,,300,,22,190,,,,,,,,,
00-0022912,1204,4,6,76.9,110,,,,,,,,,,,,
00-0013232,,,,,,,7,68,,,,,,,,,
00-0011626,,,,,14,,,,,,,,,,,,
00-0025609,,,,,,,3,19,,,,,,,,,
00-0018578,,,,,,,2,14,,,,,,,,,
00-0021277,88,1,,87.6,6,,,,,,,,,,,,
00-0023521,,,,,,,1,3,,,,,,,,,
00-0021915,,,,,,,1,10,,,,,,,,,
