player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0021191,,,,,22,,83,1248,7,,,,,,,,
00-0007468,,,,,,,47,424,4,,,,,,,,
00-0004640,,,,,786,2,47,330,,,,,,,,,
00-0022725,,,,,5,,38,484,1,,,,,,,,
00-0005755,2712,12,6,90,151,1,,,,,,,,,,,
00-0023506,,,,,,,21,250,3,,,,,,,,
00-0021159,,,,,,,35,385,2,,,,,,,,
00-0021304,,,,,,,16,159,1,,,,,,,,
00-0021755,3,1,,118.8,563,4,23,174,,,,,,,,,
00-0022003,,,,,14,2,13,66,,,,,,,,,
00-0023440,,,,,233,4,7,43,,,,,,,,,
00-0006423,1073,5,7,69.4,-1,,,,,,,,,,,,
00-0026113,,,,,40,,4,24,,,,,,,,,
00-0005720,,,,,,,13,138,,,,,,,,,
00-0020391,,,,,,,3,24,,,,,,,,,
00-0022864,,,,,15,,,,,,,,,,,,
00-0024305,,,,,,,3,25,,,,,,,,,
00-0023790,,,,,,,1,12,,,,,,,,,
