player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0026164,,,,39.6,2006,14,50,503,2,,,,,,,,
00-0023367,,,,,15,,47,569,6,,,,,,,,
00-0027006,,,,,,,42,701,3,,,,,,,,
00-0020285,,,,,,,27,222,1,,,,,,,,
00-0023612,,,,,,,45,440,1,,,,,,,,
00-0024260,,,,,222,2,3,14,,,,,,,,,
00-0024489,,,,,5,,12,79,,,,,,,,,
00-0021982,,,,,,,28,383,3,,,,,,,,
00-0024218,1879,10,7,82.8,281,2,,,,,,,,,,,
00-0027061,,,,,,,9,74,,,,,,,,,
00-0003292,1225,6,8,65.5,15,1,,,,,,,,,,,
00-0026266,,,,,,,7,110,,,,,,,,,
00-0027120,,,,,48,,,,,,,,,,,,
00-0022882,,,,,,,1,9,,,,,,,,,
