player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0024334,,,,,-2,,118,1508,11,,,,,,,,
00-0024226,3033,19,14,81.3,233,,,,,,,,,,,,
00-0026184,,,,,1094,5,44,340,1,,,,,,,,
00-0026298,,,,,,,19,229,2,,,,,,,,
00-0024272,,,,,6,,23,242,1,,,,,,,,
00-0025487,,,,,411,5,9,83,,,,,,,,,
00-0026210,,,,,,,29,375,2,,,,,,,,
00-0029137,,,,,,,24,367,3,,,,,,,,
00-0028565,,,,,124,1,2,16,,,,,,,,,
00-0029276,,,,,,,4,21,,,,,,,,,
00-0028337,,,,,,,4,40,,,,,,,,,
00-0025464,,,,,,,6,28,1,,,,,,,,
00-0023460,265,2,2,72.8,28,,,,,,,,,,,,
00-0026579,,,,,76,,2,13,,,,,,,,,
00-0024535,,,,,,,2,27,,,,,,,,,
00-0026961,,,,,,,1,4,,,,,,,,,
