player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0027135,,,,,,,79,806,4,,,,,,,,
00-0021429,4018,22,14,85.3,36,1,,,,,,,,,,,
00-0026983,,,,,16,,41,606,5,,,,,,,,
00-0028086,,,,,-5,,51,741,7,,,,,,,,
00-0026393,,,,,271,,52,496,1,,,,,,,,
00-0029129,,,,,,,39,584,3,,,,,,,,
00-0026144,,,,,707,2,42,258,1,,,,,,,,
00-0024297,,,,,,,20,259,,,,,,,,,
00-0027080,,,,,221,,16,195,1,,,,,,,,
00-0029702,,,,,,,16,151,1,,,,,,,,
00-0028179,,,,,,,7,92,,,,,,,,,
00-0029441,,,,,101,,8,62,,,,,,,,,
00-0028119,,,,,,,2,9,1,,,,,,,,
00-0028063,,,,,21,,2,11,,,,,,,,,
00-0028825,155,2,1,70.8,51,1,1,22,,,,,,,,,
00-0024225,115,,1,44.4,,,,,,,,,,,,,
00-0019714,4,,,83.3,,,,,,,,,,,,,
