player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0027793,20,1,,147.9,13,,129,1698,13,,,,,,,,
00-0022924,4952,32,9,103.3,27,,,,,,,,,,,,
00-0023465,,,,,,,66,761,3,,,,,,,,
00-0030496,,,,,1361,8,83,854,3,,,,,,,,
00-0030460,,,,,19,,53,644,2,,,,,,,,
00-0027325,,,,,547,5,10,54,,,,,,,,,
00-0023310,,,,,,,14,198,2,,,,,,,,
00-0031392,,,,,40,,7,23,,,,,,,,,
00-0031373,,,,,12,,26,549,8,,,,,,,,
00-0028841,,,,,,,6,41,,,,,,,,,
00-0026983,,,,,,,3,33,,,,,,,,,
00-0030142,,,1,0,,,,,,,,,,,,,
00-0025464,,,,,,,3,46,1,,,,,,,,
00-0031450,,,,,16,,,,,,,,,,,,
00-0027202,,,,,,,1,1,1,,,,,,,,
00-0029050,,,,,,,1,25,,,,,,,,,
00-0024408,,,,,-2,,,,,,,,,,,,
00-0027870,,,,,,,1,,,,,,,,,,
