player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0022084,,,,39.6,4,,83,1062,5,,,,,,,,
00-0027974,3369,19,10,86.4,639,1,,,,,,,,,,,
00-0023500,,,,,1106,4,11,111,1,,,,,,,,
00-0026986,,,,,4,,68,698,4,,,,,,,,
00-0028149,,,,,9,,18,189,2,,,,,,,,
00-0031045,,,,,333,4,12,68,,,,,,,,,
00-0026364,,,,,,,35,435,3,,,,,,,,
00-0024221,,,,,4,,26,245,2,,,,,,,,
00-0022097,,,,,,,14,294,1,,,,,,,,
00-0031326,,,,,28,1,6,62,2,,,,,,,,
00-0029119,,,,,2,,9,105,,,,,,,,,
00-0030470,,,,,,,2,30,,,,,,,,,
00-0027346,,,,,19,,3,11,,,,,,,,,
00-0029260,,,,,9,,,,,,,,,,,,
00-0030450,,,,,20,,3,44,,,,,,,,,
00-0028903,,,,,,,2,53,,,,,,,,,
00-0022824,,,,39.6,,,,,,,,,,,,,
00-0027948,38,1,,100,5,,,,,,,,,,,,
