player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0023459,3821,31,8,92.7,344,1,,,,,,,,,,,
00-0025465,,,,,,,50,890,8,,,,,,,,
00-0027791,,,,,601,2,43,392,3,,,,,,,,
00-0028002,,,,,50,,79,829,6,,,,,,,,
00-0031384,,,,,11,,58,526,8,,,,,,,,
00-0030485,,,,,758,3,20,188,2,,,,,,,,
00-0031381,,,,,,,50,495,1,,,,,,,,
00-0022999,,,,,28,2,6,56,,,,,,,,,
00-0030758,,,,,,,11,102,1,,,,,,,,
00-0031021,,,,,,,9,111,,,,,,,,,
00-0031001,,,,,,,2,79,,,,,,,,,
00-0032200,,,,,14,,15,136,2,,,,,,,,
00-0027753,,,,,,,4,31,,,,,,,,,
00-0031826,,,,,21,,,,,,,,,,,,
00-0028595,4,,,83.3,-3,,,,,,,,,,,,
00-0031612,,,,,,,1,18,,,,,,,,,
00-0026664,,,,,7,,,,,,,,,,,,
