player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0023436,3486,20,7,95.4,498,2,,,,,,,,,,,
00-0030506,,,,,,,72,875,5,,,,,,,,
00-0026995,,,,,14,,87,1088,8,,,,,,,,
00-0030669,,,,,26,,35,451,2,,,,,,,,
00-0030668,,,,,634,4,20,214,1,,,,,,,,
00-0024324,,,,,,,15,119,,,,,,,,,
00-0032128,,,,,,,17,199,1,,,,,,,,
00-0030280,,,,,72,1,2,24,,,,,,,,,
00-0030414,,,,,403,6,6,5,,,,,,,,,
00-0030155,,,,,,,7,74,1,,,,,,,,
00-0026213,,,,,364,4,21,177,1,,,,,,,,
00-0031951,,,,,,,6,87,,,,,,,,,
00-0028074,,,,,,,4,34,,,,,,,,,
00-0032089,,,,,,,1,6,,,,,,,,,
00-0026544,4,,,79.2,-2,,,,,,,,,,,,
00-0031203,3,,,79.2,,,,,,,,,,,,,
00-0029688,,,,,1,1,,,,,,,,,,,
