player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0031382,9,,,104.2,113,1,110,1157,4,,,,,,,,
00-0028040,,,,,,,35,386,3,,,,,,,,
00-0029615,,,,,872,8,47,397,2,,,,,,,,
00-0029701,4208,24,12,88.7,141,1,1,9,,,,,,,,,
00-0030085,,,,,,,27,440,3,,,,,,,,
00-0030874,,,,,59,,21,142,1,,,,,,,,
00-0030422,,,,,,,18,127,1,,,,,,,,
00-0024267,,,,,,,19,208,1,,,,,,,,
00-0029580,,,,,4,,43,662,4,,,,,,,,
00-0031590,,,,,187,1,7,90,,,,,,,,,
00-0031547,,,,,,,26,494,3,,,,,,,,
00-0029104,,,,,176,,7,76,,,,,,,,,
00-0030272,,,,,,,5,47,2,,,,,,,,
00-0025708,14,,,118.8,-2,,,,,,,,,,,,
