player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0027714,,,,,,,86,729,2,,,,,,,,
00-0026158,4317,20,15,83.5,58,2,,,,,,,,,,,
00-0028497,,,,,,,29,328,1,,,,,,,,
00-0029892,,,,,22,1,37,266,,,,,,,,,
00-0026901,,,,,31,,72,1017,4,,,,,,,,
00-0031375,,,,,774,5,34,236,1,,,,,,,,
00-0032054,,,,,2,,33,499,3,,,,,,,,
00-0020337,,,,,,,70,799,5,,,,,,,,
00-0032411,,,,,382,2,30,162,1,,,,,,,,
00-0032398,,,,,19,,7,46,,,,,,,,,
00-0031610,,,,,,,10,85,2,,,,,,,,
00-0030992,,,,,,,8,71,1,,,,,,,,
00-0028012,26,,1,22.2,-6,,,,,,,,,,,,
00-0031577,,,,,34,,3,15,,,,,,,,,
00-0031025,,,,,72,,,,,,,,,,,,
00-0031598,,,,,,,6,44,,,,,,,,,
00-0024417,,,,,-23,,,,,,,,,,,,
00-0029597,,,,39.6,,,,,,,,,,,,,
00-0031066,,,,,,,3,10,,,,,,,,,
