player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0023500,,,,,961,3,29,245,1,,,,,,,,
00-0033119,3098,13,7,81.7,260,4,,,,,,,,,,,
00-0029608,,,,,,,57,966,4,,,,,,,,
00-0030181,,,,,,,80,690,4,,,,,,,,
00-0033951,,,,,358,3,21,225,1,,,,,,,,
00-0028497,,,,,,,15,133,,,,,,,,,
00-0031339,,,,,,,26,391,2,,,,,,,,
00-0032355,,,,,8,,23,284,1,,,,,,,,
00-0032319,,,,,,,7,76,,,,,,,,,
00-0029793,,,,,,,13,121,,,,,,,,,
00-0033258,,,,,,,3,26,,,,,,,,,
00-0029273,,,,,53,1,9,56,,,,,,,,,
00-0032377,,,,,5,,3,16,,,,,,,,,
00-0031939,,,,,14,,,,,,,,,,,,
00-0028595,128,,2,33.8,2,,,,,,,,,,,,
