player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0030035,,,,,11,,91,1276,4,,,,,,,,
00-0031376,,,,,570,3,51,421,2,,,,,,,,
00-0027981,,,,,,,57,532,8,,,,,,,,
00-0030513,,,,,842,8,15,103,,,,,,,,,
00-0028986,3547,22,7,98.3,160,1,,,,,,,,,,,
00-0031588,,,,,13,,64,849,8,,,,,,,,
00-0032951,,,,,,,20,200,,,,,,,,,
00-0029572,,,,,,,18,198,2,,,,,,,,
00-0032918,,,,,13,1,7,68,,,,,,,,,
00-0029638,,,,,,,10,78,,,,,,,,,
00-0032430,,,,,,,10,95,1,,,,,,,,
00-0033893,,,,,354,2,11,90,,,,,,,,,
00-0032062,,,,,,,3,19,,,,,,,,,
00-0032048,,,,,29,,1,11,,,,,,,,,
00-0027854,382,3,,124.4,-3,,,,,,,,,,,,
00-0029493,,,,39.6,,,,,,,,,,,,,
00-0031237,,,1,0,-3,,,,,,,,,,,,
