player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0031549,15,,,118.8,32,,64,736,4,,,,,,,,
00-0030061,,,,,,,116,1163,8,,,,,,,,
00-0027891,,,,,34,,74,795,4,,,,,,,,
00-0034351,,,,,,,33,334,4,,,,,,,,
00-0029137,,,,,,,65,843,6,,,,,,,,
00-0032782,,,,,364,3,28,230,2,,,,,,,,
00-0034457,,,,,511,3,7,58,,,,,,,,,
00-0032950,3074,21,7,102.2,93,,1,4,,,,,,,,,
00-0033725,,,,,259,2,22,192,,,,,,,,,
00-0031299,,,,,,,20,300,2,,,,,,,,
00-0023564,,,,,120,1,15,160,2,,,,,,,,
00-0029567,1413,7,4,96,17,,1,15,,,,,,,,,
00-0031590,,,,,184,3,5,20,,,,,,,,,
00-0032599,,,,,,,5,67,,,,,,,,,
00-0032792,22,1,,129.2,-2,,,,,,,,,,,,
00-0033573,,,,,,,1,48,,,,,,,,,
00-0031384,,,,,,,1,7,,,,,,,,,
