player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0027944,,,,,-3,,99,1394,6,,,,,,,,
00-0026143,4466,26,14,92.1,147,1,,,,,,,,,,,
00-0031285,,,,,656,2,59,410,4,,,,,,,,
00-0034411,,,,,12,,49,446,1,,,,,,,,
00-0032392,,,,,,,75,787,6,,,,,,,,
00-0034837,,,,,34,,63,866,7,,,,,,,,
00-0031570,,,,,,,19,195,,,,,,,,,
00-0028042,,,,,,,8,53,,,,,,,,,
00-0033567,,,,,323,2,10,69,1,,,,,,,,
00-0030465,3,,,79.2,28,,6,22,,,,,,,,,
00-0034378,,,,,106,1,11,87,,,,,,,,,
00-0034132,,,,,,,11,91,,,,,,,,,
00-0030968,,,,,8,,1,13,,,,,,,,,
00-0035273,,,,,50,4,1,7,,,,,,,,,
00-0034788,,,,,,,9,149,1,,,,,,,,
00-0022787,580,3,1,109,-3,,,,,,,,,,,,
00-0035208,,,,,,,3,115,1,,,,,,,,
00-0035235,,,,,,,1,-3,,,,,,,,,
00-0032147,,,,,,,1,35,1,,,,,,,,
