player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0034348,38,,,118.8,17,,72,1112,6,,,,,,,,
00-0035644,,,,,-12,,40,562,3,,,,,,,,
00-0034109,,,,,1011,7,35,196,,,,,,,,,
00-0034838,,,,,496,3,43,256,1,,,,,,,,
00-0034370,,,,,,,28,297,1,,,,,,,,
00-0034959,6,,,91.7,3,,9,90,1,,,,,,,,
00-0032227,,,,,,,14,114,1,,,,,,,,
00-0026158,1822,6,5,85.1,20,,,,,,,,,,,,
00-0031319,,,,,6,,6,31,,,,,,,,,
00-0033375,,,,,,,16,218,,,,,,,,,
00-0032972,,,,,9,,6,57,,,,,,,,,
00-0034393,,,,,,,6,38,1,,,,,,,,
00-0035704,1020,7,3,89.7,72,,,,,,,,,,,,
00-0032956,,,,,1,1,5,42,,,,,,,,,
00-0032434,515,3,2,68.3,39,,,,,,,,,,,,
00-0033994,,,,,,,2,21,,,,,,,,,
