player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0032128,,,,,,,47,775,5,,,,,,,,
00-0034777,,,,,20,,73,1008,8,,,,,,,,
00-0033839,,,,,27,,66,660,3,,,,,,,,
00-0033856,,,,,1152,3,76,522,,,,,,,,,
00-0035289,3271,21,6,91.2,344,,,,,,,,,,,,
00-0035268,,,,,108,,14,144,2,,,,,,,,
00-0033681,,,,,6,,24,361,3,,,,,,,,
00-0032117,,,,,,,13,109,1,,,,,,,,
00-0033080,,,,,,,12,140,,,,,,,,,
00-0032141,,,,,,,13,65,,,,,,,,,
00-0031951,,,,,,,14,153,2,,,,,,,,
00-0031431,,,,,1,,3,18,,,,,,,,,
00-0029567,736,3,2,84.6,23,,,,,,,,,,,,
00-0032139,,,,,,,1,9,,,,,,,,,
00-0035249,,,,,,,3,15,,,,,,,,,
00-0034437,16,,,100,,,,,,,,,,,,,
00-0033367,,,,,,,2,31,,,,,,,,,
00-0035374,,,,,,,2,15,,,,,,,,,
00-0035553,,,,,,,1,5,,,,,,,,,
00-0029764,,,,,,,1,7,,,,,,,,,
00-0035184,,,,,27,,3,23,,,,,,,,,
