player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0034855,3563,26,8,95.9,165,1,1,6,,,,,,,,,
00-0033923,,,,,841,6,38,304,5,,,,,,,,
00-0031382,74,1,,158.3,10,1,72,840,3,,,,,,,,
00-0032392,,,,,,,46,435,4,,,,,,,,
00-0036232,,,,,,,24,238,3,,,,,,,,
00-0034791,,,,,1067,12,16,150,,,,,,,,,
00-0032977,,,,,,,37,599,4,,,,,,,,
00-0033885,,,,,,,19,213,2,,,,,,,,
00-0033094,,,,,1,,18,302,2,,,,,,,,
00-0035628,,,,,166,,3,14,,,,,,,,,
00-0036233,,,,,,,14,304,2,,,,,,,,
00-0034854,,,,,,,11,180,,,,,,,,,
00-0031235,18,,,118.8,72,1,23,319,3,,,,,,,,
00-0032956,,,,,4,,2,13,,,,,,,,,
00-0035039,,,,,,,1,11,,,,,,,,,
00-0028986,46,,,62.9,,,,,,,,,,,,,
00-0035042,,,,,-2,,,,,,,,,,,,
00-0033266,,,,,3,,,,,,,,,,,,
00-0031921,,,,,,,1,1,1,,,,,,,,
