player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0025394,,,,,604,7,12,101,,,,,,,,,
00-0029293,,,,,,,76,978,9,,,,,,,,
00-0026498,4084,26,10,96.3,112,,,,,,,,,,,,
00-0035229,,,,,,,67,723,6,,,,,,,,
00-0026035,,,,,2,,46,602,,,,,,,,,
00-0034349,,,,,181,2,19,187,1,,,,,,,,
00-0036275,,,,,521,8,46,357,2,,,,,,,,
00-0033572,,,,39.6,33,,13,89,,,,,,,,,
00-0032135,,,,,,,14,129,2,,,,,,,,
00-0036277,,,,,,,20,349,2,,,,,,,,
00-0029632,,,,,3,,17,187,1,,,,,,,,
00-0033932,,,,,,,20,338,2,,,,,,,,
00-0026544,264,1,2,72.2,16,,,,,,,,,,,,
00-0034171,,,,,,,2,8,,,,,,,,,
00-0036008,,,,,,,1,44,,,,,,,,,
00-0035327,,,,,3,,,,,,,,,,,,
00-0035040,49,,1,32.9,18,,,,,,,,,,,,
