player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0033537,4823,33,7,112.4,444,3,,,,,,,,,,,
00-0031236,,,,,,,81,1150,6,,,,,,,,
00-0034364,,,,,4,,37,403,1,,,,,,,,
00-0029738,,,,,,,21,312,4,,,,,,,,
00-0032187,,,,,691,6,33,314,2,,,,,,,,
00-0032257,,,,,235,1,28,249,1,,,,,,,,
00-0033127,,,,,,,53,879,8,,,,,,,,
00-0028002,,,,39.6,,,38,441,3,,,,,,,,
00-0034366,,,,,,,33,400,3,,,,,,,,
00-0033439,,,,,,,14,163,2,,,,,,,,
00-0033840,,,,,,,17,236,1,,,,,,,,
00-0034273,,,,,,,4,63,,,,,,,,,
00-0035660,,,,,,,3,35,,,,,,,,,
00-0034081,,,,,,,5,60,,,,,,,,,
00-0031288,20,,,118.8,,,,,,,,,,,,,
00-0034449,,,,,64,,1,3,,,,,,,,,
00-0034253,,,,,48,,1,2,,,,,,,,,
00-0035304,,,,,,,1,6,,,,,,,,,
00-0036069,,,,,9,,1,7,,,,,,,,,
