player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0034827,,,,,53,,63,888,7,,,,,,,,
00-0033925,,,,,914,5,5,26,,,,,,,,,
00-0036572,,,,,,,22,296,2,,,,,,,,
00-0037005,,,,,,,19,174,3,,,,,,,,
00-0034365,,,,,,,21,197,,,,,,,,,
00-0036268,,,,,65,1,27,272,1,,,,,,,,
00-0036955,,,,,,,28,490,1,,,,,,,,
00-0036555,,,,,466,2,14,171,,,,,,,,,
00-0037429,,,,,77,3,10,93,,,,,,,,,
00-0035956,,,,,,,8,100,,,,,,,,,
00-0033275,731,3,3,78,39,,,,,,,,,,,,
00-0034869,1143,7,3,92.6,106,2,,,,,,,,,,,
00-0036438,,,,,,,2,46,,,,,,,,,
00-0034496,,,,,2,,,,,,,,,,,,
