player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0037740,,,,39.6,4,,83,1103,4,,,,,,,,
00-0034270,,,,,3,,58,552,3,,,,,,,,
00-0036924,,,,,402,3,41,288,,,,,,,,,
00-0034419,2,1,,118.8,91,2,18,145,,,,,,,,,
00-0036980,,,,,5,,37,446,1,,,,,,,,
00-0033871,,,,,,,32,536,2,,,,,,,,
00-0032134,,,,,,,21,232,2,,,,,,,,
00-0035831,,,,,425,3,11,51,2,,,,,,,,
00-0035537,,,,,160,1,12,88,,,,,,,,,
00-0036255,,,,,,,11,186,,,,,,,,,
00-0037013,1688,6,7,72.8,102,1,1,2,1,,,,,,,,
00-0038120,,,,,463,4,19,218,1,,,,,,,,
00-0035510,,,,,,,8,134,,,,,,,,,
00-0037157,,,,,300,1,13,100,,,,,,,,,
00-0026158,1051,5,3,75.2,6,,,,,,,,,,,,
00-0034401,1192,3,4,75.7,9,1,,,,,,,,,,,
00-0036313,17,,,79.2,,,,,,,,,,,,,
00-0037805,,,,,,,1,8,,,,,,,,,
00-0036329,,,,,2,,,,,,,,,,,,
