player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0033897,,,,,1034,9,52,376,3,,,,,,,,
00-0033009,,,1,0,11,,67,667,2,,,,,,,,
00-0036900,-7,,,79.2,-6,,100,1216,7,,,,,,,,
00-0035631,,,,,,,22,163,2,,,,,,,,
00-0035291,,,,,69,,7,10,,,,,,,,,
00-0034613,,,,,,,39,352,1,,,,,,,,
00-0036410,,,,,,,42,656,5,,,,,,,,
00-0038597,,,,,179,,14,156,1,,,,,,,,
00-0036442,2309,15,6,91,88,,,,,,,,,,,,
00-0035341,,,,,,,25,316,1,,,,,,,,
00-0038619,,,,,,,15,116,4,,,,,,,,
00-0034970,,,,,,,18,115,1,,,,,,,,
00-0035100,1936,12,7,98.4,127,3,1,-7,,,,,,,,,
00-0035771,,,,,,,9,56,,,,,,,,,
00-0038576,,,,,13,,7,64,,,,,,,,,
00-0031288,19,,,82.5,,,,,,,,,,,,,
00-0036857,,,,,12,,1,-1,,,,,,,,,
