player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0036328,,,,,538,1,23,206,,,,,,,,,
00-0032392,,,,,,,45,476,3,,,,,,,,
00-0038621,,,,,16,,66,621,3,,,,,,,,
00-0033090,,,,,,,66,674,2,,,,,,,,
00-0038608,,,,,,,43,589,3,,,,,,,,
00-0036875,,,,,801,7,33,168,1,,,,,,,,
00-0039851,2276,15,10,88.1,421,2,,,,,,,,,,,
00-0039907,,,,,,,12,87,2,,,,,,,,
00-0033307,,,,39.6,6,,28,305,1,,,,,,,,
00-0035806,,,,,69,,10,59,1,,,,,,,,
00-0033119,826,2,1,74.2,62,,,,,,,,,,,,
00-0039853,,,,,,,1,12,,,,,,,,,
00-0039420,,,,,,,2,20,,,,,,,,,
00-0037253,,,,,5,,1,18,,,,,,,,,
00-0039757,,,,,33,,,,,,,,,,,,
00-0039692,,,,,2,,,,,,,,,,,,
00-0039398,241,1,,111.4,16,1,,,,,,,,,,,
00-0037287,,,,,,,1,4,1,,,,,,,,
