season,team_code,team_name,wins,losses,ties,team_strength,rating_source,rating_confidence,roster_file,notes
1965,ARI,Arizona Cardinals,,,,70,generated,0.55,,nflverse import
1965,BUF,Buffalo Bills,,,,70,generated,0.55,,nflverse import
1965,CHI,Chicago Bears,,,,70,generated,0.55,,nflverse import
1965,CLE,Cleveland Browns,,,,70,generated,0.55,,nflverse import
1965,DAL,Dallas Cowboys,,,,70,generated,0.55,,nflverse import
1965,DEN,Denver Broncos,,,,70,generated,0.55,,nflverse import
1965,DET,Detroit Lions,,,,70,generated,0.55,,nflverse import
1965,GB,Green Bay Packers,,,,70,generated,0.55,,nflverse import
1965,IND,Indianapolis Colts,,,,70,generated,0.55,,nflverse import
1965,KC,Kansas City Chiefs,,,,70,generated,0.55,,nflverse import
1965,LAC,Los Angeles Chargers,,,,70,generated,0.55,,nflverse import
1965,LV,Las Vegas Raiders,,,,70,generated,0.55,,nflverse import
1965,MIN,Minnesota Vikings,,,,70,generated,0.55,,nflverse import
1965,NE,New England Patriots,,,,70,generated,0.55,,nflverse import
1965,NYG,New York Giants,,,,70,generated,0.55,,nflverse import
1965,NYJ,New York Jets,,,,70,generated,0.55,,nflverse import
1965,PHI,Philadelphia Eagles,,,,70,generated,0.55,,nflverse import
1965,PIT,Pittsburgh Steelers,,,,70,generated,0.55,,nflverse import
1965,SF,San Francisco 49ers,,,,70,generated,0.55,,nflverse import
1965,LAR,Los Angeles Rams,,,,70,generated,0.55,,nflverse import
1965,TEN,Tennessee Titans,,,,70,generated,0.55,,nflverse import
1965,WAS,Washington Commanders,,,,70,generated,0.55,,nflverse import
1966,ARI,Arizona Cardinals,,,,70,generated,0.55,,nflverse import
1966,ATL,Atlanta Falcons,,,,70,generated,0.55,,nflverse import
1966,BUF,Buffalo Bills,,,,70,generated,0.55,,nflverse import
1966,CHI,Chicago Bears,,,,70,generated,0.55,,nflverse import
1966,CLE,Cleveland Browns,,,,70,generated,0.55,,nflverse import
1966,DAL,Dallas Cowboys,,,,70,generated,0.55,,nflverse import
1966,DEN,Denver Broncos,,,,70,generated,0.55,,nflverse import
1966,DET,Detroit Lions,,,,70,generated,0.55,,nflverse import
1966,GB,Green Bay Packers,,,,70,generated,0.55,,nflverse import
1966,IND,Indianapolis Colts,,,,70,generated,0.55,,nflverse import
1966,KC,Kansas City Chiefs,,,,70,generated,0.55,,nflverse import
1966,LAC,Los Angeles Chargers,,,,70,generated,0.55,,nflverse import
1966,LV,Las Vegas Raiders,,,,70,generated,0.55,,nflverse import
1966,MIA,Miami Dolphins,,,,70,generated,0.55,,nflverse import
1966,MIN,Minnesota Vikings,,,,70,generated,0.55,,nflverse import
1966,NE,New England Patriots,,,,70,generated,0.55,,nflverse import
1966,NYG,New York Giants,,,,70,generated,0.55,,nflverse import
1966,NYJ,New York Jets,,,,70,generated,0.55,,nflverse import
1966,PHI,Philadelphia Eagles,,,,70,generated,0.55,,nflverse import
1966,PIT,Pittsburgh Steelers,,,,70,generated,0.55,,nflverse import
1966,SF,San Francisco 49ers,,,,70,generated,0.55,,nflverse import
1966,LAR,Los Angeles Rams,,,,70,generated,0.55,,nflverse import
1966,TEN,Tennessee Titans,,,,70,generated,0.55,,nflverse import
1966,WAS,Washington Commanders,,,,70,generated,0.55,,nflverse import
1967,ARI,Arizona Cardinals,,,,70,generated,0.55,,nflverse import
1967,ATL,Atlanta Falcons,,,,70,generated,0.55,,nflverse import
1967,BUF,Buffalo Bills,,,,70,generated,0.55,,nflverse import
1967,CHI,Chicago Bears,,,,70,generated,0.55,,nflverse import
1967,CLE,Cleveland Browns,,,,70,generated,0.55,,nflverse import
1967,DAL,Dallas Cowboys,,,,70,generated,0.55,,nflverse import
1967,DEN,Denver Broncos,,,,70,generated,0.55,,nflverse import
1967,DET,Detroit Lions,,,,70,generated,0.55,,nflverse import
1967,GB,Green Bay Packers,,,,70,generated,0.55,,nflverse import
1967,IND,Indianapolis Colts,,,,70,generated,0.55,,nflverse import
1967,KC,Kansas City Chiefs,,,,70,generated,0.55,,nflverse import
