team_code,team_name,season,player_id,name,position,old_overall,new_overall,change,old_confidence,new_confidence,reason_for_change
ARI,Arizona Cardinals,2000,00-0017710,Aeneas Williams,CB,72,88,16,0.33,0.9,"Perennial All-Pro shutdown corner [by ratings-overhaul-2000, 2026-06-09]"
ARI,Arizona Cardinals,2000,00-0001532,David Boston,WR,89,85,-4,0.78,0.9,"Ascending star WR, 1156 yds [by ratings-overhaul-2000, 2026-06-09]"
ARI,Arizona Cardinals,2000,00-0013644,Simeon Rice,EDGE,71,82,11,0.33,0.9,"Premier pass rusher [by ratings-overhaul-2000, 2026-06-09]"
ARI,Arizona Cardinals,2000,00-0014328,Frank Sanders,WR,85,80,-5,0.78,0.9,"Veteran #2 WR, 749 yds [by ratings-overhaul-2000, 2026-06-09]"
ARI,Arizona Cardinals,2000,00-0013013,Michael Pittman,RB,84,80,-4,0.78,0.9,"Dual-threat lead back, 1275 scrimmage [by ratings-overhaul-2000, 2026-06-09]"
ARI,Arizona Cardinals,2000,00-0006848,Terry Hardy,TE,80,79,-1,0.78,0.78,Engine re-derivation after 2000 roster/override changes
ARI,Arizona Cardinals,2000,00-0009659,Kwamie Lassiter,S,71,78,7,0.33,0.9,"Ballhawk safety [by ratings-overhaul-2000, 2026-06-09]"
ARI,Arizona Cardinals,2000,00-0010970,Ronald McKinnon,LB,71,78,7,0.33,0.9,"Tackle-machine middle linebacker [by ratings-overhaul-2000, 2026-06-09]"
ARI,Arizona Cardinals,2000,00-0001835,Ethan Brooks,LT,74,77,3,0.33,0.33,Engine re-derivation after 2000 roster/override changes
ARI,Arizona Cardinals,2000,00-0015255,Mark Smith,DT,71,77,6,0.33,0.33,Engine re-derivation after 2000 roster/override changes
ARI,Arizona Cardinals,2000,00-0008950,Matt Joyce,LG,71,77,6,0.33,0.33,Engine re-derivation after 2000 roster/override changes
ARI,Arizona Cardinals,2000,00-0016479,Pat Tillman,S,71,76,5,0.33,0.9,"Hard-hitting starting safety [by ratings-overhaul-2000, 2026-06-09]"
ARI,Arizona Cardinals,2000,00-0013623,Coby Rhinehart,CB,72,75,3,0.33,0.33,Engine re-derivation after 2000 roster/override changes
ARI,Arizona Cardinals,2000,00-0005392,James Folston,LB,71,75,4,0.33,0.33,Engine re-derivation after 2000 roster/override changes
ARI,Arizona Cardinals,2000,00-0018563,Justin Lucas,CB,72,75,3,0.33,0.33,Engine re-derivation after 2000 roster/override changes
