team_code,team_name,season,suspicious_reason,percent_players_67_to_71,percent_same_rating,highest_rated_player,highest_ovr,average_ovr,rating_spread,recommended_action
ARI,Arizona Cardinals,2000,>=50% in 67-71 band; >=40% share one rating (71),51.6,48.4,David Boston,89,70.6,38,Review — modern roster still compressed despite available evidence; audit stat joins and consider targeted overrides.
ARI,Arizona Cardinals,1999,>=50% in 67-71 band; >=40% share one rating (71),50,40,Frank Sanders,85,71.4,34,Review — modern roster still compressed despite available evidence; audit stat joins and consider targeted overrides.
ARI,Arizona Cardinals,2001,>=35% in 67-71 band,47.6,36.5,David Boston,95,71.9,44,Review — modern roster still compressed despite available evidence; audit stat joins and consider targeted overrides.
CAR,Carolina Panthers,2008,>=35% in 67-71 band,40.9,11.4,DeAngelo Williams,95,73.1,42,Review — modern roster still compressed despite available evidence; audit stat joins and consider targeted overrides.
ATL,Atlanta Falcons,2000,>=35% in 67-71 band,38.1,30.2,Jamal Anderson,85,71.4,35,Review — modern roster still compressed despite available evidence; audit stat joins and consider targeted overrides.
ARI,Arizona Cardinals,2003,>=35% in 67-71 band,37.5,14.6,Anquan Boldin,95,71.6,44,Review — modern roster still compressed despite available evidence; audit stat joins and consider targeted overrides.
BAL,Baltimore Ravens,2001,>=35% in 67-71 band,36.7,28.3,Jonathan Ogden,96,72.7,41,Review — modern roster still compressed despite available evidence; audit stat joins and consider targeted overrides.
CHI,Chicago Bears,2008,>=35% in 67-71 band,36.2,10.6,Matt Forte,90,72.5,39,Review — modern roster still compressed despite available evidence; audit stat joins and consider targeted overrides.
GB,Green Bay Packers,2007,>=35% in 67-71 band,36.2,17,Brett Favre,93,72.2,41,Review — modern roster still compressed despite available evidence; audit stat joins and consider targeted overrides.
HOU,Houston Texans,2008,>=35% in 67-71 band,35.4,18.8,Andre Johnson,97,72.9,47,Review — modern roster still compressed despite available evidence; audit stat joins and consider targeted overrides.
CAR,Carolina Panthers,2000,>=40% share one rating (72),14.9,47.8,Reggie White,98,71.6,47,Review — modern roster still compressed despite available evidence; audit stat joins and consider targeted overrides.
CIN,Cincinnati Bengals,2000,>=40% share one rating (72),14.8,45.9,Corey Dillon,87,71,36,Review — modern roster still compressed despite available evidence; audit stat joins and consider targeted overrides.
PIT,Pittsburgh Steelers,2000,>=40% share one rating (75),12.9,40.3,Jerome Bettis,86,72,35,Review — modern roster still compressed despite available evidence; audit stat joins and consider targeted overrides.
WAS,Washington Commanders,2001,>=40% share one rating (76),11.9,42.4,Bruce Smith,97,74.2,44,Review — modern roster still compressed despite available evidence; audit stat joins and consider targeted overrides.
DET,Detroit Lions,2000,>=40% share one rating (73),10.2,42.4,James Stewart,88,72.2,35,Review — modern roster still compressed despite available evidence; audit stat joins and consider targeted overrides.
BUF,Buffalo Bills,2000,>=40% share one rating (72),7.3,47.3,Eric Moulds,91,72.2,39,Review — modern roster still compressed despite available evidence; audit stat joins and consider targeted overrides.
PIT,Pittsburgh Steelers,2001,>=40% share one rating (75),7.1,46.4,Hines Ward,89,73.3,38,Review — modern roster still compressed despite available evidence; audit stat joins and consider targeted overrides.
MIN,Minnesota Vikings,2000,>=40% share one rating (74),5.2,46.6,Daunte Culpepper,97,73.5,46,Review — modern roster still compressed despite available evidence; audit stat joins and consider targeted overrides.
PHI,Philadelphia Eagles,2001,>=40% share one rating (75),5.2,44.8,Donovan McNabb,89,72.6,39,Review — modern roster still compressed despite available evidence; audit stat joins and consider targeted overrides.
SEA,Seattle Seahawks,2000,>=40% share one rating (75),5.2,55.2,Ricky Watters,89,73.4,37,Review — modern roster still compressed despite available evidence; audit stat joins and consider targeted overrides.
NYG,New York Giants,2001,>=40% share one rating (75),5.1,42.4,Amani Toomer,88,73.4,36,Review — modern roster still compressed despite available evidence; audit stat joins and consider targeted overrides.
NYJ,New York Jets,1999,>=40% share one rating (75),4.9,45.9,Keyshawn Johnson,92,72.8,42,Review — modern roster still compressed despite available evidence; audit stat joins and consider targeted overrides.
NE,New England Patriots,2000,>=40% share one rating (74),4.6,40,Terry Glenn,88,72,39,Review — modern roster still compressed despite available evidence; audit stat joins and consider targeted overrides.
WAS,Washington Commanders,1999,>=40% share one rating (76),3.4,52.5,Stephen Davis,93,75.4,37,Review — modern roster still compressed despite available evidence; audit stat joins and consider targeted overrides.
SF,San Francisco 49ers,2000,>=40% share one rating (75),3.3,45,Jeff Garcia,96,73.7,46,Review — modern roster still compressed despite available evidence; audit stat joins and consider targeted overrides.
SEA,Seattle Seahawks,2013,compressed spread (11),0,16.7,Richard Sherman,94,88.4,11,Review — modern roster still compressed despite available evidence; audit stat joins and consider targeted overrides.
TB,Tampa Bay Buccaneers,2020,compressed spread (9),0,20,Shaquil Barrett,93,89.4,9,Review — modern roster still compressed despite available evidence; audit stat joins and consider targeted overrides.
ARI,Arizona Cardinals,1986,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (4); no player >=80 (top 74),85.5,78.2,Lance Smith,74,71.2,4,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ARI,Arizona Cardinals,1974,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (4); no player >=80 (top 74),84.6,80.8,Dan Dierdorf,74,71.3,4,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ARI,Arizona Cardinals,1980,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (4); no player >=80 (top 74),84.2,80.7,Dan Dierdorf,74,71.3,4,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ARI,Arizona Cardinals,1975,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (3); no player >=80 (top 74),84.1,84.1,Dan Dierdorf,74,71.3,3,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ARI,Arizona Cardinals,1970,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (3); no player >=80 (top 74),82.2,82.2,Bob Reynolds,74,71.3,3,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ARI,Arizona Cardinals,1984,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (3); no player >=80 (top 74),81.8,81.8,Art Plunkett,74,71.3,3,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ARI,Arizona Cardinals,1973,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (3); no player >=80 (top 74),81.1,81.1,Bob Reynolds,74,71.4,3,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ARI,Arizona Cardinals,1978,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (5); no player >=80 (top 75),80.8,76.9,Jim Bakken,75,71.3,5,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ARI,Arizona Cardinals,1998,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (4); no player >=80 (top 74),80.6,77.4,Allen DeGraffenreid,74,71.4,4,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ARI,Arizona Cardinals,1988,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (9),80,80,Bob Clasby,80,71.6,9,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ARI,Arizona Cardinals,1972,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (3); no player >=80 (top 74),79.6,79.6,Dan Dierdorf,74,71.4,3,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ARI,Arizona Cardinals,1994,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (3); no player >=80 (top 74),79.3,79.3,Joe Wolf,74,71.4,3,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ARI,Arizona Cardinals,1997,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (3); no player >=80 (top 74),79.3,79.3,Eric Jonassen,74,71.5,3,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ARI,Arizona Cardinals,1968,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (10),77.8,77.8,Bob Rowe,81,71.8,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ARI,Arizona Cardinals,1981,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (3); no player >=80 (top 74),77.6,77.6,Art Plunkett,74,71.4,3,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ARI,Arizona Cardinals,1993,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (3); no player >=80 (top 74),77.2,77.2,Ben Coleman,74,71.4,3,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ARI,Arizona Cardinals,1976,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (9),76.9,76.9,Ken Reaves,80,71.6,9,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ARI,Arizona Cardinals,1990,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (9),76.8,76.8,Tim McDonald,80,71.6,9,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ARI,Arizona Cardinals,1971,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (4); no player >=80 (top 75),76.5,76.5,Jim Bakken,75,71.4,4,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ARI,Arizona Cardinals,1982,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (4); no player >=80 (top 75),76.4,76.4,Neil O'Donoghue,75,71.4,4,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ARI,Arizona Cardinals,1992,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (3); no player >=80 (top 74),76.4,76.4,Danny Villa,74,71.4,3,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ARI,Arizona Cardinals,1985,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (10),74.1,68.5,David Galloway,80,71.6,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ARI,Arizona Cardinals,1991,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (10),73.1,73.1,Walter Reeves,81,71.8,10,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ARI,Arizona Cardinals,1995,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (3); no player >=80 (top 74),73,73,Brandon Moore,74,71.4,3,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ARI,Arizona Cardinals,1989,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (4); no player >=80 (top 75),72.9,72.9,Al Del Greco,75,71.4,4,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
ARI,Arizona Cardinals,1996,>=50% in 67-71 band; >=40% share one rating (71); compressed spread (9),72.4,72.4,Brent Alexander,80,71.7,9,"No action — documented era data gap: the source lacks per-player stats/starts for depth, so bio-only players correctly sit at the position prior. Not a regression."
